application_id,application_name,business_unit,application_type,criticality,target_lcp_ms,target_fid_ms,target_inp_ms,target_cls,workflow_names,primary_user_segment,application_description,performance_sla
app_0011,Investment Portal - Service,Credit & Cards,Investment Portal,critical,3500,150,200,0.2,"Login Flow,Account Opening",premium,Banking application for investment services with focus on security,Target 99.5% availability with page load under 5s for 99% of users
app_0012,Credit Card Portal - Service,Digital Channels,Investment Portal,critical,3000,200,200,0.1,"Bill Payment,Statement Download,Support Request",retail,Banking application for customer transactions with focus on security,Target 99% availability with page load under 3s for 95% of users
app_0013,Credit Card Portal - Platform,Retail Banking,Mobile Banking,low,3000,200,400,0.15,"Statement Download,Profile Update",retail,Banking application for investment services with focus on accessibility,Target 99.5% availability with page load under 3s for 99% of users
app_0014,Mobile Banking - Portal,Investment,Web Banking,medium,3000,100,200,0.25,"Bill Payment,Support Request,Loan Application",youth,Banking application for account management with focus on security,Target 99.9% availability with page load under 5s for 99% of users
app_0015,Loan Application - Service,Corporate Banking,Investment Portal,critical,3500,150,200,0.2,"PIX Transfer,Loan Application",senior,Banking application for customer transactions with focus on user experience,Target 99.9% availability with page load under 4s for 95% of users
app_0016,Web Banking - Platform,Retail Banking,Credit Card Portal,high,3500,200,200,0.1,"Statement Download,Card Activation",retail,Banking application for digital banking with focus on performance,Target 99% availability with page load under 3s for 99% of users
app_0017,Mobile Banking - Platform,Digital Channels,Credit Card Portal,medium,3000,200,400,0.15,"Bill Payment,Loan Application,Investment Purchase,Card Activation,PIX Transfer",retail,Banking application for digital banking with focus on user experience,Target 99% availability with page load under 3s for 90% of users
app_0018,Loan Application - Service,Investment,Mobile Banking,low,3500,150,200,0.25,"Account Opening,Profile Update,Login Flow,Card Activation",youth,Banking application for digital banking with focus on performance,Target 99.9% availability with page load under 3s for 90% of users
app_0019,Mobile Banking - App,Investment,Credit Card Portal,high,2500,150,200,0.25,"Support Request,Account Opening",premium,Banking application for digital banking with focus on performance,Target 99% availability with page load under 5s for 99% of users
app_0020,Web Banking - Service,Investment,Loan Application,high,3000,150,200,0.25,"Loan Application,Account Opening,Card Activation,PIX Transfer",premium,Banking application for digital banking with focus on performance,Target 99% availability with page load under 5s for 90% of users
app_0021,Loan Application - Service,Investment,Investment Portal,high,4000,200,200,0.25,"Login Flow,Support Request",premium,Banking application for investment services with focus on user experience,Target 99.9% availability with page load under 5s for 95% of users
app_0022,Web Banking - App,Credit & Cards,Mobile Banking,low,3000,200,400,0.25,"Statement Download,Card Activation,Investment Purchase,Account Opening",youth,Banking application for account management with focus on accessibility,Target 99.5% availability with page load under 3s for 90% of users
app_0023,Investment Portal - Platform,Digital Channels,Mobile Banking,high,3500,100,200,0.25,"Investment Purchase,Bill Payment,Statement Download,Support Request",retail,Banking application for credit operations with focus on accessibility,Target 99% availability with page load under 4s for 95% of users
app_0024,Loan Application - Platform,Retail Banking,Web Banking,low,3500,150,400,0.25,"PIX Transfer,Profile Update,Card Activation",retail,Banking application for digital banking with focus on accessibility,Target 99.5% availability with page load under 4s for 95% of users
app_0025,Mobile Banking - Service,Retail Banking,Investment Portal,medium,3000,200,200,0.25,"Profile Update,PIX Transfer,Bill Payment",corporate,Banking application for digital banking with focus on user experience,Target 99.9% availability with page load under 5s for 95% of users
app_0026,Mobile Banking - Platform,Corporate Banking,Investment Portal,high,4000,200,200,0.2,"Support Request,Card Activation,Bill Payment,Login Flow,Account Opening",youth,Banking application for digital banking with focus on accessibility,Target 99% availability with page load under 5s for 99% of users
app_0027,Web Banking - App,Corporate Banking,Web Banking,medium,3000,150,200,0.1,"Login Flow,Card Activation,Bill Payment",senior,Banking application for digital banking with focus on accessibility,Target 99.5% availability with page load under 5s for 99% of users
app_0028,Investment Portal - App,Retail Banking,Credit Card Portal,critical,4000,150,400,0.25,"Login Flow,Card Activation,Bill Payment",retail,Banking application for customer transactions with focus on security,Target 99% availability with page load under 4s for 90% of users
app_0029,Investment Portal - Service,Corporate Banking,Loan Application,medium,4000,150,200,0.15,"Bill Payment,Loan Application,Profile Update",retail,Banking application for customer transactions with focus on security,Target 99.9% availability with page load under 3s for 90% of users
app_0030,Loan Application - App,Digital Channels,Web Banking,critical,4000,100,200,0.25,"Bill Payment,Account Opening",senior,Banking application for digital banking with focus on user experience,Target 99% availability with page load under 3s for 99% of users
app_0031,Mobile Banking - Service,Digital Channels,Loan Application,medium,3000,100,300,0.1,"Bill Payment,Card Activation",corporate,Banking application for account management with focus on user experience,Target 99.5% availability with page load under 3s for 90% of users
app_0032,Loan Application - Service,Investment,Mobile Banking,critical,3500,200,200,0.1,"Support Request,Account Opening,Investment Purchase",youth,Banking application for credit operations with focus on accessibility,Target 99% availability with page load under 4s for 95% of users
app_0033,Investment Portal - Platform,Investment,Mobile Banking,high,4000,150,400,0.15,"Bill Payment,Card Activation,Login Flow,Investment Purchase,Profile Update",corporate,Banking application for account management with focus on performance,Target 99.5% availability with page load under 4s for 90% of users
app_0034,Web Banking - Portal,Investment,Loan Application,low,4000,200,400,0.1,"Account Opening,Statement Download",youth,Banking application for account management with focus on performance,Target 99% availability with page load under 4s for 95% of users
app_0035,Credit Card Portal - Platform,Investment,Web Banking,low,3500,150,200,0.25,"Statement Download,Loan Application,Investment Purchase,Login Flow",youth,Banking application for account management with focus on accessibility,Target 99.9% availability with page load under 5s for 95% of users
app_0036,Loan Application - Service,Investment,Web Banking,high,3500,150,300,0.2,"Loan Application,PIX Transfer,Profile Update",retail,Banking application for account management with focus on user experience,Target 99.5% availability with page load under 5s for 99% of users
app_0037,Mobile Banking - Portal,Retail Banking,Loan Application,high,3500,100,400,0.1,"Investment Purchase,Login Flow,Bill Payment",senior,Banking application for digital banking with focus on security,Target 99.9% availability with page load under 5s for 99% of users
app_0038,Credit Card Portal - Platform,Credit & Cards,Credit Card Portal,medium,2500,150,400,0.2,"Statement Download,Bill Payment,Profile Update,Loan Application",premium,Banking application for credit operations with focus on performance,Target 99.9% availability with page load under 5s for 95% of users
app_0039,Loan Application - Platform,Digital Channels,Loan Application,high,2500,200,400,0.25,"Card Activation,Loan Application,Login Flow,Bill Payment,PIX Transfer",youth,Banking application for account management with focus on performance,Target 99.5% availability with page load under 5s for 90% of users
app_0040,Mobile Banking - Platform,Corporate Banking,Credit Card Portal,high,3500,200,300,0.25,"Loan Application,Support Request,Card Activation,Bill Payment,Investment Purchase",youth,Banking application for account management with focus on user experience,Target 99% availability with page load under 5s for 95% of users
app_0041,Loan Application - Portal,Credit & Cards,Mobile Banking,low,2500,100,200,0.25,"Investment Purchase,Statement Download,Bill Payment,PIX Transfer,Account Opening",premium,Banking application for credit operations with focus on performance,Target 99% availability with page load under 3s for 95% of users
app_0042,Mobile Banking - Portal,Investment,Loan Application,critical,3500,200,300,0.2,"Card Activation,Investment Purchase,Bill Payment,Statement Download,Support Request",retail,Banking application for digital banking with focus on performance,Target 99% availability with page load under 3s for 99% of users
app_0043,Investment Portal - Portal,Investment,Loan Application,medium,4000,200,400,0.25,"Card Activation,PIX Transfer,Bill Payment,Investment Purchase",corporate,Banking application for credit operations with focus on performance,Target 99% availability with page load under 5s for 95% of users
app_0044,Web Banking - Service,Retail Banking,Credit Card Portal,medium,3500,200,200,0.2,"Account Opening,PIX Transfer,Profile Update,Login Flow,Bill Payment",youth,Banking application for digital banking with focus on accessibility,Target 99.5% availability with page load under 4s for 90% of users
app_0045,Credit Card Portal - App,Corporate Banking,Loan Application,medium,2500,100,300,0.2,"Loan Application,Investment Purchase,Card Activation",retail,Banking application for investment services with focus on performance,Target 99.9% availability with page load under 3s for 99% of users
app_0046,Loan Application - Platform,Retail Banking,Web Banking,critical,4000,200,300,0.2,"Profile Update,Bill Payment",corporate,Banking application for customer transactions with focus on performance,Target 99% availability with page load under 4s for 99% of users
app_0047,Credit Card Portal - Platform,Investment,Web Banking,high,2500,100,200,0.1,"Account Opening,Card Activation,Statement Download",corporate,Banking application for digital banking with focus on user experience,Target 99.9% availability with page load under 3s for 95% of users
app_0048,Investment Portal - App,Investment,Investment Portal,low,2500,100,300,0.25,"Bill Payment,Support Request",premium,Banking application for digital banking with focus on performance,Target 99% availability with page load under 4s for 99% of users
app_0049,Investment Portal - App,Credit & Cards,Credit Card Portal,critical,4000,200,300,0.1,"Account Opening,Profile Update",senior,Banking application for investment services with focus on performance,Target 99.5% availability with page load under 4s for 90% of users
app_0050,Investment Portal - Portal,Digital Channels,Mobile Banking,high,2500,150,200,0.15,"Account Opening,Statement Download,Bill Payment,Profile Update,PIX Transfer",premium,Banking application for account management with focus on performance,Target 99.9% availability with page load under 4s for 99% of users
app_0051,Loan Application - App,Investment,Web Banking,high,2500,150,300,0.15,"Support Request,Investment Purchase,Login Flow",youth,Banking application for investment services with focus on security,Target 99.9% availability with page load under 5s for 95% of users
app_0052,Mobile Banking - App,Corporate Banking,Web Banking,medium,4000,100,300,0.1,"Card Activation,Login Flow",youth,Banking application for digital banking with focus on performance,Target 99.9% availability with page load under 3s for 99% of users
app_0053,Loan Application - App,Digital Channels,Loan Application,critical,2500,150,300,0.1,"Investment Purchase,Bill Payment,Statement Download",corporate,Banking application for investment services with focus on security,Target 99.5% availability with page load under 4s for 90% of users
app_0054,Web Banking - Portal,Corporate Banking,Credit Card Portal,medium,3000,100,400,0.1,"Support Request,Card Activation",premium,Banking application for investment services with focus on performance,Target 99.9% availability with page load under 5s for 99% of users
app_0055,Loan Application - Platform,Retail Banking,Mobile Banking,medium,3000,150,300,0.2,"Loan Application,Account Opening,Bill Payment",retail,Banking application for account management with focus on accessibility,Target 99.5% availability with page load under 3s for 95% of users
app_0056,Investment Portal - App,Investment,Credit Card Portal,high,4000,100,400,0.1,"PIX Transfer,Card Activation",premium,Banking application for account management with focus on security,Target 99.5% availability with page load under 5s for 90% of users
app_0057,Credit Card Portal - Platform,Credit & Cards,Loan Application,high,4000,200,400,0.15,"Loan Application,Account Opening",premium,Banking application for account management with focus on security,Target 99.5% availability with page load under 4s for 90% of users
app_0058,Credit Card Portal - App,Corporate Banking,Mobile Banking,high,3500,200,400,0.15,"Account Opening,Profile Update,Loan Application",retail,Banking application for digital banking with focus on security,Target 99% availability with page load under 5s for 90% of users
app_0059,Web Banking - App,Retail Banking,Web Banking,high,3500,100,200,0.2,"Statement Download,Profile Update,Investment Purchase,Bill Payment",premium,Banking application for digital banking with focus on accessibility,Target 99% availability with page load under 4s for 90% of users
app_0060,Web Banking - Portal,Credit & Cards,Mobile Banking,high,4000,150,400,0.2,"Login Flow,Investment Purchase",corporate,Banking application for customer transactions with focus on security,Target 99.9% availability with page load under 4s for 90% of users
app_0061,Credit Card Portal - App,Corporate Banking,Loan Application,medium,3500,150,200,0.2,"Bill Payment,PIX Transfer,Profile Update,Loan Application,Account Opening",youth,Banking application for digital banking with focus on user experience,Target 99.5% availability with page load under 3s for 99% of users
app_0062,Mobile Banking - Portal,Investment,Mobile Banking,critical,3000,100,200,0.1,"Investment Purchase,Card Activation,Bill Payment,Profile Update",senior,Banking application for credit operations with focus on user experience,Target 99.5% availability with page load under 4s for 95% of users
app_0063,Web Banking - Portal,Corporate Banking,Credit Card Portal,critical,2500,150,400,0.2,"Investment Purchase,PIX Transfer",retail,Banking application for credit operations with focus on security,Target 99.5% availability with page load under 5s for 99% of users
app_0064,Web Banking - Platform,Digital Channels,Web Banking,high,4000,100,200,0.2,"Account Opening,Support Request,Profile Update",senior,Banking application for account management with focus on user experience,Target 99.9% availability with page load under 3s for 95% of users
app_0065,Investment Portal - Service,Digital Channels,Web Banking,medium,3000,200,400,0.1,"Bill Payment,Account Opening,Login Flow,Profile Update,Support Request",premium,Banking application for account management with focus on performance,Target 99.5% availability with page load under 4s for 95% of users
app_0066,Web Banking - Service,Retail Banking,Credit Card Portal,critical,3000,200,300,0.1,"Profile Update,Statement Download",premium,Banking application for digital banking with focus on security,Target 99% availability with page load under 4s for 95% of users
app_0067,Investment Portal - App,Digital Channels,Investment Portal,medium,2500,150,400,0.15,"Support Request,Login Flow,Bill Payment,Profile Update,Card Activation",senior,Banking application for digital banking with focus on user experience,Target 99.5% availability with page load under 5s for 99% of users
app_0068,Investment Portal - Platform,Digital Channels,Mobile Banking,medium,4000,100,200,0.25,"Support Request,Card Activation",premium,Banking application for customer transactions with focus on user experience,Target 99.5% availability with page load under 3s for 90% of users
app_0069,Investment Portal - Service,Retail Banking,Mobile Banking,low,3000,100,400,0.2,"Login Flow,PIX Transfer,Card Activation,Support Request,Account Opening",retail,Banking application for account management with focus on performance,Target 99% availability with page load under 5s for 90% of users
app_0070,Web Banking - Portal,Digital Channels,Web Banking,low,4000,100,300,0.15,"Bill Payment,PIX Transfer,Card Activation,Profile Update,Investment Purchase",youth,Banking application for investment services with focus on accessibility,Target 99% availability with page load under 3s for 99% of users
app_0071,Mobile Banking - Service,Corporate Banking,Investment Portal,low,2500,150,400,0.1,"Profile Update,PIX Transfer",senior,Banking application for account management with focus on accessibility,Target 99.5% availability with page load under 3s for 90% of users
app_0072,Mobile Banking - Platform,Retail Banking,Web Banking,high,3500,150,200,0.25,"PIX Transfer,Account Opening,Loan Application",corporate,Banking application for customer transactions with focus on accessibility,Target 99.5% availability with page load under 5s for 90% of users
app_0073,Loan Application - App,Digital Channels,Mobile Banking,high,2500,200,400,0.2,"Investment Purchase,Login Flow,PIX Transfer,Card Activation,Bill Payment",premium,Banking application for investment services with focus on performance,Target 99.5% availability with page load under 4s for 90% of users
app_0074,Mobile Banking - Service,Retail Banking,Credit Card Portal,low,4000,200,200,0.1,"Card Activation,Investment Purchase,Loan Application,Login Flow,Support Request",premium,Banking application for account management with focus on accessibility,Target 99.9% availability with page load under 4s for 99% of users
app_0075,Loan Application - Platform,Retail Banking,Mobile Banking,medium,4000,150,400,0.2,"Support Request,Card Activation,Profile Update,Investment Purchase",senior,Banking application for investment services with focus on accessibility,Target 99.5% availability with page load under 3s for 95% of users
app_0076,Mobile Banking - Portal,Investment,Investment Portal,medium,3500,200,300,0.25,"Bill Payment,Investment Purchase,Account Opening",premium,Banking application for customer transactions with focus on user experience,Target 99% availability with page load under 3s for 90% of users
app_0077,Web Banking - Platform,Corporate Banking,Investment Portal,medium,3500,100,400,0.15,"Investment Purchase,Card Activation",corporate,Banking application for account management with focus on performance,Target 99.5% availability with page load under 5s for 95% of users
app_0078,Web Banking - Platform,Credit & Cards,Credit Card Portal,medium,4000,200,200,0.25,"PIX Transfer,Profile Update,Card Activation,Bill Payment",retail,Banking application for credit operations with focus on performance,Target 99.9% availability with page load under 4s for 95% of users
app_0079,Loan Application - Platform,Retail Banking,Investment Portal,critical,4000,200,200,0.25,"Login Flow,Profile Update",premium,Banking application for credit operations with focus on user experience,Target 99.9% availability with page load under 4s for 95% of users
app_0080,Web Banking - Portal,Corporate Banking,Mobile Banking,high,4000,150,200,0.25,"Loan Application,Investment Purchase,PIX Transfer,Bill Payment",senior,Banking application for digital banking with focus on accessibility,Target 99.9% availability with page load under 3s for 95% of users
app_0081,Loan Application - Portal,Retail Banking,Mobile Banking,high,2500,100,200,0.2,"Investment Purchase,Support Request,Bill Payment,Account Opening,Profile Update",premium,Banking application for digital banking with focus on security,Target 99.5% availability with page load under 5s for 99% of users
app_0082,Loan Application - Service,Investment,Investment Portal,critical,2500,100,200,0.25,"Card Activation,Statement Download,Account Opening,Bill Payment,Loan Application",retail,Banking application for credit operations with focus on security,Target 99% availability with page load under 4s for 90% of users
app_0083,Investment Portal - Portal,Retail Banking,Investment Portal,medium,4000,200,300,0.1,"Account Opening,Statement Download,Card Activation,Investment Purchase",premium,Banking application for credit operations with focus on security,Target 99% availability with page load under 5s for 90% of users
app_0084,Web Banking - Platform,Corporate Banking,Mobile Banking,high,4000,100,400,0.25,"Loan Application,Card Activation,Statement Download",corporate,Banking application for credit operations with focus on user experience,Target 99.5% availability with page load under 3s for 95% of users
app_0085,Investment Portal - Service,Digital Channels,Loan Application,critical,2500,100,200,0.1,"PIX Transfer,Bill Payment,Statement Download,Investment Purchase",premium,Banking application for account management with focus on user experience,Target 99% availability with page load under 3s for 95% of users
app_0086,Investment Portal - Platform,Corporate Banking,Investment Portal,low,4000,100,200,0.25,"Loan Application,Statement Download,Bill Payment",corporate,Banking application for customer transactions with focus on user experience,Target 99.9% availability with page load under 3s for 95% of users
app_0087,Investment Portal - App,Investment,Loan Application,critical,4000,150,400,0.1,"Profile Update,Card Activation",youth,Banking application for credit operations with focus on security,Target 99% availability with page load under 3s for 95% of users
app_0088,Loan Application - Service,Investment,Credit Card Portal,low,3500,200,300,0.25,"Statement Download,Account Opening,PIX Transfer,Support Request",youth,Banking application for digital banking with focus on accessibility,Target 99% availability with page load under 5s for 99% of users
app_0089,Mobile Banking - Service,Credit & Cards,Web Banking,low,3000,200,200,0.15,"Support Request,Login Flow",corporate,Banking application for customer transactions with focus on performance,Target 99.9% availability with page load under 4s for 95% of users
app_0090,Loan Application - Service,Corporate Banking,Mobile Banking,high,4000,150,300,0.15,"PIX Transfer,Loan Application,Statement Download,Investment Purchase",retail,Banking application for credit operations with focus on performance,Target 99.9% availability with page load under 5s for 99% of users
app_0091,Credit Card Portal - App,Corporate Banking,Web Banking,medium,2500,150,300,0.15,"Support Request,Loan Application",corporate,Banking application for digital banking with focus on user experience,Target 99.5% availability with page load under 3s for 95% of users
app_0092,Loan Application - Portal,Digital Channels,Loan Application,low,3000,100,200,0.1,"PIX Transfer,Bill Payment,Login Flow",corporate,Banking application for customer transactions with focus on user experience,Target 99.5% availability with page load under 3s for 99% of users
app_0093,Mobile Banking - Portal,Retail Banking,Mobile Banking,critical,3000,200,200,0.1,"Account Opening,Login Flow,Loan Application,Investment Purchase,Support Request",senior,Banking application for customer transactions with focus on accessibility,Target 99% availability with page load under 3s for 95% of users
app_0094,Credit Card Portal - Service,Retail Banking,Investment Portal,critical,3000,100,300,0.15,"Profile Update,Statement Download",senior,Banking application for investment services with focus on user experience,Target 99.9% availability with page load under 4s for 99% of users
app_0095,Loan Application - Platform,Digital Channels,Investment Portal,medium,2500,100,400,0.1,"Account Opening,Bill Payment,Investment Purchase,PIX Transfer",premium,Banking application for account management with focus on performance,Target 99.5% availability with page load under 4s for 95% of users
app_0096,Loan Application - App,Corporate Banking,Mobile Banking,high,4000,100,400,0.2,"Investment Purchase,Account Opening,Support Request",premium,Banking application for credit operations with focus on user experience,Target 99.9% availability with page load under 3s for 99% of users
app_0097,Web Banking - App,Credit & Cards,Loan Application,low,4000,150,300,0.15,"Loan Application,Investment Purchase,Card Activation,Profile Update,Statement Download",senior,Banking application for credit operations with focus on security,Target 99% availability with page load under 3s for 90% of users
app_0098,Loan Application - Portal,Retail Banking,Loan Application,critical,2500,100,400,0.15,"Support Request,Profile Update,Login Flow,Account Opening,Card Activation",corporate,Banking application for credit operations with focus on accessibility,Target 99.9% availability with page load under 3s for 95% of users
app_0099,Investment Portal - Portal,Credit & Cards,Loan Application,high,3500,150,400,0.2,"Profile Update,Bill Payment,Loan Application,Login Flow",corporate,Banking application for account management with focus on performance,Target 99% availability with page load under 4s for 95% of users
app_0100,Investment Portal - Platform,Digital Channels,Web Banking,critical,3000,150,200,0.2,"Loan Application,Card Activation",senior,Banking application for investment services with focus on security,Target 99% availability with page load under 5s for 90% of users
app_0101,Mobile Banking - Platform,Corporate Banking,Loan Application,medium,2500,100,300,0.1,"Statement Download,Account Opening,Bill Payment,PIX Transfer",premium,Banking application for account management with focus on accessibility,Target 99.5% availability with page load under 5s for 90% of users
app_0102,Web Banking - Service,Retail Banking,Credit Card Portal,high,4000,200,300,0.2,"Support Request,Bill Payment,Investment Purchase,Card Activation",retail,Banking application for customer transactions with focus on accessibility,Target 99.9% availability with page load under 4s for 95% of users
app_0103,Mobile Banking - App,Retail Banking,Investment Portal,medium,2500,200,200,0.15,"Support Request,Profile Update,Login Flow,Investment Purchase,Statement Download",retail,Banking application for digital banking with focus on user experience,Target 99.9% availability with page load under 4s for 95% of users
app_0104,Credit Card Portal - App,Credit & Cards,Credit Card Portal,high,4000,200,400,0.15,"Account Opening,Loan Application,Profile Update,Login Flow,PIX Transfer",senior,Banking application for credit operations with focus on security,Target 99.5% availability with page load under 3s for 99% of users
app_0105,Loan Application - Platform,Credit & Cards,Web Banking,low,3500,150,200,0.1,"PIX Transfer,Bill Payment,Card Activation,Loan Application",senior,Banking application for customer transactions with focus on accessibility,Target 99% availability with page load under 4s for 95% of users
app_0106,Loan Application - Portal,Retail Banking,Web Banking,critical,2500,150,400,0.25,"Loan Application,Statement Download",senior,Banking application for digital banking with focus on security,Target 99% availability with page load under 5s for 99% of users
app_0107,Mobile Banking - Platform,Investment,Web Banking,medium,4000,100,400,0.1,"Investment Purchase,Statement Download,Support Request,Login Flow,PIX Transfer",corporate,Banking application for credit operations with focus on performance,Target 99.9% availability with page load under 3s for 99% of users
app_0108,Investment Portal - Platform,Investment,Credit Card Portal,low,2500,200,400,0.1,"Investment Purchase,Profile Update",senior,Banking application for investment services with focus on security,Target 99.9% availability with page load under 3s for 95% of users
app_0109,Loan Application - App,Investment,Mobile Banking,high,4000,100,400,0.15,"Card Activation,Investment Purchase,Profile Update,Support Request,Login Flow",senior,Banking application for customer transactions with focus on accessibility,Target 99% availability with page load under 4s for 90% of users
app_0110,Credit Card Portal - Service,Investment,Mobile Banking,high,3000,200,200,0.25,"Bill Payment,Support Request,Loan Application,Login Flow",senior,Banking application for customer transactions with focus on performance,Target 99% availability with page load under 4s for 95% of users
app_0111,Loan Application - Platform,Corporate Banking,Credit Card Portal,critical,2500,150,400,0.2,"Login Flow,Bill Payment,Profile Update,Statement Download,Support Request",corporate,Banking application for account management with focus on accessibility,Target 99% availability with page load under 4s for 99% of users
app_0112,Web Banking - Service,Investment,Investment Portal,medium,3000,100,400,0.15,"Account Opening,Bill Payment,Loan Application,Login Flow,Profile Update",senior,Banking application for customer transactions with focus on user experience,Target 99% availability with page load under 5s for 95% of users
app_0113,Loan Application - Platform,Digital Channels,Mobile Banking,high,2500,200,300,0.25,"Account Opening,Bill Payment,PIX Transfer,Card Activation",youth,Banking application for account management with focus on user experience,Target 99% availability with page load under 5s for 95% of users
app_0114,Credit Card Portal - Platform,Investment,Web Banking,high,4000,150,300,0.2,"Card Activation,Statement Download,Support Request",senior,Banking application for customer transactions with focus on security,Target 99% availability with page load under 4s for 95% of users
app_0115,Web Banking - App,Retail Banking,Investment Portal,medium,3000,100,200,0.1,"Account Opening,PIX Transfer",corporate,Banking application for investment services with focus on user experience,Target 99.5% availability with page load under 5s for 90% of users
app_0116,Credit Card Portal - Service,Investment,Loan Application,medium,4000,150,300,0.1,"Investment Purchase,Bill Payment,Card Activation,Support Request,Account Opening",senior,Banking application for account management with focus on user experience,Target 99% availability with page load under 3s for 99% of users
app_0117,Web Banking - Platform,Retail Banking,Mobile Banking,critical,3500,100,300,0.15,"Profile Update,Card Activation,PIX Transfer",retail,Banking application for credit operations with focus on accessibility,Target 99.5% availability with page load under 3s for 99% of users
app_0118,Credit Card Portal - Platform,Corporate Banking,Web Banking,low,2500,100,300,0.25,"Card Activation,Login Flow,Investment Purchase,PIX Transfer,Support Request",corporate,Banking application for customer transactions with focus on accessibility,Target 99.5% availability with page load under 4s for 99% of users
app_0119,Investment Portal - Portal,Credit & Cards,Web Banking,low,4000,200,200,0.15,"Profile Update,Account Opening",youth,Banking application for investment services with focus on accessibility,Target 99% availability with page load under 3s for 90% of users
app_0120,Web Banking - Service,Retail Banking,Loan Application,medium,3500,150,300,0.1,"Login Flow,Bill Payment,Card Activation",senior,Banking application for investment services with focus on user experience,Target 99.9% availability with page load under 3s for 90% of users
app_0121,Mobile Banking - Service,Credit & Cards,Credit Card Portal,medium,4000,200,400,0.2,"Loan Application,Account Opening,Investment Purchase",premium,Banking application for credit operations with focus on security,Target 99.9% availability with page load under 5s for 90% of users
app_0122,Web Banking - Portal,Investment,Web Banking,medium,3500,150,300,0.15,"Support Request,Statement Download,Loan Application,Account Opening",premium,Banking application for digital banking with focus on user experience,Target 99% availability with page load under 4s for 90% of users
app_0123,Loan Application - Platform,Digital Channels,Credit Card Portal,high,3500,200,400,0.1,"Loan Application,Profile Update,Account Opening",senior,Banking application for digital banking with focus on user experience,Target 99.9% availability with page load under 4s for 95% of users
app_0124,Loan Application - Service,Corporate Banking,Mobile Banking,medium,2500,200,300,0.15,"Card Activation,Statement Download,Account Opening,Support Request",retail,Banking application for account management with focus on accessibility,Target 99% availability with page load under 4s for 99% of users
app_0125,Loan Application - Platform,Investment,Credit Card Portal,critical,4000,150,300,0.25,"Loan Application,Account Opening,Statement Download,Card Activation",premium,Banking application for digital banking with focus on user experience,Target 99% availability with page load under 5s for 90% of users
app_0126,Loan Application - Service,Digital Channels,Mobile Banking,critical,2500,150,200,0.15,"Login Flow,Support Request,Account Opening,Profile Update",premium,Banking application for account management with focus on performance,Target 99.9% availability with page load under 3s for 95% of users
app_0127,Web Banking - Portal,Credit & Cards,Credit Card Portal,medium,3000,150,400,0.1,"Login Flow,Card Activation",corporate,Banking application for investment services with focus on performance,Target 99.9% availability with page load under 3s for 99% of users
