embedding_id,asset_ref_title,visual_caption,source_asset_id,embedding_model_version,modality,owner_account_id,capture_date
EMB-10052,Instagram Story Template - Warm Photo,"This document-visual captures an architectural diagram of a commercial building facade, rendered in technical line-art style with dimension annotations and material callouts. Intended for construction project documentation. Reference: Instagram Story Template - Warm Photo.",BA-002956,clip-vit-base-patch32-v2,document-visual,ACC-2112,2026-01-04
EMB-10053,Class Schedule Poster - Editorial Video Still,"This image presents a flat-lay photograph of office stationery items including notebooks, pens, and sticky notes arranged on a white surface. Generic business lifestyle imagery for unspecified corporate use. Asset: Class Schedule Poster - Editorial Video Still.",BA-002956,google-multimodal-embed-v1,image,ACC-4234,2026-01-20
EMB-10054,Apparel Product Flatlay - Branded Photo,"A video-frame featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Apparel Product Flatlay - Branded Photo.",BA-005690,clip-vit-base-patch32-v2,video-frame,ACC-5212,2026-01-01
EMB-10055,Spring Fashion Flatlay - Warm Video Still,"This graphic-design presents a modern kitchen interior property photo with clean lines, natural light, and lifestyle staging. The image serves as a virtual tour still and brand identity collateral for real estate and hospitality marketing. Reference: Spring Fashion Flatlay - Warm Video Still.",BA-007321,clip-vit-base-patch32-v2,graphic-design,ACC-3134,2026-01-30
EMB-10056,Class Schedule Poster - Warm Video Still,A visual identity collateral piece featuring logo lockup variations and color palette swatches rendered as a logo-vector for brand discovery and asset management workflows. The layout supports multi-channel deployment. Title: Class Schedule Poster - Warm Video Still.,BA-007321,clip-vit-base-patch32-v2,logo-vector,ACC-3412,2025-11-20
EMB-10057,Holiday Gift Display - Soft Graphic,"This video-frame captures an architectural diagram of a commercial building facade, rendered in technical line-art style with dimension annotations and material callouts. Intended for construction project documentation. Reference: Holiday Gift Display - Soft Graphic.",BA-007321,openai-ada-002-multimodal,video-frame,ACC-4234,2026-02-02
EMB-10058,Class Schedule Poster - Lifestyle Photo,"A product-focused graphic-design featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Class Schedule Poster - Lifestyle Photo.",BA-003319,openai-ada-002-multimodal,graphic-design,ACC-1412,2026-02-16
EMB-10059,Virtual Tour Still - Vibrant Poster,"This image depicts three logo variations for a coffee shop brand, featuring the primary wordmark, a circular badge version, and a simplified icon lockup, all rendered in warm earth tones suitable for menu boards and loyalty cards. The video-frame asset showcases the brand identity collateral in a clean layout ideal for discovery across digital and print channels. Referenced asset: Virtual Tour Still - Vibrant Poster.",BA-003319,clip-vit-large-patch14-v1,video-frame,ACC-4234,2026-02-20
EMB-10060,Fitness Class Action Shot - Warm Collateral,"This document-visual depicts a customer testimonial quote graphic with a candid customer smiling portrait, overlaid with branded typography and social proof messaging. Designed for Instagram story and promotional banner use. Asset: Fitness Class Action Shot - Warm Collateral.",BA-002593,clip-vit-base-patch32-v2,document-visual,ACC-4612,2025-11-16
EMB-10061,Virtual Tour Still - Rustic Video Still,"A document-style document-visual presenting a menu layout with typography hierarchy, food category icons, and brand color palette. The asset supports point-of-sale and digital menu board deployment. Asset: Virtual Tour Still - Rustic Video Still.",BA-006102,clip-vit-base-patch32-v2,document-visual,ACC-3134,2026-03-10
EMB-10062,Coffee Cup Close-Up - Saturated Photo,"This graphic-design depicts a data dashboard screenshot with bar charts, pie graphs, and KPI metric cards in a SaaS analytics interface. The visual is used for software product documentation and UI design reference. Title: Coffee Cup Close-Up - Saturated Photo.",BA-006102,elastic-elser-v2-visual,graphic-design,ACC-5534,2025-12-21
EMB-10063,Apparel Product Flatlay - Artisan Photo,"This document-visual presents a vintage-style map illustration of a fictional city, rendered with hand-drawn cartographic elements and aged parchment texture. Used as a decorative asset for themed events. Title: Apparel Product Flatlay - Artisan Photo.",BA-007106,openai-ada-002-multimodal,document-visual,ACC-1256,2026-03-05
EMB-10064,Property Photo Exterior - Dynamic Graphic,"A image featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Property Photo Exterior - Dynamic Graphic.",BA-003937,clip-vit-large-patch14-v1,image,ACC-4312,2026-02-20
EMB-10065,Restaurant Dining Scene - Minimal Badge,"This graphic-design presents an abstract geometric pattern in muted blue and grey tones, generated as a background texture asset for general design library use. The composition features repeating hexagonal shapes with subtle gradient overlays. Asset title: Restaurant Dining Scene - Minimal Badge.",BA-003895,clip-vit-large-patch14-v1,graphic-design,ACC-5534,2025-11-18
EMB-10066,Logo Variations Sheet - Branded Badge,A graphic-design featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Logo Variations Sheet - Branded Badge.,BA-003895,clip-vit-large-patch14-v1,graphic-design,ACC-2712,2025-12-16
EMB-10067,Discount Badge Graphic - Lifestyle Badge,"This graphic-design depicts a customer testimonial quote graphic with a candid customer smiling portrait, overlaid with branded typography and social proof messaging. Designed for Instagram story and promotional banner use. Asset: Discount Badge Graphic - Lifestyle Badge.",BA-003895,clip-vit-large-patch14-v1,graphic-design,ACC-3278,2025-12-01
EMB-10068,Salad Bowl Overhead - Vibrant Collateral,"This document-visual presents a minimalist black-and-white portrait photograph of an unidentified person in profile view, shot in a studio setting with dramatic side lighting. Generic editorial portrait for unspecified use. Reference: Salad Bowl Overhead - Vibrant Collateral.",BA-004213,google-multimodal-embed-v1,document-visual,ACC-3345,2026-02-19
EMB-10069,Logo Variations Sheet - Product-Focused Poster,"This graphic-design presents a vintage-style map illustration of a fictional city, rendered with hand-drawn cartographic elements and aged parchment texture. Used as a decorative asset for themed events. Title: Logo Variations Sheet - Product-Focused Poster.",BA-002350,clip-vit-large-patch14-v1,graphic-design,ACC-2712,2026-02-13
EMB-10070,Menu Board Layout - Soft Graphic,"A document-visual depicting a scientific infographic about cellular biology, featuring labeled diagrams of cell structures and process flow annotations. Created for educational content and medical publication use. Asset: Menu Board Layout - Soft Graphic.",BA-002350,openai-ada-002-multimodal,document-visual,ACC-4534,2026-01-30
EMB-10071,Pasta Dish Plated - Bold Illustration,"A lifestyle image capturing a customer testimonial scene in a coffee shop setting, with warm ambient lighting and branded environmental signage visible in the background. Reference: Pasta Dish Plated - Bold Illustration.",BA-008404,clip-vit-base-patch32-v2,image,ACC-4812,2026-01-10
EMB-10072,Virtual Tour Still - Saturated Collateral,"This document-visual captures a bird's-eye aerial photograph of a suburban neighborhood taken during daylight hours, showing residential streets and green spaces. Intended for urban planning and real estate overview use. Reference: Virtual Tour Still - Saturated Collateral.",BA-007026,openai-ada-002-multimodal,document-visual,ACC-5534,2026-01-14
EMB-10073,Menu Board Layout - Clean Photo,"This graphic-design depicts a data dashboard screenshot with bar charts, pie graphs, and KPI metric cards in a SaaS analytics interface. The visual is used for software product documentation and UI design reference. Title: Menu Board Layout - Clean Photo.",BA-007026,clip-vit-base-patch32-v2,graphic-design,ACC-4112,2025-12-09
EMB-10074,Summer Sale Window Display - Artisan Badge,"This video-frame showcases an Instagram story template design with bold geometric frames, brand color palette, and placeholder text zones for campaign visual content deployment. Title: Summer Sale Window Display - Artisan Badge.",BA-002015,clip-vit-base-patch32-v2,video-frame,ACC-3345,2025-11-13
EMB-10075,Seasonal Campaign Visual - Candid Poster,"A graphic-design image featuring a spring collection promotional banner with pastel tones, floral motifs, and discount badge elements for e-commerce and email marketing campaigns. Title: Seasonal Campaign Visual - Candid Poster.",BA-002015,clip-vit-large-patch14-v1,image,ACC-4234,2026-03-05
EMB-10076,Promotional Banner - Saturated Poster,"This image features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Promotional Banner - Saturated Poster.",BA-004107,openai-ada-002-multimodal,image,ACC-3134,2026-01-21
EMB-10077,Summer Sale Window Display - Vibrant Badge,"This graphic-design captures a video still from a fitness studio workout session, featuring dynamic motion and branded overlay graphics for social media and promotional banner applications. Reference: Summer Sale Window Display - Vibrant Badge.",BA-001830,openai-ada-002-multimodal,graphic-design,ACC-1412,2026-02-17
EMB-10078,Fitness Class Action Shot - Bold Video Still,"This document-visual presents a vintage-style map illustration of a fictional city, rendered with hand-drawn cartographic elements and aged parchment texture. Used as a decorative asset for themed events. Title: Fitness Class Action Shot - Bold Video Still.",BA-001725,openai-ada-002-multimodal,document-visual,ACC-4234,2026-01-29
EMB-10079,Salad Bowl Overhead - Candid Badge,"This image presents a spring fashion flatlay with apparel items arranged in a minimal editorial style, featuring color-coordinated accessories and seasonal campaign visual content framing. Reference: Salad Bowl Overhead - Candid Badge.",BA-001725,clip-vit-large-patch14-v1,image,ACC-4023,2025-12-30
EMB-10080,Promotional Banner - Lifestyle Illustration,"This graphic-design presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Promotional Banner - Lifestyle Illustration.",BA-006730,clip-vit-large-patch14-v1,graphic-design,ACC-4234,2025-11-22
EMB-10081,Coffee Cup Close-Up - Artisan Badge,A image featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Coffee Cup Close-Up - Artisan Badge.,BA-006730,clip-vit-large-patch14-v1,image,ACC-4234,2025-12-03
EMB-10082,Customer Smiling Testimonial - Dynamic Video Still,A holiday gift display photo featuring curated product arrangements with holiday sale signage and branded ribbon elements. This document-visual is a seasonal campaign visual for email header graphics and point-of-sale displays. Title: Customer Smiling Testimonial - Dynamic Video Still.,BA-008835,google-multimodal-embed-v1,document-visual,ACC-4812,2026-01-10
EMB-10083,Salad Bowl Overhead - Clean Poster,A document-visual featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Salad Bowl Overhead - Clean Poster.,BA-008835,clip-vit-base-patch32-v2,document-visual,ACC-3345,2025-12-28
EMB-10084,Spring Fashion Flatlay - Dynamic Graphic,"A image featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Spring Fashion Flatlay - Dynamic Graphic.",BA-002806,google-multimodal-embed-v1,image,ACC-3134,2025-11-29
EMB-10085,Spring Fashion Flatlay - Soft Illustration,"This graphic-design presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Spring Fashion Flatlay - Soft Illustration.",BA-008930,clip-vit-large-patch14-v1,graphic-design,ACC-5534,2026-03-06
EMB-10086,Coffee Shop Signage - Warm Badge,"This logo-vector presents a vintage-style map illustration of a fictional city, rendered with hand-drawn cartographic elements and aged parchment texture. Used as a decorative asset for themed events. Title: Coffee Shop Signage - Warm Badge.",BA-008930,clip-vit-large-patch14-v1,logo-vector,ACC-5534,2025-12-30
EMB-10087,Apparel Product Flatlay - Vibrant Logo Lockup,"A lifestyle image capturing a customer testimonial scene in a coffee shop setting, with warm ambient lighting and branded environmental signage visible in the background. Reference: Apparel Product Flatlay - Vibrant Logo Lockup.",BA-008930,openai-ada-002-multimodal,image,ACC-1412,2025-12-23
EMB-10088,Spring Collection Lookbook - Candid Banner,"A spring collection lookbook flatlay featuring boutique apparel laid out in an editorial style, with pastel color palette and soft natural lighting. This document-visual serves as a fashion photo for seasonal campaign and social proof content. Referenced: Spring Collection Lookbook - Candid Banner.",BA-002170,clip-vit-large-patch14-v1,document-visual,ACC-1690,2026-01-18
EMB-10089,Discount Badge Graphic - Warm Graphic,"A vibrant promotional banner graphic for a summer promotion campaign, featuring bold typography, a discount badge overlay, and lifestyle imagery of a coffee shop storefront. This image is designed as an Instagram story template and email header graphic for seasonal campaign use. See also: Discount Badge Graphic - Warm Graphic.",BA-002170,google-multimodal-embed-v1,image,ACC-5534,2026-01-11
EMB-10090,Salad Bowl Overhead - Dynamic Poster,"This image depicts a promotional graphic for a holiday sale event, featuring gift imagery, seasonal typography, and a discount badge overlay for email header and social media use. Asset: Salad Bowl Overhead - Dynamic Poster.",BA-003680,clip-vit-large-patch14-v1,image,ACC-5467,2025-11-29
EMB-10091,Case Study Visual - Lifestyle Collateral,This graphic-design shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Case Study Visual - Lifestyle Collateral.,BA-003680,clip-vit-base-patch32-v2,graphic-design,ACC-4234,2026-03-02
EMB-10092,Holiday Gift Display - Saturated Poster,"This document-visual showcases lifestyle imagery from a boutique storefront environment, capturing the ambiance and apparel display in a warm, branded editorial style. Suitable for seasonal campaign and social media use. Referenced asset: Holiday Gift Display - Saturated Poster.",BA-006949,clip-vit-base-patch32-v2,document-visual,ACC-4312,2026-01-30
EMB-10093,Espresso Bar Setup - Lifestyle Collateral,"This logo-vector depicts a promotional graphic for a holiday sale event, featuring gift imagery, seasonal typography, and a discount badge overlay for email header and social media use. Asset: Espresso Bar Setup - Lifestyle Collateral.",BA-006282,clip-vit-base-patch32-v2,logo-vector,ACC-4234,2026-01-19
EMB-10094,Logo Variations Sheet - Dynamic Poster,"This image showcases lifestyle imagery from a boutique storefront environment, capturing the ambiance and apparel display in a warm, branded editorial style. Suitable for seasonal campaign and social media use. Referenced asset: Logo Variations Sheet - Dynamic Poster.",BA-006282,clip-vit-base-patch32-v2,image,ACC-4234,2026-02-24
EMB-10095,Italian Food Spread - Branded Graphic,"A technical illustration image showing a cross-section diagram of an HVAC system installation, with labeled components and airflow direction arrows. Created for engineering documentation purposes. Reference: Italian Food Spread - Branded Graphic.",BA-002633,clip-vit-large-patch14-v1,image,ACC-4234,2025-12-28
EMB-10096,Spring Collection Lookbook - Editorial Collateral,"This graphic-design captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Spring Collection Lookbook - Editorial Collateral.",BA-004022,clip-vit-base-patch32-v2,graphic-design,ACC-4234,2026-01-12
EMB-10097,Apparel Product Flatlay - Minimal Logo Lockup,"A graphic-design depicting a scientific infographic about cellular biology, featuring labeled diagrams of cell structures and process flow annotations. Created for educational content and medical publication use. Asset: Apparel Product Flatlay - Minimal Logo Lockup.",BA-004022,clip-vit-base-patch32-v2,graphic-design,ACC-3278,2026-01-15
EMB-10098,Spring Fashion Flatlay - Saturated Photo,"This graphic-design showcases a class schedule poster for a fitness studio, featuring action shots of a fitness class in session with dynamic typography and branded color overlays. Suitable for Instagram story templates and in-studio signage. Asset title: Spring Fashion Flatlay - Saturated Photo.",BA-001778,clip-vit-base-patch32-v2,graphic-design,ACC-5534,2026-01-07
EMB-10099,Pasta Dish Plated - Candid Poster,"A document-style logo-vector presenting a menu layout with typography hierarchy, food category icons, and brand color palette. The asset supports point-of-sale and digital menu board deployment. Asset: Pasta Dish Plated - Candid Poster.",BA-007052,clip-vit-large-patch14-v1,logo-vector,ACC-4234,2026-01-06
EMB-10100,Italian Food Spread - Product-Focused Banner,A visual identity collateral piece featuring logo lockup variations and color palette swatches rendered as a video-frame for brand discovery and asset management workflows. The layout supports multi-channel deployment. Title: Italian Food Spread - Product-Focused Banner.,BA-007052,clip-vit-base-patch32-v2,video-frame,ACC-5534,2025-12-24
EMB-10101,Virtual Tour Still - Rustic Illustration,"A video-frame featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Virtual Tour Still - Rustic Illustration.",BA-007108,openai-ada-002-multimodal,video-frame,ACC-3634,2025-11-27
EMB-10102,Italian Food Spread - Artisan Logo Lockup,"A document-visual depicting a restaurant dining scene with Italian food spread, ambient candlelight, and rustic table styling for use in food photography and seasonal campaign collateral. Title: Italian Food Spread - Artisan Logo Lockup.",BA-004446,google-multimodal-embed-v1,document-visual,ACC-2034,2026-01-19
EMB-10103,Salad Bowl Overhead - Saturated Illustration,"This logo-vector presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Salad Bowl Overhead - Saturated Illustration.",BA-004446,clip-vit-large-patch14-v1,logo-vector,ACC-5534,2025-11-16
EMB-10104,Coffee Shop Signage - Editorial Poster,"This image presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Coffee Shop Signage - Editorial Poster.",BA-001845,clip-vit-large-patch14-v1,image,ACC-3134,2026-02-07
EMB-10105,Discount Badge Graphic - Clean Graphic,"A technical illustration logo-vector showing a cross-section diagram of an HVAC system installation, with labeled components and airflow direction arrows. Created for engineering documentation purposes. Reference: Discount Badge Graphic - Clean Graphic.",BA-008469,clip-vit-base-patch32-v2,logo-vector,ACC-5534,2025-12-15
EMB-10106,Holiday Gift Display - Saturated Poster,"This image presents a modern kitchen interior property photo with clean lines, natural light, and lifestyle staging. The image serves as a virtual tour still and brand identity collateral for real estate and hospitality marketing. Reference: Holiday Gift Display - Saturated Poster.",BA-006480,clip-vit-base-patch32-v2,image,ACC-2345,2026-02-04
EMB-10107,Salad Bowl Overhead - Soft Collateral,This logo-vector shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Salad Bowl Overhead - Soft Collateral.,BA-004480,google-multimodal-embed-v1,logo-vector,ACC-4234,2026-03-03
EMB-10108,Logo Variations Sheet - Rustic Photo,"This video-frame captures a video still from a fitness studio workout session, featuring dynamic motion and branded overlay graphics for social media and promotional banner applications. Reference: Logo Variations Sheet - Rustic Photo.",BA-004480,openai-ada-002-multimodal,video-frame,ACC-3345,2026-03-03
EMB-10109,Boutique Storefront - Dynamic Collateral,"A logo-vector image featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Boutique Storefront - Dynamic Collateral.",BA-007739,clip-vit-base-patch32-v2,image,ACC-5534,2026-02-01
EMB-10110,Pasta Dish Plated - Bold Graphic,"This graphic-design showcases lifestyle imagery from a boutique storefront environment, capturing the ambiance and apparel display in a warm, branded editorial style. Suitable for seasonal campaign and social media use. Referenced asset: Pasta Dish Plated - Bold Graphic.",BA-006926,clip-vit-large-patch14-v1,graphic-design,ACC-1412,2026-01-18
EMB-10111,Instagram Story Template - Bold Video Still,A image featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Instagram Story Template - Bold Video Still.,BA-007839,openai-ada-002-multimodal,image,ACC-1412,2026-02-02
EMB-10112,Espresso Bar Setup - Artisan Template,"This image features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Espresso Bar Setup - Artisan Template.",BA-005748,google-multimodal-embed-v1,image,ACC-1967,2026-02-01
EMB-10113,Quote Graphic Social Proof - Warm Illustration,"This image captures an architectural diagram of a commercial building facade, rendered in technical line-art style with dimension annotations and material callouts. Intended for construction project documentation. Reference: Quote Graphic Social Proof - Warm Illustration.",BA-002698,clip-vit-base-patch32-v2,image,ACC-5534,2026-02-05
EMB-10114,Case Study Visual - Artisan Collateral,"This graphic-design captures a bird's-eye aerial photograph of a suburban neighborhood taken during daylight hours, showing residential streets and green spaces. Intended for urban planning and real estate overview use. Reference: Case Study Visual - Artisan Collateral.",BA-002698,clip-vit-base-patch32-v2,graphic-design,ACC-4234,2025-12-30
EMB-10115,Apparel Product Flatlay - Vibrant Poster,A image featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Apparel Product Flatlay - Vibrant Poster.,BA-003405,clip-vit-base-patch32-v2,image,ACC-2712,2025-12-07
EMB-10116,Espresso Bar Setup - Dynamic Badge,"A product-focused graphic-design featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Espresso Bar Setup - Dynamic Badge.",BA-003405,clip-vit-base-patch32-v2,graphic-design,ACC-5534,2025-12-04
EMB-10117,Summer Sale Window Display - Clean Banner,"A nature photography graphic-design featuring a mountain landscape at golden hour, with wide-angle composition and atmospheric haze effects. The image serves as a generic stock visual for travel and wellness content. Asset: Summer Sale Window Display - Clean Banner.",BA-003405,clip-vit-base-patch32-v2,graphic-design,ACC-1412,2026-03-08
EMB-10118,Coffee Cup Close-Up - Artisan Collateral,"This logo-vector features culinary imagery of a plated salad bowl captured overhead with natural lighting and artisan styling, suitable for use in campaign visual content and point-of-sale signage across restaurant channels. Asset reference: Coffee Cup Close-Up - Artisan Collateral.",BA-006166,google-multimodal-embed-v1,logo-vector,ACC-2712,2025-12-23
EMB-10119,Logo Variations Sheet - Warm Banner,"This video-frame captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Logo Variations Sheet - Warm Banner.",BA-005560,clip-vit-base-patch32-v2,video-frame,ACC-5134,2025-11-19
EMB-10120,Pasta Dish Plated - Artisan Badge,"This logo-vector captures a bird's-eye aerial photograph of a suburban neighborhood taken during daylight hours, showing residential streets and green spaces. Intended for urban planning and real estate overview use. Reference: Pasta Dish Plated - Artisan Badge.",BA-003735,clip-vit-large-patch14-v1,logo-vector,ACC-3901,2026-03-04
EMB-10121,Brand Identity Collateral - Artisan Illustration,"A nature photography graphic-design featuring a mountain landscape at golden hour, with wide-angle composition and atmospheric haze effects. The image serves as a generic stock visual for travel and wellness content. Asset: Brand Identity Collateral - Artisan Illustration.",BA-003735,clip-vit-base-patch32-v2,graphic-design,ACC-4312,2026-03-08
EMB-10122,Coffee Shop Signage - Artisan Collateral,"This graphic-design presents a flat-lay photograph of office stationery items including notebooks, pens, and sticky notes arranged on a white surface. Generic business lifestyle imagery for unspecified corporate use. Asset: Coffee Shop Signage - Artisan Collateral.",BA-003735,google-multimodal-embed-v1,graphic-design,ACC-4234,2025-12-08
EMB-10123,Customer Smiling Testimonial - Soft Illustration,"A image depicting a children's book illustration style artwork featuring cartoon animals in a forest setting, rendered in bright primary colors. Created for educational publishing and youth content. Title: Customer Smiling Testimonial - Soft Illustration.",BA-002056,clip-vit-base-patch32-v2,image,ACC-5534,2025-11-27
EMB-10124,Email Header Graphic - Clean Logo Lockup,A graphic-design featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Email Header Graphic - Clean Logo Lockup.,BA-002056,openai-ada-002-multimodal,graphic-design,ACC-2712,2026-01-08
EMB-10125,Brand Identity Collateral - Editorial Logo Lockup,"A document-visual featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Brand Identity Collateral - Editorial Logo Lockup.",BA-007750,clip-vit-large-patch14-v1,document-visual,ACC-4234,2026-03-09
EMB-10126,Pasta Dish Plated - Saturated Illustration,"This graphic-design showcases lifestyle imagery from a boutique storefront environment, capturing the ambiance and apparel display in a warm, branded editorial style. Suitable for seasonal campaign and social media use. Referenced asset: Pasta Dish Plated - Saturated Illustration.",BA-007750,clip-vit-large-patch14-v1,graphic-design,ACC-4234,2025-11-24
EMB-10127,Email Header Graphic - Warm Illustration,"This document-visual depicts a promotional graphic for a holiday sale event, featuring gift imagery, seasonal typography, and a discount badge overlay for email header and social media use. Asset: Email Header Graphic - Warm Illustration.",BA-004859,clip-vit-large-patch14-v1,document-visual,ACC-4234,2026-01-05
EMB-10128,Salad Bowl Overhead - Warm Badge,"A crisp product photo of an espresso cup on a marble surface, captured in a product-focused style for e-commerce imagery and promotional graphic use. This document-visual highlights the coffee shop aesthetic with clean composition and warm lighting. Reference: Salad Bowl Overhead - Warm Badge.",BA-001532,clip-vit-large-patch14-v1,document-visual,ACC-1334,2026-02-13
EMB-10129,Holiday Gift Display - Warm Banner,"A video-frame depicting a scientific infographic about cellular biology, featuring labeled diagrams of cell structures and process flow annotations. Created for educational content and medical publication use. Asset: Holiday Gift Display - Warm Banner.",BA-003694,google-multimodal-embed-v1,video-frame,ACC-3134,2026-02-15
EMB-10130,Quote Graphic Social Proof - Minimal Template,"This image features culinary imagery of a plated salad bowl captured overhead with natural lighting and artisan styling, suitable for use in campaign visual content and point-of-sale signage across restaurant channels. Asset reference: Quote Graphic Social Proof - Minimal Template.",BA-003984,elastic-elser-v2-visual,image,ACC-2034,2026-02-20
