asset_id,asset_title,asset_description,asset_type,content_category,business_vertical,campaign_theme,color_palette_tags,file_format,owner_account_id,is_active,upload_date,reuse_count,aspect_ratio
BA-100025,Electronics Shop Business Card - Campus Ready,"Built for Retail & E-commerce brands executing a Back to School strategy, this Business Card delivers clean visual collateral with a vibrant-tropical palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Business Card,Educational Content,Retail & E-commerce,Back to School,"['vibrant-tropical', 'muted-sage-taupe']",PNG,ACC-1047,True,2025-11-30,14,4:5
BA-100026,Salon Quote Graphic - Member Benefits,A standard Quote Graphic asset catalogued under the Healthcare & Beauty vertical for organizational reference. Color properties follow the monochrome-black-white specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Loyalty Program campaign grouping. No additional design customization was applied beyond baseline template defaults.,Quote Graphic,Product Showcase,Healthcare & Beauty,Loyalty Program,"['monochrome-black-white', 'pastel-spring']",MP4,ACC-1005,True,2026-02-18,2,9:16
BA-100027,Home Goods Store Menu Board - Reviews & Praise,"This Menu Board is a core brand identity asset designed for Retail & E-commerce businesses, featuring sunset-orange-coral color palette. It includes logo variations and menu board layouts optimized for Customer Testimonial Campaign campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",Menu Board,Email Marketing,Retail & E-commerce,Customer Testimonial Campaign,"['sunset-orange-coral', 'deep-burgundy-cream']",JPEG,ACC-1003,True,2025-11-25,1,9:16
BA-100028,Salon Quote Graphic - Hot Summer Deals,A standard Quote Graphic asset catalogued under the Healthcare & Beauty vertical for organizational reference. Color properties follow the vibrant-tropical specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Summer Promotion campaign grouping. No additional design customization was applied beyond baseline template defaults.,Quote Graphic,Loyalty & Rewards,Healthcare & Beauty,Summer Promotion,"['vibrant-tropical', 'sky-blue-white']",PDF,ACC-1002,True,2026-01-31,12,3:2
BA-100029,Sushi Bar Flyer - Spring Refresh,"Designed as a flagship Flyer for Food & Beverage brands, this piece integrates brand identity principles with Spring Collection campaign goals. The bright-citrus-yellow palette reinforces seasonal promotion messaging including summer promotion and holiday sale themes. It includes quote graphic overlays, customer testimonial campaign visuals, and loyalty program badge elements. Optimized for Instagram story template dimensions and social media graphic repurposing across platforms.",Flyer,Customer Testimonial,Food & Beverage,Spring Collection,"['bright-citrus-yellow', 'muted-sage-taupe', 'vibrant-tropical']",JPEG,ACC-1003,False,2026-01-26,4,4:5
BA-100030,Bookstore Event Poster - Launch Day,"A campaign-ready Event Poster developed for Retail & E-commerce businesses participating in Product Launch initiatives. The deep-burgundy-cream palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Event Poster,Brand Identity,Retail & E-commerce,Product Launch,"['deep-burgundy-cream', 'rich-chocolate-caramel', 'vibrant-tropical']",SVG,ACC-1005,True,2025-12-29,48,9:16
BA-100031,Bookstore Signage - Celebrating Years,This Signage is a general-purpose design template available for Retail & E-commerce use cases. The muted-sage-taupe color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Anniversary Celebration campaign classification for archival purposes.,Signage,Educational Content,Retail & E-commerce,Anniversary Celebration,"['muted-sage-taupe', 'sky-blue-white']",PDF,ACC-1009,False,2026-01-20,72,9:16
BA-100032,Consulting Agency Promotional Banner - School Season,Generic Promotional Banner template stored in the asset library for Professional Services account holders. The vibrant-tropical palette designation was auto-assigned during the upload workflow. This asset is classified under Back to School for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Promotional Banner,Product Showcase,Professional Services,Back to School,"['vibrant-tropical', 'sky-blue-white', 'deep-burgundy-cream']",PNG,ACC-1004,True,2025-11-22,2,9:16
BA-100033,Style Studio Logo - Season's Best,"This Logo asset serves as a foundational piece of brand identity for Fashion & Apparel operations running a Holiday Sale initiative. Featuring a charcoal-white-minimal color scheme, it is optimized for Instagram story template use and social media graphic deployment. The design incorporates customer testimonial elements, discount badge overlays, and email template header formats. Supports multimodal content types including video clip and product photo integrations for omnichannel campaigns.",Logo,Product Showcase,Fashion & Apparel,Holiday Sale,"['charcoal-white-minimal', 'sky-blue-white']",JPEG,ACC-1012,False,2026-01-24,4,9:16
BA-100034,Clothing Boutique Promotional Banner - Spring Bloom,Generic Promotional Banner template stored in the asset library for Fashion & Apparel account holders. The monochrome-black-white palette designation was auto-assigned during the upload workflow. This asset is classified under Spring Collection for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Promotional Banner,Email Marketing,Fashion & Apparel,Spring Collection,"['monochrome-black-white', 'pastel-spring']",AI,ACC-1010,True,2025-12-15,21,1.91:1
BA-100035,Wellness Center Business Card - Holiday Deals,A standard Business Card asset catalogued under the Fitness & Wellness vertical for organizational reference. Color properties follow the rich-chocolate-caramel specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Holiday Sale campaign grouping. No additional design customization was applied beyond baseline template defaults.,Business Card,Product Showcase,Fitness & Wellness,Holiday Sale,['rich-chocolate-caramel'],JPEG,ACC-1001,True,2025-11-20,5,9:16
BA-100036,Wellness Center Loyalty Card - Creator Partnership,"A high-impact Loyalty Card built for Fitness & Wellness marketing, showcasing Italian food and pasta imagery within a fresh-green-white visual theme. This brand asset supports menu board design, restaurant dining collateral, and promotional banner placements. The asset includes logo variations aligned with the Influencer Collab campaign and is suited for food and beverage imagery across social media graphic formats. Designed to drive engagement through loyalty program graphics and seasonal campaign messaging.",Loyalty Card,Brand Identity,Fitness & Wellness,Influencer Collab,"['fresh-green-white', 'rich-chocolate-caramel']",SVG,ACC-1010,True,2026-03-03,15,9:16
BA-100037,Gym Business Card - Members Only,This Business Card represents a draft-stage design asset for Fitness & Wellness stakeholders. The bold-red-gold palette was specified in the creative brief but has not been finalized. It is catalogued under VIP Member Exclusive pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Business Card,Seasonal Promotion,Fitness & Wellness,VIP Member Exclusive,"['bold-red-gold', 'rich-chocolate-caramel']",JPEG,ACC-1005,True,2026-02-02,8,1:1
BA-100038,Neighborhood Store Flyer - Summer Refresh,"A polished Flyer asset tailored for General Small Business use cases, aligned with the Summer Promotion campaign narrative. The monochrome-black-white color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Flyer,Customer Testimonial,General Small Business,Summer Promotion,"['monochrome-black-white', 'charcoal-white-minimal']",PNG,ACC-1002,True,2026-02-27,44,4:5
BA-100039,Property Group Flyer - Now Open,"Built for Real Estate brands executing a New Location Launch strategy, this Flyer delivers clean visual collateral with a rich-chocolate-caramel palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Flyer,Customer Testimonial,Real Estate,New Location Launch,['rich-chocolate-caramel'],JPEG,ACC-1001,True,2026-02-20,90,9:16
BA-100040,Style Studio Promotional Banner - Hot Summer Deals,Generic Promotional Banner template stored in the asset library for Fashion & Apparel account holders. The sunset-orange-coral palette designation was auto-assigned during the upload workflow. This asset is classified under Summer Promotion for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Promotional Banner,Event & Campaign,Fashion & Apparel,Summer Promotion,"['sunset-orange-coral', 'fresh-green-white', 'sky-blue-white']",PNG,ACC-1045,True,2026-03-06,14,9:16
BA-100041,Clothing Boutique Logo - Eco-Friendly,This Logo is a general-purpose design template available for Fashion & Apparel use cases. The pastel-spring color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Sustainability Initiative campaign classification for archival purposes.,Logo,Social Media Content,Fashion & Apparel,Sustainability Initiative,['pastel-spring'],SVG,ACC-1005,True,2026-02-10,7,1:1
BA-100042,Consulting Agency Instagram Story Template - Holiday Deals,This Instagram Story Template is a general-purpose design template available for Professional Services use cases. The forest-green-gold color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Holiday Sale campaign classification for archival purposes.,Instagram Story Template,Food & Beverage Imagery,Professional Services,Holiday Sale,"['forest-green-gold', 'cool-blue-silver']",JPEG,ACC-1049,True,2026-01-10,2,9:16
BA-100043,Fitness Studio Flyer - Just Launched,Generic Flyer template stored in the asset library for Fitness & Wellness account holders. The bright-citrus-yellow palette designation was auto-assigned during the upload workflow. This asset is classified under Product Launch for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Flyer,Lifestyle & Editorial,Fitness & Wellness,Product Launch,['bright-citrus-yellow'],PNG,ACC-1013,True,2025-11-20,8,9:16
BA-100044,Style Studio Menu Board - Drink Specials,"A high-impact Menu Board built for Fashion & Apparel marketing, showcasing Italian food and pasta imagery within a bright-citrus-yellow visual theme. This brand asset supports menu board design, restaurant dining collateral, and promotional banner placements. The asset includes logo variations aligned with the Happy Hour Promo campaign and is suited for food and beverage imagery across social media graphic formats. Designed to drive engagement through loyalty program graphics and seasonal campaign messaging.",Menu Board,Email Marketing,Fashion & Apparel,Happy Hour Promo,"['bright-citrus-yellow', 'forest-green-gold']",MP4,ACC-1017,True,2025-12-19,2,9:16
BA-100045,Real Estate Agency Instagram Story Template - New Location,"A polished Instagram Story Template asset tailored for Real Estate use cases, aligned with the New Location Launch campaign narrative. The deep-burgundy-cream color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Instagram Story Template,Customer Testimonial,Real Estate,New Location Launch,['deep-burgundy-cream'],JPEG,ACC-1043,True,2025-11-22,0,4:3
BA-100046,Home Listings Case Study Layout - Back to School,"Built for Real Estate brands executing a Back to School strategy, this Case Study Layout delivers clean visual collateral with a sky-blue-white palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Case Study Layout,Social Media Content,Real Estate,Back to School,"['sky-blue-white', 'electric-neon']",SVG,ACC-1017,True,2026-01-03,9,9:16
BA-100047,Bed & Breakfast Loyalty Card - New Year Offer,"Built for Hospitality brands executing a New Year New You strategy, this Loyalty Card delivers clean visual collateral with a bright-citrus-yellow palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Loyalty Card,Brand Identity,Hospitality,New Year New You,"['bright-citrus-yellow', 'rich-chocolate-caramel']",SVG,ACC-1028,True,2026-01-20,0,3:2
BA-100048,Pizzeria Product Photo - Fall Collection,"A polished Product Photo asset tailored for Food & Beverage use cases, aligned with the Fall Harvest campaign narrative. The cool-blue-silver color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Product Photo,Seasonal Promotion,Food & Beverage,Fall Harvest,"['cool-blue-silver', 'navy-gold-premium']",MP4,ACC-1035,True,2025-12-06,5,4:5
BA-100049,Local Business Business Card - Brunch Vibes,A standard Business Card asset catalogued under the General Small Business vertical for organizational reference. Color properties follow the pastel-spring specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Weekend Brunch Series campaign grouping. No additional design customization was applied beyond baseline template defaults.,Business Card,Customer Testimonial,General Small Business,Weekend Brunch Series,"['pastel-spring', 'lavender-lilac', 'warm-earth-tones']",SVG,ACC-1002,True,2026-03-09,8,1:1
BA-100050,Food Truck Email Template Header - Rustic Italian,A standard Email Template Header asset catalogued under the Food & Beverage vertical for organizational reference. Color properties follow the charcoal-white-minimal specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Italian Cuisine Feature campaign grouping. No additional design customization was applied beyond baseline template defaults.,Email Template Header,Food & Beverage Imagery,Food & Beverage,Italian Cuisine Feature,['charcoal-white-minimal'],MP4,ACC-1001,True,2026-02-22,2,16:9
BA-100051,Consulting Agency Instagram Story Template - Fresh Spring Looks,An archived Instagram Story Template resource associated with Professional Services operations and the Spring Collection initiative. Color tagging reflects the charcoal-white-minimal palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Instagram Story Template,Social Media Content,Professional Services,Spring Collection,"['charcoal-white-minimal', 'blush-rose-gold']",PSD,ACC-1002,True,2026-02-16,5,1:1
BA-100052,Coffee Shop Logo - Opening Day,"A campaign-ready Logo developed for Food & Beverage businesses participating in New Location Launch initiatives. The sunset-orange-coral palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Logo,Brand Identity,Food & Beverage,New Location Launch,"['sunset-orange-coral', 'rich-chocolate-caramel']",PNG,ACC-1003,True,2026-01-06,1,16:9
BA-100053,Small Business Flyer - Evening Special,"This Flyer is a core brand identity asset designed for General Small Business businesses, featuring rich-chocolate-caramel color palette. It includes logo variations and menu board layouts optimized for Happy Hour Promo campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",Flyer,Food & Beverage Imagery,General Small Business,Happy Hour Promo,"['rich-chocolate-caramel', 'vibrant-tropical', 'olive-terracotta']",PNG,ACC-1001,True,2025-11-15,3,9:16
BA-100054,Local Business Instagram Story Template - Earth Friendly,"Designed as a flagship Instagram Story Template for General Small Business brands, this piece integrates brand identity principles with Sustainability Initiative campaign goals. The bright-citrus-yellow palette reinforces seasonal promotion messaging including summer promotion and holiday sale themes. It includes quote graphic overlays, customer testimonial campaign visuals, and loyalty program badge elements. Optimized for Instagram story template dimensions and social media graphic repurposing across platforms.",Instagram Story Template,Email Marketing,General Small Business,Sustainability Initiative,['bright-citrus-yellow'],JPEG,ACC-1019,True,2026-01-21,3,2:3
BA-100055,Realty Firm Promotional Banner - Member Benefits,"This Promotional Banner asset serves as a foundational piece of brand identity for Real Estate operations running a Loyalty Program initiative. Featuring a pastel-spring color scheme, it is optimized for Instagram story template use and social media graphic deployment. The design incorporates customer testimonial elements, discount badge overlays, and email template header formats. Supports multimodal content types including video clip and product photo integrations for omnichannel campaigns.",Promotional Banner,Event & Campaign,Real Estate,Loyalty Program,"['pastel-spring', 'vibrant-tropical']",PNG,ACC-1029,True,2026-01-31,16,9:16
BA-100056,Home Goods Store Email Template Header - Spring Refresh,"Built for Retail & E-commerce brands executing a Spring Collection strategy, this Email Template Header delivers clean visual collateral with a sunset-orange-coral palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Email Template Header,Business Operations,Retail & E-commerce,Spring Collection,['sunset-orange-coral'],GIF,ACC-1001,True,2025-12-17,4,1:1
BA-100057,Pizzeria Case Study Layout - New Arrival,"This Case Study Layout asset serves as a foundational piece of brand identity for Food & Beverage operations running a Product Launch initiative. Featuring a rich-chocolate-caramel color scheme, it is optimized for Instagram story template use and social media graphic deployment. The design incorporates customer testimonial elements, discount badge overlays, and email template header formats. Supports multimodal content types including video clip and product photo integrations for omnichannel campaigns.",Case Study Layout,Seasonal Promotion,Food & Beverage,Product Launch,['rich-chocolate-caramel'],PNG,ACC-1003,True,2025-12-26,2,1:1
BA-100058,Food Truck Loyalty Card - Back to School,"A campaign-ready Loyalty Card developed for Food & Beverage businesses participating in Back to School initiatives. The blush-rose-gold palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Loyalty Card,Loyalty & Rewards,Food & Beverage,Back to School,"['blush-rose-gold', 'bold-red-gold', 'monochrome-black-white']",JPEG,ACC-1010,True,2026-01-13,5,4:3
BA-100059,Boutique GIF Animation - Hot Summer Deals,"This GIF Animation asset serves as a foundational piece of brand identity for Retail & E-commerce operations running a Summer Promotion initiative. Featuring a warm-earth-tones color scheme, it is optimized for Instagram story template use and social media graphic deployment. The design incorporates customer testimonial elements, discount badge overlays, and email template header formats. Supports multimodal content types including video clip and product photo integrations for omnichannel campaigns.",GIF Animation,Product Showcase,Retail & E-commerce,Summer Promotion,"['warm-earth-tones', 'bright-citrus-yellow', 'sky-blue-white']",JPEG,ACC-1005,True,2025-12-07,6,16:9
