host_id,hostname,host.cpu.model.name,cpu_architecture,cpu_vendor,cpu_cores,memory_gb,datacenter,rack_location,hardware_generation,purchase_date,hourly_compute_cost_usd,licensing_cost_annual_usd,power_consumption_tdp_watts,migration_candidate,host_profile_description
host-00021,host-00021.jpmc.internal,AMD EPYC 7713,x86_64,AMD,96,384,NYC-DC2,R19-U12,Gen4,2022-05-06 13:09:12.390374,0.622,3626.0,260.0,False,AMD compute node in NYC-DC1 providing 384GB RAM for enterprise applications
host-00022,host-00022.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,48,768,NYC-DC1,R26-U41,Gen4,2023-07-18 13:09:12.390374,1.069,13289.0,170.0,True,High-performance Intel server optimized for I/O-intensive workloads with 48 cores
host-00023,host-00023.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,48,768,SJC-DC1,R37-U08,Gen5,2024-10-04 13:09:12.390374,1.494,14169.0,189.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00024,host-00024.jpmc.internal,AMD EPYC 7543,x86_64,AMD,32,256,CHI-DC1,R27-U11,Gen4,2024-02-29 13:09:12.390374,0.972,7785.0,186.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00025,host-00025.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,16,64,CHI-DC1,R09-U26,Gen3,2025-07-28 13:09:12.390374,1.228,10504.0,238.0,True,High-performance Intel server optimized for compute-intensive workloads with 16 cores
host-00026,host-00026.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,24,96,SJC-DC1,R01-U32,Gen5,2022-12-27 13:09:12.390374,1.103,11798.0,155.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00027,host-00027.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,48,768,DFW-DC1,R11-U42,Gen5,2021-03-16 13:09:12.390374,0.951,13136.0,245.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00028,host-00028.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,32,512,DFW-DC1,R25-U09,Gen5,2022-07-31 13:09:12.390374,1.225,11037.0,217.0,False,Intel compute node in CHI-DC1 providing 512GB RAM for enterprise applications
host-00029,host-00029.jpmc.internal,AMD EPYC 7543,x86_64,AMD,96,384,SJC-DC1,R28-U29,Gen3,2023-10-02 13:09:12.390374,0.972,3655.0,260.0,False,High-performance AMD server optimized for memory-intensive workloads with 96 cores
host-00030,host-00030.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,512,SJC-DC1,R13-U11,Gen4,2024-01-19 13:09:12.390374,0.811,10327.0,155.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00031,host-00031.jpmc.internal,AMD EPYC 7443,x86_64,AMD,48,192,DFW-DC1,R20-U02,Gen3,2022-01-22 13:09:12.390374,0.944,6279.0,209.0,False,AMD compute node in NYC-DC1 providing 192GB RAM for enterprise applications
host-00032,host-00032.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,256,NYC-DC1,R06-U06,Gen4,2022-05-02 13:09:12.390374,1.027,13643.0,171.0,True,High-performance Intel server optimized for I/O-intensive workloads with 16 cores
host-00033,host-00033.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,16,64,NYC-DC2,R35-U04,Gen3,2021-06-21 13:09:12.390374,1.302,12164.0,232.0,True,Intel compute node in CHI-DC1 providing 64GB RAM for enterprise applications
host-00034,host-00034.jpmc.internal,AMD EPYC 7443,x86_64,AMD,64,512,SJC-DC1,R28-U22,Gen3,2025-07-28 13:09:12.390374,0.975,3931.0,184.0,False,AMD compute node in DFW-DC1 providing 512GB RAM for enterprise applications
host-00035,host-00035.jpmc.internal,AMD EPYC 7763,x86_64,AMD,32,256,DFW-DC1,R40-U38,Gen3,2024-07-09 13:09:12.390374,0.529,6968.0,193.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00036,host-00036.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,512,NYC-DC2,R10-U21,Gen4,2021-10-08 13:09:12.390374,1.168,9401.0,190.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00037,host-00037.jpmc.internal,AMD EPYC 7543,x86_64,AMD,48,192,SJC-DC1,R38-U07,Gen3,2024-05-21 13:09:12.390374,0.786,5606.0,184.0,False,AMD compute node in NYC-DC2 providing 192GB RAM for enterprise applications
host-00038,host-00038.jpmc.internal,AMD EPYC 7543,x86_64,AMD,32,256,CHI-DC1,R04-U29,Gen3,2024-06-03 13:09:12.390374,0.841,4367.0,219.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00039,host-00039.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,16,128,NYC-DC2,R17-U22,Gen3,2022-05-31 13:09:12.390374,1.36,12506.0,247.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00040,host-00040.jpmc.internal,AMD EPYC 7543,x86_64,AMD,64,1024,NYC-DC2,R13-U41,Gen3,2023-12-18 13:09:12.390374,0.681,5874.0,211.0,False,AMD compute node in SJC-DC1 providing 1024GB RAM for enterprise applications
host-00041,host-00041.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,16,128,NYC-DC1,R13-U23,Gen5,2022-05-28 13:09:12.390374,0.886,8126.0,245.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00042,host-00042.jpmc.internal,AMD EPYC 7543,x86_64,AMD,64,256,NYC-DC2,R25-U09,Gen4,2023-01-24 13:09:12.390374,0.644,7800.0,269.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00043,host-00043.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,48,192,DFW-DC1,R11-U06,Gen5,2024-09-24 13:09:12.390374,0.869,9617.0,174.0,False,High-performance Intel server optimized for I/O-intensive workloads with 48 cores
host-00044,host-00044.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,16,256,DFW-DC1,R21-U07,Gen4,2023-11-09 13:09:12.390374,1.336,8605.0,155.0,True,Intel compute node in DFW-DC1 providing 256GB RAM for enterprise applications
host-00045,host-00045.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,24,384,NYC-DC1,R27-U24,Gen5,2024-11-10 13:09:12.390374,1.174,8972.0,243.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00046,host-00046.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,48,192,SJC-DC1,R07-U33,Gen4,2021-03-30 13:09:12.390374,1.364,13509.0,207.0,True,Intel compute node in NYC-DC1 providing 192GB RAM for enterprise applications
host-00047,host-00047.jpmc.internal,AMD EPYC 7713,x86_64,AMD,32,256,NYC-DC1,R21-U23,Gen4,2021-01-24 13:09:12.390374,0.895,4041.0,267.0,False,AMD compute node in NYC-DC2 providing 256GB RAM for enterprise applications
host-00048,host-00048.jpmc.internal,AMD EPYC 7443,x86_64,AMD,64,256,NYC-DC1,R30-U04,Gen4,2021-08-17 13:09:12.390374,0.693,7868.0,270.0,False,AMD compute node in CHI-DC1 providing 256GB RAM for enterprise applications
host-00049,host-00049.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,48,384,SJC-DC1,R09-U18,Gen4,2022-08-09 13:09:12.390374,0.988,14425.0,226.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00050,host-00050.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,48,768,SJC-DC1,R16-U21,Gen5,2024-02-03 13:09:12.390374,1.099,12072.0,181.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00051,host-00051.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,24,192,NYC-DC1,R08-U29,Gen4,2021-03-17 13:09:12.390374,1.489,10489.0,250.0,True,Intel compute node in NYC-DC1 providing 192GB RAM for enterprise applications
host-00052,host-00052.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,128,NYC-DC1,R12-U31,Gen4,2024-06-23 13:09:12.390374,1.071,12619.0,176.0,True,Intel compute node in NYC-DC2 providing 128GB RAM for enterprise applications
host-00053,host-00053.jpmc.internal,AMD EPYC 7443,x86_64,AMD,96,1536,NYC-DC2,R29-U24,Gen3,2023-05-17 13:09:12.390374,0.528,6548.0,242.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00054,host-00054.jpmc.internal,AMD EPYC 7443,x86_64,AMD,96,768,NYC-DC2,R21-U40,Gen3,2021-03-08 13:09:12.390374,0.502,7234.0,278.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00055,host-00055.jpmc.internal,AMD EPYC 7713,x86_64,AMD,64,512,CHI-DC1,R12-U16,Gen4,2023-08-10 13:09:12.390374,0.935,4189.0,207.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00056,host-00056.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,24,384,DFW-DC1,R27-U19,Gen5,2025-02-08 13:09:12.390374,1.437,14863.0,222.0,False,Intel compute node in NYC-DC1 providing 384GB RAM for enterprise applications
host-00057,host-00057.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,128,CHI-DC1,R27-U41,Gen5,2021-05-02 13:09:12.390374,0.979,11947.0,229.0,False,High-performance Intel server optimized for memory-intensive workloads with 16 cores
host-00058,host-00058.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,24,96,SJC-DC1,R04-U11,Gen3,2023-10-08 13:09:12.390374,1.383,11538.0,234.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00059,host-00059.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,24,96,SJC-DC1,R38-U06,Gen3,2021-07-03 13:09:12.390374,1.0,11357.0,159.0,True,Intel compute node in DFW-DC1 providing 96GB RAM for enterprise applications
host-00060,host-00060.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,24,192,CHI-DC1,R32-U08,Gen4,2024-09-17 13:09:12.390374,1.372,13300.0,204.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00061,host-00061.jpmc.internal,AMD EPYC 7443,x86_64,AMD,64,512,CHI-DC1,R25-U33,Gen4,2025-05-21 13:09:12.390374,0.849,5270.0,207.0,False,Modern AMD platform with enhanced security features for financial services compliance
host-00062,host-00062.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,24,384,SJC-DC1,R27-U30,Gen4,2022-06-10 13:09:12.390374,1.292,9953.0,205.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00063,host-00063.jpmc.internal,AMD EPYC 7763,x86_64,AMD,96,1536,NYC-DC2,R29-U01,Gen4,2024-04-27 13:09:12.390374,0.662,3149.0,227.0,False,Modern AMD platform with enhanced security features for financial services compliance
host-00064,host-00064.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,192,NYC-DC1,R28-U10,Gen4,2024-04-22 13:09:12.390374,1.078,9711.0,186.0,True,High-performance Intel server optimized for memory-intensive workloads with 24 cores
host-00065,host-00065.jpmc.internal,AMD EPYC 7443,x86_64,AMD,64,256,SJC-DC1,R25-U41,Gen3,2024-06-16 13:09:12.390374,0.674,3966.0,183.0,False,Modern AMD platform with enhanced security features for financial services compliance
host-00066,host-00066.jpmc.internal,AMD EPYC 7443,x86_64,AMD,96,768,NYC-DC1,R23-U08,Gen3,2023-07-09 13:09:12.390374,0.563,7826.0,186.0,False,AMD compute node in NYC-DC1 providing 768GB RAM for enterprise applications
host-00067,host-00067.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,48,384,SJC-DC1,R01-U18,Gen5,2025-03-20 13:09:12.390374,1.306,14378.0,230.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00068,host-00068.jpmc.internal,AMD EPYC 7543,x86_64,AMD,32,256,CHI-DC1,R07-U22,Gen4,2025-07-18 13:09:12.390374,0.705,7587.0,241.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00069,host-00069.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,256,DFW-DC1,R01-U21,Gen5,2022-11-12 13:09:12.390374,0.946,9795.0,220.0,False,High-performance Intel server optimized for I/O-intensive workloads with 16 cores
host-00070,host-00070.jpmc.internal,AMD EPYC 7443,x86_64,AMD,48,384,NYC-DC2,R11-U17,Gen4,2023-08-01 13:09:12.390374,0.727,6421.0,275.0,False,High-performance AMD server optimized for compute-intensive workloads with 48 cores
host-00071,host-00071.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,384,NYC-DC2,R08-U06,Gen3,2025-02-20 13:09:12.390374,1.001,11455.0,162.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00072,host-00072.jpmc.internal,AMD EPYC 7443,x86_64,AMD,48,768,CHI-DC1,R02-U06,Gen3,2023-05-10 13:09:12.390374,0.742,4483.0,263.0,False,High-performance AMD server optimized for I/O-intensive workloads with 48 cores
host-00073,host-00073.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,16,128,CHI-DC1,R09-U35,Gen4,2023-01-08 13:09:12.390374,1.387,9624.0,248.0,True,Intel compute node in CHI-DC1 providing 128GB RAM for enterprise applications
host-00074,host-00074.jpmc.internal,AMD EPYC 7543,x86_64,AMD,96,768,SJC-DC1,R38-U41,Gen3,2025-02-13 13:09:12.390374,0.539,3047.0,263.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00075,host-00075.jpmc.internal,AMD EPYC 7443,x86_64,AMD,32,256,SJC-DC1,R01-U11,Gen3,2022-07-10 13:09:12.390374,0.889,7318.0,212.0,False,High-performance AMD server optimized for memory-intensive workloads with 32 cores
host-00076,host-00076.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,96,DFW-DC1,R25-U38,Gen5,2022-04-03 13:09:12.390374,1.477,8296.0,202.0,False,Intel compute node in NYC-DC1 providing 96GB RAM for enterprise applications
host-00077,host-00077.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,48,768,NYC-DC1,R13-U02,Gen5,2025-06-05 13:09:12.390374,0.998,9020.0,163.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00078,host-00078.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,512,NYC-DC1,R07-U14,Gen4,2023-12-26 13:09:12.390374,1.454,8514.0,190.0,True,Intel compute node in CHI-DC1 providing 512GB RAM for enterprise applications
host-00079,host-00079.jpmc.internal,AMD EPYC 7713,x86_64,AMD,96,1536,DFW-DC1,R29-U18,Gen4,2022-09-23 13:09:12.390374,0.664,7272.0,272.0,False,Modern AMD platform with enhanced security features for financial services compliance
host-00080,host-00080.jpmc.internal,AMD EPYC 7763,x86_64,AMD,32,256,CHI-DC1,R29-U26,Gen3,2024-06-20 13:09:12.390374,0.847,3398.0,270.0,False,AMD compute node in SJC-DC1 providing 256GB RAM for enterprise applications
host-00081,host-00081.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,24,96,NYC-DC1,R35-U22,Gen3,2024-02-26 13:09:12.390374,1.113,8774.0,212.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00082,host-00082.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,32,256,SJC-DC1,R29-U30,Gen3,2021-01-20 13:09:12.390374,0.848,9511.0,179.0,True,High-performance Intel server optimized for memory-intensive workloads with 32 cores
host-00083,host-00083.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,32,512,NYC-DC1,R31-U11,Gen5,2022-04-30 13:09:12.390374,1.03,9223.0,200.0,False,High-performance Intel server optimized for memory-intensive workloads with 32 cores
host-00084,host-00084.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,16,64,NYC-DC1,R03-U05,Gen5,2023-08-23 13:09:12.390374,1.488,13735.0,218.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00085,host-00085.jpmc.internal,AMD EPYC 7713,x86_64,AMD,64,512,NYC-DC2,R15-U18,Gen3,2023-08-22 13:09:12.390374,0.544,7351.0,194.0,False,High-performance AMD server optimized for memory-intensive workloads with 64 cores
host-00086,host-00086.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,48,384,CHI-DC1,R22-U06,Gen3,2022-12-12 13:09:12.390374,1.03,14274.0,172.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00087,host-00087.jpmc.internal,AMD EPYC 7443,x86_64,AMD,96,768,NYC-DC1,R39-U30,Gen4,2022-11-18 13:09:12.390374,0.721,6581.0,235.0,False,High-performance AMD server optimized for I/O-intensive workloads with 96 cores
host-00088,host-00088.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,48,768,CHI-DC1,R04-U34,Gen5,2021-08-26 13:09:12.390374,1.068,8740.0,223.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00089,host-00089.jpmc.internal,AMD EPYC 7443,x86_64,AMD,48,384,NYC-DC1,R39-U28,Gen3,2023-06-13 13:09:12.390374,0.557,3209.0,199.0,False,AMD compute node in DFW-DC1 providing 384GB RAM for enterprise applications
host-00090,host-00090.jpmc.internal,AMD EPYC 7443,x86_64,AMD,96,384,SJC-DC1,R19-U35,Gen4,2022-08-29 13:09:12.390374,0.803,6275.0,226.0,False,AMD compute node in SJC-DC1 providing 384GB RAM for enterprise applications
host-00091,host-00091.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,192,CHI-DC1,R23-U14,Gen5,2023-10-28 13:09:12.390374,0.901,11216.0,231.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00092,host-00092.jpmc.internal,AMD EPYC 7443,x86_64,AMD,64,1024,NYC-DC2,R03-U13,Gen3,2024-03-07 13:09:12.390374,0.803,6397.0,256.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00093,host-00093.jpmc.internal,AMD EPYC 7543,x86_64,AMD,64,256,NYC-DC1,R38-U04,Gen3,2021-08-02 13:09:12.390374,0.773,7708.0,196.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running compute-intensive"
host-00094,host-00094.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,256,DFW-DC1,R15-U39,Gen5,2022-06-05 13:09:12.390374,1.347,12605.0,243.0,False,Intel compute node in DFW-DC1 providing 256GB RAM for enterprise applications
host-00095,host-00095.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,32,512,NYC-DC1,R16-U35,Gen4,2025-02-09 13:09:12.390374,1.464,11468.0,243.0,True,Intel compute node in SJC-DC1 providing 512GB RAM for enterprise applications
host-00096,host-00096.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,32,128,NYC-DC1,R25-U08,Gen3,2023-06-07 13:09:12.390374,1.331,9992.0,152.0,True,High-performance Intel server optimized for memory-intensive workloads with 32 cores
host-00097,host-00097.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,512,CHI-DC1,R29-U18,Gen4,2021-01-28 13:09:12.390374,1.441,8077.0,178.0,True,High-performance Intel server optimized for I/O-intensive workloads with 32 cores
host-00098,host-00098.jpmc.internal,AMD EPYC 7713,x86_64,AMD,96,768,SJC-DC1,R01-U24,Gen4,2022-03-11 13:09:12.390374,0.956,3775.0,228.0,False,High-performance AMD server optimized for compute-intensive workloads with 96 cores
host-00099,host-00099.jpmc.internal,AMD EPYC 7763,x86_64,AMD,32,512,DFW-DC1,R25-U05,Gen4,2021-05-06 13:09:12.390374,0.737,3272.0,235.0,False,Modern AMD platform with enhanced security features for financial services compliance
host-00100,host-00100.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,128,CHI-DC1,R02-U32,Gen3,2023-05-03 13:09:12.390374,1.257,12221.0,241.0,True,Intel compute node in SJC-DC1 providing 128GB RAM for enterprise applications
host-00101,host-00101.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,16,128,DFW-DC1,R27-U02,Gen3,2024-05-27 13:09:12.390374,1.36,14019.0,215.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00102,host-00102.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,48,768,CHI-DC1,R07-U31,Gen4,2023-04-13 13:09:12.390374,0.923,9947.0,167.0,True,High-performance Intel server optimized for I/O-intensive workloads with 48 cores
host-00103,host-00103.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,48,768,NYC-DC1,R33-U25,Gen4,2025-04-14 13:09:12.390374,0.967,12492.0,170.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00104,host-00104.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,256,DFW-DC1,R11-U15,Gen4,2023-04-20 13:09:12.390374,1.23,14321.0,162.0,True,High-performance Intel server optimized for compute-intensive workloads with 16 cores
host-00105,host-00105.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,192,CHI-DC1,R18-U40,Gen4,2022-04-03 13:09:12.390374,1.449,8931.0,186.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00106,host-00106.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,128,NYC-DC2,R26-U09,Gen3,2021-03-31 13:09:12.390374,1.274,10286.0,229.0,True,Intel compute node in NYC-DC1 providing 128GB RAM for enterprise applications
host-00107,host-00107.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,48,768,CHI-DC1,R38-U37,Gen5,2024-01-12 13:09:12.390374,0.883,12962.0,154.0,False,Intel compute node in NYC-DC2 providing 768GB RAM for enterprise applications
host-00108,host-00108.jpmc.internal,AMD EPYC 7763,x86_64,AMD,48,384,CHI-DC1,R11-U39,Gen3,2023-09-12 13:09:12.390374,0.994,4028.0,251.0,False,High-performance AMD server optimized for I/O-intensive workloads with 48 cores
host-00109,host-00109.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,48,192,DFW-DC1,R34-U10,Gen4,2021-08-05 13:09:12.390374,1.233,14972.0,169.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00110,host-00110.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,96,DFW-DC1,R15-U06,Gen4,2023-09-17 13:09:12.390374,1.326,9007.0,192.0,True,Intel compute node in SJC-DC1 providing 96GB RAM for enterprise applications
