application_id,application_name,business_unit,criticality_tier,workload_category,sla_target_ms,min_tps_required,cost_center,migration_priority,migration_status,owner_team,application_characteristics
app-0028,Trading-TradingPlatform-app-0028,Trading,Tier2-High,Trading Platform,21.79,2019.94,CC-4018,P3-Low,In Progress,Trading-Engineering,Trading Platform application for Trading requiring Tier2-High availability and sub-21ms latency
app-0029,Treasury-DataWarehouse-app-0029,Treasury,Tier2-High,Data Warehouse,37.08,3572.85,CC-8018,P2-Medium,Not Started,Treasury-Engineering,Data Warehouse application for Treasury requiring Tier2-High availability and sub-37ms latency
app-0030,InvestmentBanking-TradingPlatform-app-0030,Investment Banking,Tier1-Critical,Trading Platform,12.68,411.21,CC-4207,P3-Low,Not Started,Investment-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0031,Treasury-BatchProcessing-app-0031,Treasury,Tier4-Low,Batch Processing,210.05,2731.22,CC-3457,P0-Immediate,Not Started,Treasury-Engineering,Batch Processing application for Treasury requiring Tier4-Low availability and sub-210ms latency
app-0032,RiskManagement-PaymentProcessing-app-0032,Risk Management,Tier4-Low,Payment Processing,611.39,4346.16,CC-5050,P2-Medium,Not Started,Risk-Engineering,Mission-critical Payment Processing system processing 4346 TPS with strict regulatory compliance requirements
app-0033,AssetManagement-TradingPlatform-app-0033,Asset Management,Tier2-High,Trading Platform,46.28,1836.88,CC-8807,P3-Low,In Progress,Asset-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0034,Treasury-RiskAnalytics-app-0034,Treasury,Tier3-Medium,Risk Analytics,160.42,234.7,CC-7454,P3-Low,Completed,Treasury-Engineering,Risk Analytics application for Treasury requiring Tier3-Medium availability and sub-160ms latency
app-0035,Trading-RiskAnalytics-app-0035,Trading,Tier2-High,Risk Analytics,36.16,4271.12,CC-9382,P2-Medium,Completed,Trading-Engineering,Risk Analytics application for Trading requiring Tier2-High availability and sub-36ms latency
app-0036,InvestmentBanking-TradingPlatform-app-0036,Investment Banking,Tier1-Critical,Trading Platform,19.39,1112.34,CC-2869,P0-Immediate,Not Started,Investment-Engineering,Trading Platform application for Investment Banking requiring Tier1-Critical availability and sub-19ms latency
app-0037,RiskManagement-DataWarehouse-app-0037,Risk Management,Tier1-Critical,Data Warehouse,19.8,4098.38,CC-1965,P1-High,Not Started,Risk-Engineering,Enterprise Data Warehouse platform serving Risk Management with Not Started migration to AMD infrastructure
app-0038,InvestmentBanking-BatchProcessing-app-0038,Investment Banking,Tier2-High,Batch Processing,38.69,2726.21,CC-3074,P3-Low,In Progress,Investment-Engineering,Enterprise Batch Processing platform serving Investment Banking with In Progress migration to AMD infrastructure
app-0039,RetailBanking-PaymentProcessing-app-0039,Retail Banking,Tier4-Low,Payment Processing,425.54,3628.58,CC-6485,P2-Medium,Not Started,Retail-Engineering,Payment Processing application for Retail Banking requiring Tier4-Low availability and sub-425ms latency
app-0040,Treasury-PaymentProcessing-app-0040,Treasury,Tier2-High,Payment Processing,25.36,2250.76,CC-7025,P3-Low,Planning,Treasury-Engineering,Enterprise Payment Processing platform serving Treasury with Planning migration to AMD infrastructure
app-0041,Trading-BatchProcessing-app-0041,Trading,Tier2-High,Batch Processing,38.17,3134.81,CC-3869,P1-High,Not Started,Trading-Engineering,Enterprise Batch Processing platform serving Trading with Not Started migration to AMD infrastructure
app-0042,InvestmentBanking-TradingPlatform-app-0042,Investment Banking,Tier2-High,Trading Platform,46.08,959.33,CC-1039,P2-Medium,Planning,Investment-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0043,RiskManagement-PaymentProcessing-app-0043,Risk Management,Tier3-Medium,Payment Processing,127.41,4565.08,CC-4429,P2-Medium,Not Started,Risk-Engineering,Mission-critical Payment Processing system processing 4565 TPS with strict regulatory compliance requirements
app-0044,Trading-DataWarehouse-app-0044,Trading,Tier2-High,Data Warehouse,24.68,4408.96,CC-4951,P1-High,Completed,Trading-Engineering,Mission-critical Data Warehouse system processing 4408 TPS with strict regulatory compliance requirements
app-0045,RetailBanking-Real-timeStreaming-app-0045,Retail Banking,Tier2-High,Real-time Streaming,29.86,1925.91,CC-5602,P1-High,Not Started,Retail-Engineering,Real-time Streaming application for Retail Banking requiring Tier2-High availability and sub-29ms latency
app-0046,InvestmentBanking-RiskAnalytics-app-0046,Investment Banking,Tier2-High,Risk Analytics,30.45,4528.45,CC-8360,P1-High,Not Started,Investment-Engineering,Enterprise Risk Analytics platform serving Investment Banking with Not Started migration to AMD infrastructure
app-0047,Treasury-DataWarehouse-app-0047,Treasury,Tier3-Medium,Data Warehouse,98.13,2371.17,CC-4306,P1-High,Completed,Treasury-Engineering,Data Warehouse application for Treasury requiring Tier3-Medium availability and sub-98ms latency
app-0048,InvestmentBanking-BatchProcessing-app-0048,Investment Banking,Tier1-Critical,Batch Processing,6.48,4612.79,CC-2244,P1-High,Not Started,Investment-Engineering,Mission-critical Batch Processing system processing 4612 TPS with strict regulatory compliance requirements
app-0049,Trading-Real-timeStreaming-app-0049,Trading,Tier4-Low,Real-time Streaming,663.73,157.31,CC-4362,P3-Low,Not Started,Trading-Engineering,Real-time Streaming application for Trading requiring Tier4-Low availability and sub-663ms latency
app-0050,Treasury-Real-timeStreaming-app-0050,Treasury,Tier3-Medium,Real-time Streaming,69.58,3004.07,CC-6095,P1-High,Not Started,Treasury-Engineering,Enterprise Real-time Streaming platform serving Treasury with Not Started migration to AMD infrastructure
app-0051,Trading-PaymentProcessing-app-0051,Trading,Tier3-Medium,Payment Processing,67.78,3017.59,CC-6431,P1-High,Not Started,Trading-Engineering,Enterprise Payment Processing platform serving Trading with Not Started migration to AMD infrastructure
app-0052,Trading-TradingPlatform-app-0052,Trading,Tier1-Critical,Trading Platform,14.47,2449.22,CC-6976,P2-Medium,Not Started,Trading-Engineering,Enterprise Trading Platform platform serving Trading with Not Started migration to AMD infrastructure
app-0053,AssetManagement-PaymentProcessing-app-0053,Asset Management,Tier4-Low,Payment Processing,730.02,2853.22,CC-3756,P2-Medium,In Progress,Asset-Engineering,Mission-critical Payment Processing system processing 2853 TPS with strict regulatory compliance requirements
app-0054,AssetManagement-DataWarehouse-app-0054,Asset Management,Tier2-High,Data Warehouse,39.0,4090.63,CC-7179,P3-Low,Planning,Asset-Engineering,High-throughput Data Warehouse application optimized for real-time processing and low-latency execution
app-0055,AssetManagement-PaymentProcessing-app-0055,Asset Management,Tier3-Medium,Payment Processing,83.05,3224.26,CC-6321,P3-Low,Completed,Asset-Engineering,Payment Processing application for Asset Management requiring Tier3-Medium availability and sub-83ms latency
app-0056,Trading-RiskAnalytics-app-0056,Trading,Tier2-High,Risk Analytics,24.21,4296.49,CC-3542,P1-High,In Progress,Trading-Engineering,High-throughput Risk Analytics application optimized for real-time processing and low-latency execution
app-0057,Trading-DataWarehouse-app-0057,Trading,Tier3-Medium,Data Warehouse,108.93,3935.39,CC-2930,P3-Low,Not Started,Trading-Engineering,Enterprise Data Warehouse platform serving Trading with Not Started migration to AMD infrastructure
app-0058,RetailBanking-RiskAnalytics-app-0058,Retail Banking,Tier2-High,Risk Analytics,44.46,1046.5,CC-1663,P0-Immediate,Not Started,Retail-Engineering,Risk Analytics application for Retail Banking requiring Tier2-High availability and sub-44ms latency
app-0059,RiskManagement-DataWarehouse-app-0059,Risk Management,Tier3-Medium,Data Warehouse,72.27,1881.96,CC-4151,P3-Low,Completed,Risk-Engineering,Data Warehouse application for Risk Management requiring Tier3-Medium availability and sub-72ms latency
app-0060,RiskManagement-TradingPlatform-app-0060,Risk Management,Tier1-Critical,Trading Platform,19.92,1342.84,CC-8765,P3-Low,Not Started,Risk-Engineering,Mission-critical Trading Platform system processing 1342 TPS with strict regulatory compliance requirements
app-0061,AssetManagement-TradingPlatform-app-0061,Asset Management,Tier3-Medium,Trading Platform,52.55,315.2,CC-7594,P0-Immediate,Not Started,Asset-Engineering,Trading Platform application for Asset Management requiring Tier3-Medium availability and sub-52ms latency
app-0062,RiskManagement-PaymentProcessing-app-0062,Risk Management,Tier4-Low,Payment Processing,927.68,2173.27,CC-5229,P2-Medium,Not Started,Risk-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0063,RiskManagement-BatchProcessing-app-0063,Risk Management,Tier1-Critical,Batch Processing,15.33,3064.43,CC-7372,P2-Medium,Not Started,Risk-Engineering,Batch Processing application for Risk Management requiring Tier1-Critical availability and sub-15ms latency
app-0064,RetailBanking-BatchProcessing-app-0064,Retail Banking,Tier3-Medium,Batch Processing,163.6,4812.98,CC-3385,P0-Immediate,Planning,Retail-Engineering,Mission-critical Batch Processing system processing 4812 TPS with strict regulatory compliance requirements
app-0065,Treasury-DataWarehouse-app-0065,Treasury,Tier3-Medium,Data Warehouse,84.65,3792.38,CC-1565,P2-Medium,Not Started,Treasury-Engineering,Mission-critical Data Warehouse system processing 3792 TPS with strict regulatory compliance requirements
app-0066,Trading-RiskAnalytics-app-0066,Trading,Tier2-High,Risk Analytics,22.55,2550.38,CC-3884,P1-High,In Progress,Trading-Engineering,Risk Analytics application for Trading requiring Tier2-High availability and sub-22ms latency
app-0067,InvestmentBanking-Real-timeStreaming-app-0067,Investment Banking,Tier3-Medium,Real-time Streaming,72.28,3046.92,CC-5428,P0-Immediate,Not Started,Investment-Engineering,Mission-critical Real-time Streaming system processing 3046 TPS with strict regulatory compliance requirements
app-0068,AssetManagement-DataWarehouse-app-0068,Asset Management,Tier1-Critical,Data Warehouse,12.22,1169.83,CC-7072,P2-Medium,Not Started,Asset-Engineering,Mission-critical Data Warehouse system processing 1169 TPS with strict regulatory compliance requirements
app-0069,AssetManagement-RiskAnalytics-app-0069,Asset Management,Tier4-Low,Risk Analytics,498.6,3355.99,CC-2540,P3-Low,Completed,Asset-Engineering,High-throughput Risk Analytics application optimized for real-time processing and low-latency execution
app-0070,RetailBanking-TradingPlatform-app-0070,Retail Banking,Tier2-High,Trading Platform,26.19,4571.9,CC-3246,P0-Immediate,In Progress,Retail-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0071,InvestmentBanking-PaymentProcessing-app-0071,Investment Banking,Tier4-Low,Payment Processing,284.04,3346.0,CC-3336,P2-Medium,In Progress,Investment-Engineering,Payment Processing application for Investment Banking requiring Tier4-Low availability and sub-284ms latency
app-0072,RetailBanking-TradingPlatform-app-0072,Retail Banking,Tier3-Medium,Trading Platform,190.44,2314.1,CC-7371,P1-High,Not Started,Retail-Engineering,Mission-critical Trading Platform system processing 2314 TPS with strict regulatory compliance requirements
app-0073,RetailBanking-TradingPlatform-app-0073,Retail Banking,Tier2-High,Trading Platform,42.98,2151.29,CC-4878,P1-High,Not Started,Retail-Engineering,Mission-critical Trading Platform system processing 2151 TPS with strict regulatory compliance requirements
app-0074,Trading-Real-timeStreaming-app-0074,Trading,Tier4-Low,Real-time Streaming,626.16,1329.78,CC-7005,P3-Low,In Progress,Trading-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0075,Treasury-Real-timeStreaming-app-0075,Treasury,Tier3-Medium,Real-time Streaming,192.71,1720.43,CC-5534,P2-Medium,Not Started,Treasury-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0076,RetailBanking-DataWarehouse-app-0076,Retail Banking,Tier2-High,Data Warehouse,34.92,4399.99,CC-7094,P0-Immediate,Not Started,Retail-Engineering,Data Warehouse application for Retail Banking requiring Tier2-High availability and sub-34ms latency
app-0077,AssetManagement-Real-timeStreaming-app-0077,Asset Management,Tier1-Critical,Real-time Streaming,19.85,1725.35,CC-9948,P0-Immediate,Not Started,Asset-Engineering,Mission-critical Real-time Streaming system processing 1725 TPS with strict regulatory compliance requirements
app-0078,InvestmentBanking-TradingPlatform-app-0078,Investment Banking,Tier3-Medium,Trading Platform,53.12,3955.25,CC-6783,P2-Medium,In Progress,Investment-Engineering,Mission-critical Trading Platform system processing 3955 TPS with strict regulatory compliance requirements
app-0079,Trading-BatchProcessing-app-0079,Trading,Tier1-Critical,Batch Processing,6.09,4308.13,CC-7666,P3-Low,In Progress,Trading-Engineering,Mission-critical Batch Processing system processing 4308 TPS with strict regulatory compliance requirements
app-0080,InvestmentBanking-RiskAnalytics-app-0080,Investment Banking,Tier1-Critical,Risk Analytics,16.09,4843.31,CC-7718,P1-High,Planning,Investment-Engineering,Mission-critical Risk Analytics system processing 4843 TPS with strict regulatory compliance requirements
app-0081,Trading-RiskAnalytics-app-0081,Trading,Tier3-Medium,Risk Analytics,191.51,3368.48,CC-8866,P1-High,Planning,Trading-Engineering,Risk Analytics application for Trading requiring Tier3-Medium availability and sub-191ms latency
app-0082,Trading-DataWarehouse-app-0082,Trading,Tier1-Critical,Data Warehouse,6.86,3252.55,CC-7518,P3-Low,Not Started,Trading-Engineering,Data Warehouse application for Trading requiring Tier1-Critical availability and sub-6ms latency
app-0083,RiskManagement-RiskAnalytics-app-0083,Risk Management,Tier3-Medium,Risk Analytics,107.13,2755.69,CC-9811,P0-Immediate,Not Started,Risk-Engineering,Mission-critical Risk Analytics system processing 2755 TPS with strict regulatory compliance requirements
app-0084,RiskManagement-PaymentProcessing-app-0084,Risk Management,Tier2-High,Payment Processing,41.22,3472.91,CC-6873,P0-Immediate,Completed,Risk-Engineering,Payment Processing application for Risk Management requiring Tier2-High availability and sub-41ms latency
app-0085,Treasury-BatchProcessing-app-0085,Treasury,Tier4-Low,Batch Processing,386.42,4595.07,CC-6005,P2-Medium,Not Started,Treasury-Engineering,High-throughput Batch Processing application optimized for real-time processing and low-latency execution
app-0086,RetailBanking-Real-timeStreaming-app-0086,Retail Banking,Tier4-Low,Real-time Streaming,397.31,2267.99,CC-4749,P2-Medium,In Progress,Retail-Engineering,Mission-critical Real-time Streaming system processing 2267 TPS with strict regulatory compliance requirements
app-0087,Trading-Real-timeStreaming-app-0087,Trading,Tier4-Low,Real-time Streaming,293.82,2686.64,CC-2272,P1-High,Not Started,Trading-Engineering,Mission-critical Real-time Streaming system processing 2686 TPS with strict regulatory compliance requirements
app-0088,RiskManagement-DataWarehouse-app-0088,Risk Management,Tier2-High,Data Warehouse,21.45,1696.32,CC-6117,P1-High,Planning,Risk-Engineering,High-throughput Data Warehouse application optimized for real-time processing and low-latency execution
app-0089,Treasury-BatchProcessing-app-0089,Treasury,Tier3-Medium,Batch Processing,72.16,3313.61,CC-9727,P3-Low,In Progress,Treasury-Engineering,Enterprise Batch Processing platform serving Treasury with In Progress migration to AMD infrastructure
app-0090,InvestmentBanking-TradingPlatform-app-0090,Investment Banking,Tier4-Low,Trading Platform,593.51,650.36,CC-9057,P1-High,Not Started,Investment-Engineering,Mission-critical Trading Platform system processing 650 TPS with strict regulatory compliance requirements
app-0091,RiskManagement-BatchProcessing-app-0091,Risk Management,Tier3-Medium,Batch Processing,120.18,2466.01,CC-3019,P0-Immediate,Planning,Risk-Engineering,Mission-critical Batch Processing system processing 2466 TPS with strict regulatory compliance requirements
app-0092,RiskManagement-PaymentProcessing-app-0092,Risk Management,Tier3-Medium,Payment Processing,168.85,621.86,CC-7763,P3-Low,Planning,Risk-Engineering,Payment Processing application for Risk Management requiring Tier3-Medium availability and sub-168ms latency
app-0093,AssetManagement-DataWarehouse-app-0093,Asset Management,Tier3-Medium,Data Warehouse,134.24,908.98,CC-5609,P1-High,Not Started,Asset-Engineering,Mission-critical Data Warehouse system processing 908 TPS with strict regulatory compliance requirements
app-0094,AssetManagement-BatchProcessing-app-0094,Asset Management,Tier3-Medium,Batch Processing,66.32,3899.57,CC-2371,P3-Low,In Progress,Asset-Engineering,Enterprise Batch Processing platform serving Asset Management with In Progress migration to AMD infrastructure
app-0095,RiskManagement-TradingPlatform-app-0095,Risk Management,Tier3-Medium,Trading Platform,162.01,1256.2,CC-6874,P1-High,Not Started,Risk-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0096,Treasury-DataWarehouse-app-0096,Treasury,Tier1-Critical,Data Warehouse,13.77,2796.88,CC-7093,P3-Low,In Progress,Treasury-Engineering,Data Warehouse application for Treasury requiring Tier1-Critical availability and sub-13ms latency
app-0097,Trading-Real-timeStreaming-app-0097,Trading,Tier4-Low,Real-time Streaming,526.27,949.68,CC-6116,P3-Low,Planning,Trading-Engineering,Enterprise Real-time Streaming platform serving Trading with Planning migration to AMD infrastructure
app-0098,AssetManagement-TradingPlatform-app-0098,Asset Management,Tier3-Medium,Trading Platform,118.48,1790.37,CC-9275,P2-Medium,Not Started,Asset-Engineering,Mission-critical Trading Platform system processing 1790 TPS with strict regulatory compliance requirements
app-0099,RiskManagement-PaymentProcessing-app-0099,Risk Management,Tier4-Low,Payment Processing,604.21,2359.69,CC-7531,P2-Medium,Completed,Risk-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0100,RiskManagement-TradingPlatform-app-0100,Risk Management,Tier3-Medium,Trading Platform,158.21,2764.62,CC-8837,P2-Medium,Not Started,Risk-Engineering,Mission-critical Trading Platform system processing 2764 TPS with strict regulatory compliance requirements
app-0101,AssetManagement-TradingPlatform-app-0101,Asset Management,Tier1-Critical,Trading Platform,18.9,1227.04,CC-3655,P0-Immediate,Not Started,Asset-Engineering,Trading Platform application for Asset Management requiring Tier1-Critical availability and sub-18ms latency
app-0102,RiskManagement-TradingPlatform-app-0102,Risk Management,Tier1-Critical,Trading Platform,19.69,987.89,CC-1399,P2-Medium,Planning,Risk-Engineering,Trading Platform application for Risk Management requiring Tier1-Critical availability and sub-19ms latency
app-0103,InvestmentBanking-RiskAnalytics-app-0103,Investment Banking,Tier2-High,Risk Analytics,31.67,4117.72,CC-7257,P2-Medium,In Progress,Investment-Engineering,Mission-critical Risk Analytics system processing 4117 TPS with strict regulatory compliance requirements
app-0104,Trading-DataWarehouse-app-0104,Trading,Tier3-Medium,Data Warehouse,72.32,4752.09,CC-2994,P2-Medium,Not Started,Trading-Engineering,Data Warehouse application for Trading requiring Tier3-Medium availability and sub-72ms latency
app-0105,Trading-BatchProcessing-app-0105,Trading,Tier1-Critical,Batch Processing,6.61,2600.15,CC-6696,P2-Medium,In Progress,Trading-Engineering,High-throughput Batch Processing application optimized for real-time processing and low-latency execution
app-0106,RiskManagement-TradingPlatform-app-0106,Risk Management,Tier3-Medium,Trading Platform,115.86,3796.59,CC-2408,P0-Immediate,In Progress,Risk-Engineering,Trading Platform application for Risk Management requiring Tier3-Medium availability and sub-115ms latency
app-0107,RetailBanking-DataWarehouse-app-0107,Retail Banking,Tier2-High,Data Warehouse,22.27,303.05,CC-8682,P3-Low,Completed,Retail-Engineering,Enterprise Data Warehouse platform serving Retail Banking with Completed migration to AMD infrastructure
app-0108,RiskManagement-TradingPlatform-app-0108,Risk Management,Tier1-Critical,Trading Platform,13.97,865.4,CC-2371,P2-Medium,Not Started,Risk-Engineering,Mission-critical Trading Platform system processing 865 TPS with strict regulatory compliance requirements
app-0109,Trading-Real-timeStreaming-app-0109,Trading,Tier2-High,Real-time Streaming,37.4,2088.97,CC-6221,P3-Low,Not Started,Trading-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0110,Trading-Real-timeStreaming-app-0110,Trading,Tier3-Medium,Real-time Streaming,162.87,1063.7,CC-9419,P2-Medium,Not Started,Trading-Engineering,Mission-critical Real-time Streaming system processing 1063 TPS with strict regulatory compliance requirements
app-0111,Trading-RiskAnalytics-app-0111,Trading,Tier4-Low,Risk Analytics,935.04,3383.13,CC-5395,P3-Low,Completed,Trading-Engineering,Risk Analytics application for Trading requiring Tier4-Low availability and sub-935ms latency
app-0112,InvestmentBanking-TradingPlatform-app-0112,Investment Banking,Tier2-High,Trading Platform,27.26,3889.25,CC-3424,P1-High,Not Started,Investment-Engineering,Mission-critical Trading Platform system processing 3889 TPS with strict regulatory compliance requirements
app-0113,InvestmentBanking-PaymentProcessing-app-0113,Investment Banking,Tier4-Low,Payment Processing,695.7,4287.65,CC-2061,P3-Low,Not Started,Investment-Engineering,Payment Processing application for Investment Banking requiring Tier4-Low availability and sub-695ms latency
app-0114,AssetManagement-TradingPlatform-app-0114,Asset Management,Tier1-Critical,Trading Platform,13.44,4178.99,CC-9433,P1-High,Completed,Asset-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0115,InvestmentBanking-RiskAnalytics-app-0115,Investment Banking,Tier2-High,Risk Analytics,28.32,1231.22,CC-2188,P2-Medium,Planning,Investment-Engineering,Risk Analytics application for Investment Banking requiring Tier2-High availability and sub-28ms latency
app-0116,Trading-TradingPlatform-app-0116,Trading,Tier4-Low,Trading Platform,403.14,3003.6,CC-3504,P3-Low,Planning,Trading-Engineering,Enterprise Trading Platform platform serving Trading with Planning migration to AMD infrastructure
app-0117,AssetManagement-DataWarehouse-app-0117,Asset Management,Tier1-Critical,Data Warehouse,19.94,4600.97,CC-8439,P1-High,Not Started,Asset-Engineering,Mission-critical Data Warehouse system processing 4600 TPS with strict regulatory compliance requirements
app-0118,AssetManagement-PaymentProcessing-app-0118,Asset Management,Tier4-Low,Payment Processing,666.7,4831.4,CC-3339,P2-Medium,In Progress,Asset-Engineering,Enterprise Payment Processing platform serving Asset Management with In Progress migration to AMD infrastructure
