query_id,@timestamp,host_id,application_id,query_execution_time_ms,data_scanned_gb,rows_returned,query_type,database_name,user_name,query_text
query-0000027,2025-10-26 08:09:12.390374,host-00081,app-0089,284984,196.11,5955023,JOIN,customer_db,app_service,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000028,2025-10-26 08:24:12.390374,host-00174,app-0021,156209,386.79,5857217,CREATE,risk_db,app_service,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000029,2025-10-26 08:39:12.390374,host-00131,app-0131,263543,414.26,7343859,JOIN,risk_db,analyst_user,"SELECT t1.*, t2.risk_score FROM risk_db.trades t1 JOIN risk_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000030,2025-10-26 08:54:12.390374,host-00027,app-0044,164235,271.33,355235,ALTER,analytics_db,app_service,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000031,2025-10-26 09:09:12.390374,host-00008,app-0137,58014,461.16,5215047,ALTER,reporting_db,data_scientist,CREATE TABLE reporting_db.temp_results AS SELECT * FROM reporting_db.source_table WHERE status = 'active'
query-0000032,2025-10-26 09:24:12.390374,host-00126,app-0065,180463,454.65,3973964,ALTER,reporting_db,data_scientist,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000033,2025-10-26 09:39:12.390374,host-00089,app-0021,22625,433.02,8022202,SELECT,trading_db,app_service,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000034,2025-10-26 09:54:12.390374,host-00159,app-0059,23889,343.61,6323855,AGGREGATE,risk_db,app_service,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000035,2025-10-26 10:09:12.390374,host-00136,app-0034,87646,439.97,3130284,SELECT,reporting_db,app_service,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000036,2025-10-26 10:24:12.390374,host-00155,app-0135,71904,149.99,1999316,ALTER,reporting_db,data_scientist,"SELECT t1.*, t2.risk_score FROM reporting_db.trades t1 JOIN reporting_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000037,2025-10-26 10:39:12.390374,host-00061,app-0010,138921,482.67,5051351,AGGREGATE,analytics_db,app_service,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000038,2025-10-26 10:54:12.390374,host-00001,app-0049,72809,463.06,4242828,INSERT,analytics_db,analyst_user,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000039,2025-10-26 11:09:12.390374,host-00055,app-0149,80499,146.82,3405854,JOIN,customer_db,analyst_user,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000040,2025-10-26 11:24:12.390374,host-00105,app-0104,280217,373.11,5656243,AGGREGATE,customer_db,analyst_user,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000041,2025-10-26 11:39:12.390374,host-00024,app-0030,215643,291.62,6897468,SELECT,customer_db,app_service,"SELECT t1.*, t2.risk_score FROM customer_db.trades t1 JOIN customer_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000042,2025-10-26 11:54:12.390374,host-00066,app-0109,46513,184.98,7242548,CREATE,risk_db,reporting_svc,SELECT * FROM risk_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000043,2025-10-26 12:09:12.390374,host-00151,app-0096,8403,163.42,1268307,AGGREGATE,reporting_db,data_scientist,"SELECT t1.*, t2.risk_score FROM reporting_db.trades t1 JOIN reporting_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000044,2025-10-26 12:24:12.390374,host-00126,app-0005,18610,291.56,8645274,INSERT,customer_db,app_service,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000045,2025-10-26 12:39:12.390374,host-00106,app-0144,287359,492.32,9925106,AGGREGATE,analytics_db,etl_user,"INSERT INTO analytics_db.daily_summary SELECT account_id, SUM(amount) FROM analytics_db.transactions GROUP BY account_id"
query-0000046,2025-10-26 12:54:12.390374,host-00160,app-0028,285731,162.56,1600073,JOIN,analytics_db,analyst_user,"INSERT INTO analytics_db.daily_summary SELECT account_id, SUM(amount) FROM analytics_db.transactions GROUP BY account_id"
query-0000047,2025-10-26 13:09:12.390374,host-00185,app-0098,277764,453.98,5991901,CREATE,risk_db,etl_user,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000048,2025-10-26 13:24:12.390374,host-00112,app-0045,273238,344.03,8488531,JOIN,customer_db,reporting_svc,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000049,2025-10-26 13:39:12.390374,host-00084,app-0105,79864,217.84,2004353,SELECT,analytics_db,etl_user,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000050,2025-10-26 13:54:12.390374,host-00035,app-0082,263179,7.44,1153047,ALTER,risk_db,analyst_user,SELECT * FROM risk_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000051,2025-10-26 14:09:12.390374,host-00043,app-0063,204450,314.77,5851740,SELECT,reporting_db,app_service,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000052,2025-10-26 14:24:12.390374,host-00043,app-0067,271036,76.9,9754451,ALTER,analytics_db,reporting_svc,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000053,2025-10-26 14:39:12.390374,host-00025,app-0122,224402,88.32,8033592,CREATE,analytics_db,analyst_user,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000054,2025-10-26 14:54:12.390374,host-00101,app-0147,111257,380.49,4093053,INSERT,reporting_db,app_service,CREATE TABLE reporting_db.temp_results AS SELECT * FROM reporting_db.source_table WHERE status = 'active'
query-0000055,2025-10-26 15:09:12.390374,host-00061,app-0061,108296,494.02,8041353,AGGREGATE,risk_db,reporting_svc,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000056,2025-10-26 15:24:12.390374,host-00066,app-0007,26499,271.58,8683730,SELECT,customer_db,app_service,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000057,2025-10-26 15:39:12.390374,host-00129,app-0138,114991,150.52,6987383,SELECT,customer_db,analyst_user,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000058,2025-10-26 15:54:12.390374,host-00174,app-0023,139131,421.11,8507411,JOIN,customer_db,reporting_svc,"SELECT t1.*, t2.risk_score FROM customer_db.trades t1 JOIN customer_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000059,2025-10-26 16:09:12.390374,host-00148,app-0149,235533,185.29,2832217,CREATE,customer_db,app_service,"SELECT t1.*, t2.risk_score FROM customer_db.trades t1 JOIN customer_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000060,2025-10-26 16:24:12.390374,host-00006,app-0007,11401,105.96,9163799,ALTER,risk_db,reporting_svc,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000061,2025-10-26 16:39:12.390374,host-00153,app-0040,38223,72.15,3485354,SELECT,trading_db,data_scientist,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000062,2025-10-26 16:54:12.390374,host-00046,app-0070,95227,287.31,2194012,INSERT,analytics_db,analyst_user,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000063,2025-10-26 17:09:12.390374,host-00027,app-0043,184684,65.21,7959457,AGGREGATE,customer_db,data_scientist,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000064,2025-10-26 17:24:12.390374,host-00133,app-0062,91189,234.36,4562883,SELECT,analytics_db,data_scientist,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000065,2025-10-26 17:39:12.390374,host-00107,app-0101,157126,390.82,8201718,JOIN,customer_db,data_scientist,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000066,2025-10-26 17:54:12.390374,host-00127,app-0126,198347,276.08,5219429,CREATE,trading_db,etl_user,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
query-0000067,2025-10-26 18:09:12.390374,host-00123,app-0088,22293,185.96,3583266,CREATE,reporting_db,analyst_user,"INSERT INTO reporting_db.daily_summary SELECT account_id, SUM(amount) FROM reporting_db.transactions GROUP BY account_id"
query-0000068,2025-10-26 18:24:12.390374,host-00087,app-0100,236112,363.86,2618491,SELECT,reporting_db,data_scientist,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000069,2025-10-26 18:39:12.390374,host-00157,app-0145,137881,133.33,3581312,INSERT,reporting_db,analyst_user,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000070,2025-10-26 18:54:12.390374,host-00141,app-0104,52314,13.1,3214900,SELECT,trading_db,analyst_user,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000071,2025-10-26 19:09:12.390374,host-00032,app-0036,154724,407.08,9096139,SELECT,trading_db,app_service,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000072,2025-10-26 19:24:12.390374,host-00154,app-0048,122833,201.53,8223746,AGGREGATE,customer_db,data_scientist,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000073,2025-10-26 19:39:12.390374,host-00191,app-0136,180826,417.77,7610083,ALTER,analytics_db,reporting_svc,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000074,2025-10-26 19:54:12.390374,host-00173,app-0054,41003,338.57,2972839,JOIN,trading_db,etl_user,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000075,2025-10-26 20:09:12.390374,host-00073,app-0146,175404,62.33,1507592,ALTER,risk_db,data_scientist,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000076,2025-10-26 20:24:12.390374,host-00036,app-0130,77818,170.25,1877030,INSERT,customer_db,data_scientist,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000077,2025-10-26 20:39:12.390374,host-00145,app-0095,290187,282.52,5499765,JOIN,reporting_db,reporting_svc,"INSERT INTO reporting_db.daily_summary SELECT account_id, SUM(amount) FROM reporting_db.transactions GROUP BY account_id"
query-0000078,2025-10-26 20:54:12.390374,host-00137,app-0066,63577,364.61,5933656,INSERT,reporting_db,reporting_svc,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000079,2025-10-26 21:09:12.390374,host-00159,app-0009,267218,172.5,8600499,INSERT,analytics_db,data_scientist,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000080,2025-10-26 21:24:12.390374,host-00018,app-0082,173873,423.85,6966741,ALTER,analytics_db,etl_user,"INSERT INTO analytics_db.daily_summary SELECT account_id, SUM(amount) FROM analytics_db.transactions GROUP BY account_id"
query-0000081,2025-10-26 21:39:12.390374,host-00148,app-0126,123807,202.45,5871644,JOIN,analytics_db,reporting_svc,"INSERT INTO analytics_db.daily_summary SELECT account_id, SUM(amount) FROM analytics_db.transactions GROUP BY account_id"
query-0000082,2025-10-26 21:54:12.390374,host-00120,app-0143,75843,474.55,1991941,INSERT,customer_db,data_scientist,"SELECT t1.*, t2.risk_score FROM customer_db.trades t1 JOIN customer_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000083,2025-10-26 22:09:12.390374,host-00178,app-0072,1482,21.75,8005449,JOIN,risk_db,analyst_user,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000084,2025-10-26 22:24:12.390374,host-00080,app-0085,205521,295.9,7674144,INSERT,analytics_db,etl_user,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000085,2025-10-26 22:39:12.390374,host-00018,app-0045,77258,331.68,5580660,SELECT,analytics_db,app_service,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000086,2025-10-26 22:54:12.390374,host-00006,app-0081,79392,155.51,3476551,CREATE,customer_db,etl_user,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000087,2025-10-26 23:09:12.390374,host-00049,app-0003,277050,94.45,3832420,JOIN,trading_db,analyst_user,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
query-0000088,2025-10-26 23:24:12.390374,host-00187,app-0023,249220,85.24,8297933,JOIN,customer_db,reporting_svc,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000089,2025-10-26 23:39:12.390374,host-00125,app-0082,33768,349.09,4115790,JOIN,customer_db,data_scientist,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000090,2025-10-26 23:54:12.390374,host-00186,app-0060,243072,201.76,8910115,ALTER,risk_db,etl_user,SELECT * FROM risk_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000091,2025-10-27 00:09:12.390374,host-00146,app-0023,211527,182.23,9986048,ALTER,risk_db,analyst_user,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000092,2025-10-27 00:24:12.390374,host-00054,app-0006,79355,95.41,6358455,ALTER,analytics_db,reporting_svc,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000093,2025-10-27 00:39:12.390374,host-00073,app-0119,37997,422.1,9538665,AGGREGATE,analytics_db,analyst_user,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000094,2025-10-27 00:54:12.390374,host-00097,app-0004,93248,138.05,9532802,CREATE,risk_db,reporting_svc,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000095,2025-10-27 01:09:12.390374,host-00140,app-0051,152621,76.08,2050125,JOIN,customer_db,etl_user,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000096,2025-10-27 01:24:12.390374,host-00126,app-0037,34530,331.68,4332213,AGGREGATE,risk_db,etl_user,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000097,2025-10-27 01:39:12.390374,host-00102,app-0079,36938,476.67,9420922,AGGREGATE,trading_db,app_service,"SELECT t1.*, t2.risk_score FROM trading_db.trades t1 JOIN trading_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000098,2025-10-27 01:54:12.390374,host-00164,app-0073,55608,217.04,8099286,JOIN,analytics_db,app_service,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000099,2025-10-27 02:09:12.390374,host-00045,app-0096,287185,15.85,294661,JOIN,trading_db,analyst_user,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000100,2025-10-27 02:24:12.390374,host-00119,app-0056,153529,15.48,892252,SELECT,trading_db,analyst_user,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000101,2025-10-27 02:39:12.390374,host-00028,app-0128,102104,61.71,7032286,ALTER,trading_db,etl_user,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000102,2025-10-27 02:54:12.390374,host-00090,app-0048,3481,192.65,2544101,ALTER,trading_db,analyst_user,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
query-0000103,2025-10-27 03:09:12.390374,host-00165,app-0032,260183,418.95,4972021,INSERT,customer_db,analyst_user,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000104,2025-10-27 03:24:12.390374,host-00191,app-0143,67529,62.88,3709583,AGGREGATE,reporting_db,reporting_svc,"INSERT INTO reporting_db.daily_summary SELECT account_id, SUM(amount) FROM reporting_db.transactions GROUP BY account_id"
query-0000105,2025-10-27 03:39:12.390374,host-00194,app-0053,38073,122.65,1625565,SELECT,reporting_db,analyst_user,"SELECT t1.*, t2.risk_score FROM reporting_db.trades t1 JOIN reporting_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000106,2025-10-27 03:54:12.390374,host-00164,app-0094,242042,86.53,2670282,ALTER,risk_db,app_service,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000107,2025-10-27 04:09:12.390374,host-00069,app-0104,110245,359.71,7870932,JOIN,risk_db,app_service,SELECT * FROM risk_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000108,2025-10-27 04:24:12.390374,host-00194,app-0070,111261,347.0,5051146,AGGREGATE,customer_db,analyst_user,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000109,2025-10-27 04:39:12.390374,host-00174,app-0139,181312,197.03,2435255,SELECT,analytics_db,etl_user,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000110,2025-10-27 04:54:12.390374,host-00144,app-0080,34992,132.14,9818972,SELECT,trading_db,data_scientist,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
query-0000111,2025-10-27 05:09:12.390374,host-00032,app-0065,114755,455.92,7614225,INSERT,customer_db,analyst_user,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000112,2025-10-27 05:24:12.390374,host-00121,app-0066,29867,116.1,9474328,ALTER,risk_db,etl_user,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000113,2025-10-27 05:39:12.390374,host-00175,app-0094,177935,191.14,7967844,ALTER,trading_db,analyst_user,"SELECT t1.*, t2.risk_score FROM trading_db.trades t1 JOIN trading_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000114,2025-10-27 05:54:12.390374,host-00159,app-0131,272241,11.66,413201,ALTER,analytics_db,app_service,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000115,2025-10-27 06:09:12.390374,host-00194,app-0121,290893,4.6,4201629,CREATE,customer_db,analyst_user,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000116,2025-10-27 06:24:12.390374,host-00095,app-0086,50150,158.84,3955240,ALTER,customer_db,reporting_svc,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000117,2025-10-27 06:39:12.390374,host-00115,app-0127,272020,418.3,7943421,JOIN,risk_db,analyst_user,"SELECT t1.*, t2.risk_score FROM risk_db.trades t1 JOIN risk_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000118,2025-10-27 06:54:12.390374,host-00082,app-0019,112604,475.96,5576986,ALTER,reporting_db,app_service,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000119,2025-10-27 07:09:12.390374,host-00037,app-0040,257416,206.29,1979542,CREATE,risk_db,reporting_svc,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000120,2025-10-27 07:24:12.390374,host-00068,app-0064,175019,493.7,5913484,JOIN,analytics_db,app_service,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000121,2025-10-27 07:39:12.390374,host-00101,app-0032,145743,11.31,2047294,CREATE,trading_db,data_scientist,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000122,2025-10-27 07:54:12.390374,host-00043,app-0014,187922,140.83,2912531,ALTER,trading_db,analyst_user,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
query-0000123,2025-10-27 08:09:12.390374,host-00081,app-0055,57977,296.61,5094440,JOIN,trading_db,reporting_svc,CREATE TABLE trading_db.temp_results AS SELECT * FROM trading_db.source_table WHERE status = 'active'
