attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00018,MAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00019,CAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00020,TCAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00021,TCAP Update Location Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00022,INAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00023,TCAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00024,INAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00025,CAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-5548
SIG_00026,CAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2023-1827
SIG_00027,INAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2024-2407
SIG_00028,CAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00029,CAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00030,INAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00031,CAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2020-9430
SIG_00032,MAP Update Location Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00033,MAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2020-4145
SIG_00034,MAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00035,MAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00036,MAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2020-3141
SIG_00037,TCAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00038,INAP Update Location Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2018-2302
SIG_00039,MAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00040,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00041,CAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00042,INAP Send Routing Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2018-2265
SIG_00043,MAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00044,TCAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00045,INAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00046,CAP Send Routing Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00047,CAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00048,TCAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00049,CAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2023-5277
SIG_00050,CAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00051,INAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2023-4380
SIG_00052,CAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00053,TCAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00054,MAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00055,CAP Update Location Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00056,CAP Provide Subscriber Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00057,TCAP Any Time Interrogation Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00058,TCAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00059,CAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2018-8516
SIG_00060,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00061,MAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00062,CAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2020-4106
SIG_00063,MAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00064,TCAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00065,CAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00066,MAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2022-8771
SIG_00067,MAP Send Authentication Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00068,INAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2021-4031
SIG_00069,INAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00070,TCAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2021-6252
SIG_00071,TCAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2020-3708
SIG_00072,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2021-6309
SIG_00073,CAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00074,INAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00075,CAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00076,TCAP Send Routing Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00077,INAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00078,INAP Any Time Interrogation Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00079,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00080,TCAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-3498
SIG_00081,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00082,TCAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00083,INAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00084,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00085,INAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2018-4770
SIG_00086,CAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00087,CAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00088,CAP Insert Subscriber Data Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2022-7568
SIG_00089,MAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00090,MAP Send Routing Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2019-2375
SIG_00091,TCAP Send Authentication Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2022-6360
SIG_00092,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00093,TCAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2021-2820
SIG_00094,MAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2018-3076
SIG_00095,INAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00096,MAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2020-9172
SIG_00097,CAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00098,CAP Send Routing Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00099,MAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00100,MAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2019-6860
SIG_00101,CAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00102,MAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00103,MAP Send Routing Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00104,MAP Provide Subscriber Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00105,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00106,TCAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00107,MAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00108,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00109,TCAP Send Authentication Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2024-6235
SIG_00110,INAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00111,CAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2022-7118
SIG_00112,MAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00113,INAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00114,INAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2019-7980
SIG_00115,TCAP Insert Subscriber Data Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00116,INAP Send Routing Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00117,TCAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00118,MAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00119,CAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00120,TCAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2020-5521
SIG_00121,INAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-5645
SIG_00122,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00123,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00124,CAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2019-7714
SIG_00125,TCAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00126,TCAP Send Routing Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00127,INAP Update Location Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2024-3954
SIG_00128,MAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00129,TCAP Update Location Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00130,MAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00131,INAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2018-4599
SIG_00132,TCAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00133,MAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2023-4494
SIG_00134,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00135,TCAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00136,CAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00137,INAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00138,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2019-8803
SIG_00139,CAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2018-7983
SIG_00140,INAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2022-3676
SIG_00141,INAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2019-2752
SIG_00142,TCAP Send Routing Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2020-9439
SIG_00143,MAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00144,MAP Send Routing Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2021-3237
SIG_00145,CAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00146,TCAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00147,CAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00148,MAP Send Routing Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2022-1119
SIG_00149,TCAP Any Time Interrogation Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00150,INAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00151,INAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2019-6312
SIG_00152,INAP Send Routing Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2018-5502
SIG_00153,TCAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2020-8075
SIG_00154,TCAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00155,CAP Send Routing Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00156,INAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00157,CAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2024-7357
SIG_00158,CAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2021-8339
SIG_00159,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2018-3944
SIG_00160,CAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00161,MAP Send Routing Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2020-5925
SIG_00162,INAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00163,TCAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00164,MAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00165,TCAP Send Authentication Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00166,TCAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00167,MAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2021-8955
SIG_00168,INAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00169,TCAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00170,CAP Provide Subscriber Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00171,MAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00172,TCAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00173,CAP Insert Subscriber Data Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00174,CAP Send Authentication Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00175,CAP Insert Subscriber Data Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00176,INAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00177,CAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2018-6009
SIG_00178,MAP Update Location Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2024-6006
SIG_00179,CAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2024-5863
SIG_00180,MAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2021-8005
SIG_00181,CAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2018-4485
SIG_00182,CAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2021-7556
SIG_00183,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00184,MAP Send Routing Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00185,TCAP Any Time Interrogation Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00186,CAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00187,MAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2018-6433
SIG_00188,INAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00189,TCAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00190,CAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00191,CAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00192,INAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
