@timestamp,incident_id,cell_id,enodeb_id,severity,incident_type,affected_subscribers,incident.mttd_minutes,incident.mttr_minutes,root_cause,detection_method,noc_team,vendor,region,resolved,resolution_action,incident_description
2025-09-26 03:18:01.404250,INC-00000011,CELL-000100,ENB-00010,Medium,Configuration Error,1415,9.061539735119794,26.853050370739357,Unknown,NOC Monitoring,NOC-C,Ericsson,Atlantic,False,"Incident investigation in progress, resolution pending","Configuration Error on cell CELL-000100 affecting 1415 subscribers, Medium severity, detected via NOC Monitoring"
2025-09-26 04:03:01.404250,INC-00000012,CELL-000053,ENB-00134,Medium,Equipment Alarm,1323,28.020005898572023,112.90642963876225,Hardware Failure,ML Anomaly Detection,NOC-MA,Nokia,West,True,"On-site technician dispatched, software patch completed, Hardware Failure addressed","Medium incident: Equipment Alarm in West, root cause Hardware Failure, MTTD 28.0min MTTR 112.9min"
2025-09-26 04:48:01.404250,INC-00000013,CELL-000075,ENB-00106,Medium,Transport Issue,22,34.97940830071692,164.63371876642898,Environmental,ML Anomaly Detection,NOC-SC,Samsung,Southeast,True,"Automated recovery procedure executed, configuration rollback applied, monitoring for recurrence","Cell site CELL-000075 experiencing Transport Issue, 22 subscribers impacted, ML Anomaly Detection detection method"
2025-09-26 05:33:01.404250,INC-00000014,CELL-000142,ENB-00044,Medium,Cell Outage,96,22.04359140541463,175.09961874450474,Unknown,ML Anomaly Detection,NOC-C,Samsung,Southwest,True,"NOC-C performed traffic rerouting, root cause Unknown mitigated, service normalized","Cell Outage incident (Medium) affecting Southwest region, Unknown identified, resolved"
2025-09-26 06:18:01.404250,INC-00000015,CELL-000125,ENB-00139,High,Transport Issue,577,25.96035139762594,94.63903923692843,Software Bug,Threshold Alert,NOC-NC,Ericsson,Atlantic,True,"Vendor support engaged, capacity upgrade implemented, Software Bug resolved permanently","Ericsson equipment Transport Issue on CELL-000125, 577 users affected, resolved via capacity upgrade"
2025-09-26 07:03:01.404250,INC-00000016,CELL-000089,ENB-00034,Medium,Equipment Alarm,778,17.748168786467865,186.63334515956777,Power Failure,NOC Monitoring,NOC-PA,Samsung,Southeast,True,"Remote software patch performed by NOC-PA, cell service restored after 187 minutes","Equipment Alarm on cell CELL-000089 affecting 778 subscribers, Medium severity, detected via NOC Monitoring"
2025-09-26 07:48:01.404250,INC-00000017,CELL-000123,ENB-00097,Medium,Handover Failure,56,44.75964727396862,107.59949524578052,Capacity Limit,ML Anomaly Detection,NOC-MT,Ericsson,North Central,True,"On-site technician dispatched, configuration rollback completed, Capacity Limit addressed","Medium incident: Handover Failure in North Central, root cause Capacity Limit, MTTD 44.8min MTTR 107.6min"
2025-09-26 08:33:01.404250,INC-00000018,CELL-000034,ENB-00117,High,Degraded Performance,580,20.400556064610953,99.31528331195777,Configuration Error,Threshold Alert,NOC-SW,Nokia,Atlantic,True,"Automated recovery procedure executed, software patch applied, monitoring for recurrence","Cell site CELL-000034 experiencing Degraded Performance, 580 subscribers impacted, Threshold Alert detection method"
2025-09-26 09:18:01.404250,INC-00000019,CELL-000005,ENB-00093,Medium,Software Bug,918,29.513979507503183,118.91204531358233,Transport Issue,Threshold Alert,NOC-MT,Ericsson,Pacific,True,"NOC-MT performed traffic rerouting, root cause Transport Issue mitigated, service normalized","Software Bug incident (Medium) affecting Pacific region, Transport Issue identified, resolved"
2025-09-26 10:03:01.404250,INC-00000020,CELL-000006,ENB-00088,Medium,Handover Failure,961,35.05760518571593,160.35216039508705,Transport Issue,Threshold Alert,NOC-NE,Samsung,Great Lakes,False,"Incident investigation in progress, resolution pending","Samsung equipment Handover Failure on CELL-000006, 961 users affected, resolved via alarm clearance"
2025-09-26 10:48:01.404250,INC-00000021,CELL-000072,ENB-00061,Medium,Cell Outage,720,3.9489430082339023,216.00975078493838,Capacity Limit,ML Anomaly Detection,NOC-AT,Samsung,Mountain,True,"Remote hardware replacement performed by NOC-AT, cell service restored after 216 minutes","Cell Outage on cell CELL-000072 affecting 720 subscribers, Medium severity, detected via ML Anomaly Detection"
2025-09-26 11:33:01.404250,INC-00000022,CELL-000099,ENB-00114,Low,Degraded Performance,1184,38.70990381447866,129.93306882637614,Software Bug,NOC Monitoring,NOC-NC,Samsung,Atlantic,True,"On-site technician dispatched, traffic rerouting completed, Software Bug addressed","Low incident: Degraded Performance in Atlantic, root cause Software Bug, MTTD 38.7min MTTR 129.9min"
2025-09-26 12:18:01.404250,INC-00000023,CELL-000030,ENB-00093,High,Handover Failure,943,42.25113157767604,60.45051410484193,Software Bug,Threshold Alert,NOC-NE,Samsung,Northeast,True,"Automated recovery procedure executed, equipment reset applied, monitoring for recurrence","Cell site CELL-000030 experiencing Handover Failure, 943 subscribers impacted, Threshold Alert detection method"
2025-09-26 13:03:01.404250,INC-00000024,CELL-000006,ENB-00034,Low,Transport Issue,120,22.451641395107444,154.8300887457451,Capacity Limit,NOC Monitoring,NOC-MA,Samsung,South Central,True,"NOC-MA performed hardware replacement, root cause Capacity Limit mitigated, service normalized","Transport Issue incident (Low) affecting South Central region, Capacity Limit identified, resolved"
2025-09-26 13:48:01.404250,INC-00000025,CELL-000146,ENB-00063,Low,Degraded Performance,723,35.2631761001167,30.65173443277091,Transport Issue,Threshold Alert,NOC-MT,Samsung,Mountain,True,"Vendor support engaged, traffic rerouting implemented, Transport Issue resolved permanently","Samsung equipment Degraded Performance on CELL-000146, 723 users affected, resolved via software patch"
2025-09-26 14:33:01.404250,INC-00000026,CELL-000096,ENB-00127,Medium,Capacity Congestion,463,43.80589312672626,24.917330932394208,Configuration Error,ML Anomaly Detection,NOC-MT,Samsung,Southeast,True,"Remote hardware replacement performed by NOC-MT, cell service restored after 25 minutes","Capacity Congestion on cell CELL-000096 affecting 463 subscribers, Medium severity, detected via ML Anomaly Detection"
2025-09-26 15:18:01.404250,INC-00000027,CELL-000042,ENB-00096,Medium,Capacity Congestion,988,21.201621833726172,37.15023322962822,Unknown,Subscriber Complaint,NOC-SW,Samsung,Southwest,True,"On-site technician dispatched, alarm clearance completed, Unknown addressed","Medium incident: Capacity Congestion in Southwest, root cause Unknown, MTTD 21.2min MTTR 37.2min"
2025-09-26 16:03:01.404250,INC-00000028,CELL-000078,ENB-00002,Low,Software Bug,311,36.243283752023714,125.1627185257683,Environmental,NOC Monitoring,NOC-MT,Nokia,Great Lakes,True,"Automated recovery procedure executed, equipment reset applied, monitoring for recurrence","Cell site CELL-000078 experiencing Software Bug, 311 subscribers impacted, NOC Monitoring detection method"
2025-09-26 16:48:01.404250,INC-00000029,CELL-000069,ENB-00057,Medium,Cell Outage,223,1.5251467604416131,194.82763218427746,Environmental,Threshold Alert,NOC-MA,Ericsson,Mountain,True,"NOC-MA performed alarm clearance, root cause Environmental mitigated, service normalized","Cell Outage incident (Medium) affecting Mountain region, Environmental identified, resolved"
2025-09-26 17:33:01.404250,INC-00000030,CELL-000072,ENB-00073,Medium,Degraded Performance,1324,43.568484576005325,115.9670039144138,Software Bug,ML Anomaly Detection,NOC-SW,Nokia,Mountain,True,"Vendor support engaged, traffic rerouting implemented, Software Bug resolved permanently","Nokia equipment Degraded Performance on CELL-000072, 1324 users affected, resolved via software patch"
2025-09-26 18:18:01.404250,INC-00000031,CELL-000096,ENB-00028,Low,Configuration Error,749,21.229530157340186,170.06039470138342,Vendor Issue,ML Anomaly Detection,NOC-GL,Nokia,Southeast,True,"Remote equipment reset performed by NOC-GL, cell service restored after 170 minutes","Configuration Error on cell CELL-000096 affecting 749 subscribers, Low severity, detected via ML Anomaly Detection"
2025-09-26 19:03:01.404250,INC-00000032,CELL-000059,ENB-00037,Medium,Configuration Error,1062,17.701006625286375,88.86330118752736,Software Bug,ML Anomaly Detection,NOC-GL,Ericsson,Midwest,True,"On-site technician dispatched, parameter optimization completed, Software Bug addressed","Medium incident: Configuration Error in Midwest, root cause Software Bug, MTTD 17.7min MTTR 88.9min"
2025-09-26 19:48:01.404250,INC-00000033,CELL-000143,ENB-00080,High,Transport Issue,68,43.53997869115401,39.014433617959824,Software Bug,Subscriber Complaint,NOC-GL,Ericsson,Northwest,True,"Automated recovery procedure executed, software patch applied, monitoring for recurrence","Cell site CELL-000143 experiencing Transport Issue, 68 subscribers impacted, Subscriber Complaint detection method"
2025-09-26 20:33:01.404250,INC-00000034,CELL-000084,ENB-00144,Medium,Configuration Error,778,39.643503315507864,58.603439834186794,Software Bug,NOC Monitoring,NOC-AT,Samsung,Mid-Atlantic,True,"NOC-AT performed software patch, root cause Software Bug mitigated, service normalized","Configuration Error incident (Medium) affecting Mid-Atlantic region, Software Bug identified, resolved"
2025-09-26 21:18:01.404250,INC-00000035,CELL-000098,ENB-00124,High,Handover Failure,573,19.083440204129317,31.56521715373242,Vendor Issue,Subscriber Complaint,NOC-SC,Ericsson,Central,True,"Vendor support engaged, software patch implemented, Vendor Issue resolved permanently","Ericsson equipment Handover Failure on CELL-000098, 573 users affected, resolved via hardware replacement"
2025-09-26 22:03:01.404250,INC-00000036,CELL-000029,ENB-00050,Critical,Software Bug,419,3.83473365289324,11.055233299436614,Transport Issue,ML Anomaly Detection,NOC-SW,Nokia,North Central,False,"Incident investigation in progress, resolution pending","Software Bug on cell CELL-000029 affecting 419 subscribers, Critical severity, detected via ML Anomaly Detection"
2025-09-26 22:48:01.404250,INC-00000037,CELL-000047,ENB-00054,Medium,Equipment Alarm,1228,32.483947145062395,71.65948763274923,Unknown,Automated Health Check,NOC-NW,Nokia,Southwest,True,"On-site technician dispatched, configuration rollback completed, Unknown addressed","Medium incident: Equipment Alarm in Southwest, root cause Unknown, MTTD 32.5min MTTR 71.7min"
2025-09-26 23:33:01.404250,INC-00000038,CELL-000096,ENB-00111,High,Equipment Alarm,706,7.780408108797929,84.46104983092543,Capacity Limit,ML Anomaly Detection,NOC-MT,Nokia,Central,True,"Automated recovery procedure executed, parameter optimization applied, monitoring for recurrence","Cell site CELL-000096 experiencing Equipment Alarm, 706 subscribers impacted, ML Anomaly Detection detection method"
2025-09-27 00:18:01.404250,INC-00000039,CELL-000091,ENB-00130,Critical,Configuration Error,1395,43.694650379277384,164.30242494616562,Hardware Failure,Vendor Alarm,NOC-GL,Samsung,Gulf,True,"NOC-GL performed alarm clearance, root cause Hardware Failure mitigated, service normalized","Configuration Error incident (Critical) affecting Gulf region, Hardware Failure identified, resolved"
2025-09-27 01:03:01.404250,INC-00000040,CELL-000110,ENB-00087,Medium,Capacity Congestion,48,15.385459135147688,209.56131298647924,Capacity Limit,Threshold Alert,NOC-MA,Samsung,Great Lakes,True,"Vendor support engaged, software patch implemented, Capacity Limit resolved permanently","Samsung equipment Capacity Congestion on CELL-000110, 48 users affected, resolved via hardware replacement"
2025-09-27 01:48:01.404250,INC-00000041,CELL-000120,ENB-00023,High,Degraded Performance,564,19.323412549454524,70.45156846576312,Vendor Issue,ML Anomaly Detection,NOC-W,Ericsson,Mountain,True,"Remote traffic rerouting performed by NOC-W, cell service restored after 70 minutes","Degraded Performance on cell CELL-000120 affecting 564 subscribers, High severity, detected via ML Anomaly Detection"
2025-09-27 02:33:01.404250,INC-00000042,CELL-000013,ENB-00093,Medium,Cell Outage,1436,16.660071297598165,48.64014020095633,Power Failure,Subscriber Complaint,NOC-MT,Ericsson,Central,True,"On-site technician dispatched, capacity upgrade completed, Power Failure addressed","Medium incident: Cell Outage in Central, root cause Power Failure, MTTD 16.7min MTTR 48.6min"
2025-09-27 03:18:01.404250,INC-00000043,CELL-000095,ENB-00056,Medium,Degraded Performance,530,7.425762406111571,82.71280280524373,Vendor Issue,Automated Health Check,NOC-NE,Nokia,South Central,True,"Automated recovery procedure executed, parameter optimization applied, monitoring for recurrence","Cell site CELL-000095 experiencing Degraded Performance, 530 subscribers impacted, Automated Health Check detection method"
2025-09-27 04:03:01.404250,INC-00000044,CELL-000044,ENB-00018,Medium,Cell Outage,1282,12.932061772283117,232.2724796144402,Capacity Limit,Subscriber Complaint,NOC-GU,Samsung,Midwest,True,"NOC-GU performed software patch, root cause Capacity Limit mitigated, service normalized","Cell Outage incident (Medium) affecting Midwest region, Capacity Limit identified, resolved"
2025-09-27 04:48:01.404250,INC-00000045,CELL-000010,ENB-00046,Medium,Handover Failure,1178,4.792956797008466,112.55520824469922,Hardware Failure,ML Anomaly Detection,NOC-SC,Samsung,West,True,"Vendor support engaged, equipment reset implemented, Hardware Failure resolved permanently","Samsung equipment Handover Failure on CELL-000010, 1178 users affected, resolved via equipment reset"
2025-09-27 05:33:01.404250,INC-00000046,CELL-000119,ENB-00116,Low,Capacity Congestion,1404,22.73809456203088,109.67312796498324,Configuration Error,ML Anomaly Detection,NOC-MT,Samsung,Southwest,False,"Incident investigation in progress, resolution pending","Capacity Congestion on cell CELL-000119 affecting 1404 subscribers, Low severity, detected via ML Anomaly Detection"
2025-09-27 06:18:01.404250,INC-00000047,CELL-000057,ENB-00128,Critical,Capacity Congestion,775,18.40343506687491,140.6166312090934,Unknown,ML Anomaly Detection,NOC-MW,Ericsson,South Central,True,"On-site technician dispatched, software patch completed, Unknown addressed","Critical incident: Capacity Congestion in South Central, root cause Unknown, MTTD 18.4min MTTR 140.6min"
2025-09-27 07:03:01.404250,INC-00000048,CELL-000033,ENB-00064,Critical,Degraded Performance,249,20.66860568906139,155.09810982463782,Transport Issue,Subscriber Complaint,NOC-PA,Ericsson,Pacific,True,"Automated recovery procedure executed, parameter optimization applied, monitoring for recurrence","Cell site CELL-000033 experiencing Degraded Performance, 249 subscribers impacted, Subscriber Complaint detection method"
2025-09-27 07:48:01.404250,INC-00000049,CELL-000087,ENB-00050,Low,Cell Outage,1240,39.58536050702145,14.672599562752023,Configuration Error,Subscriber Complaint,NOC-GL,Nokia,West,True,"NOC-GL performed capacity upgrade, root cause Configuration Error mitigated, service normalized","Cell Outage incident (Low) affecting West region, Configuration Error identified, resolved"
2025-09-27 08:33:01.404250,INC-00000050,CELL-000012,ENB-00142,Medium,Handover Failure,606,10.00659319055317,71.89787108110295,Transport Issue,ML Anomaly Detection,NOC-SE,Nokia,Atlantic,True,"Vendor support engaged, capacity upgrade implemented, Transport Issue resolved permanently","Nokia equipment Handover Failure on CELL-000012, 606 users affected, resolved via equipment reset"
2025-09-27 09:18:01.404250,INC-00000051,CELL-000063,ENB-00040,High,Software Bug,274,16.495432975690854,138.58912713295854,Configuration Error,Subscriber Complaint,NOC-PA,Samsung,Pacific,True,"Remote alarm clearance performed by NOC-PA, cell service restored after 139 minutes","Software Bug on cell CELL-000063 affecting 274 subscribers, High severity, detected via Subscriber Complaint"
2025-09-27 10:03:01.404250,INC-00000052,CELL-000017,ENB-00103,High,Transport Issue,515,27.36076949843018,140.61249841154134,Power Failure,Automated Health Check,NOC-MW,Samsung,Northeast,True,"On-site technician dispatched, traffic rerouting completed, Power Failure addressed","High incident: Transport Issue in Northeast, root cause Power Failure, MTTD 27.4min MTTR 140.6min"
2025-09-27 10:48:01.404250,INC-00000053,CELL-000082,ENB-00020,Medium,Capacity Congestion,681,26.592848297374946,111.1902694730588,Unknown,ML Anomaly Detection,NOC-NE,Samsung,Pacific,True,"Automated recovery procedure executed, capacity upgrade applied, monitoring for recurrence","Cell site CELL-000082 experiencing Capacity Congestion, 681 subscribers impacted, ML Anomaly Detection detection method"
2025-09-27 11:33:01.404250,INC-00000054,CELL-000142,ENB-00116,High,Handover Failure,1432,41.572287169412924,98.1374861713547,Environmental,Threshold Alert,NOC-NW,Samsung,Midwest,True,"NOC-NW performed parameter optimization, root cause Environmental mitigated, service normalized","Handover Failure incident (High) affecting Midwest region, Environmental identified, resolved"
2025-09-27 12:18:01.404250,INC-00000055,CELL-000075,ENB-00131,Medium,Capacity Congestion,30,39.44839971549532,156.5267636252119,Unknown,ML Anomaly Detection,NOC-MW,Nokia,Midwest,True,"Vendor support engaged, equipment reset implemented, Unknown resolved permanently","Nokia equipment Capacity Congestion on CELL-000075, 30 users affected, resolved via configuration rollback"
2025-09-27 13:03:01.404250,INC-00000056,CELL-000050,ENB-00133,High,Degraded Performance,543,20.66318935313087,156.74104743151557,Transport Issue,Subscriber Complaint,NOC-GL,Ericsson,North Central,False,"Incident investigation in progress, resolution pending","Degraded Performance on cell CELL-000050 affecting 543 subscribers, High severity, detected via Subscriber Complaint"
2025-09-27 13:48:01.404250,INC-00000057,CELL-000141,ENB-00043,Medium,Degraded Performance,1004,8.587137235812067,229.6505480480146,Power Failure,Vendor Alarm,NOC-SC,Nokia,Northwest,True,"On-site technician dispatched, hardware replacement completed, Power Failure addressed","Medium incident: Degraded Performance in Northwest, root cause Power Failure, MTTD 8.6min MTTR 229.7min"
2025-09-27 14:33:01.404250,INC-00000058,CELL-000061,ENB-00109,Medium,Configuration Error,363,40.74474849677472,12.707915457018455,Transport Issue,ML Anomaly Detection,NOC-AT,Ericsson,South Central,True,"Automated recovery procedure executed, alarm clearance applied, monitoring for recurrence","Cell site CELL-000061 experiencing Configuration Error, 363 subscribers impacted, ML Anomaly Detection detection method"
2025-09-27 15:18:01.404250,INC-00000059,CELL-000129,ENB-00027,Medium,Cell Outage,1445,8.299236835948577,153.583966918797,Software Bug,Threshold Alert,NOC-MT,Nokia,Central,True,"NOC-MT performed equipment reset, root cause Software Bug mitigated, service normalized","Cell Outage incident (Medium) affecting Central region, Software Bug identified, resolved"
2025-09-27 16:03:01.404250,INC-00000060,CELL-000092,ENB-00065,Medium,Software Bug,823,43.912289852634714,103.25311173879572,Capacity Limit,Subscriber Complaint,NOC-SW,Nokia,Northwest,True,"Vendor support engaged, alarm clearance implemented, Capacity Limit resolved permanently","Nokia equipment Software Bug on CELL-000092, 823 users affected, resolved via software patch"
2025-09-27 16:48:01.404250,INC-00000061,CELL-000015,ENB-00099,Medium,Transport Issue,1344,29.658441206220825,113.48634630005292,Configuration Error,ML Anomaly Detection,NOC-MT,Nokia,Northeast,True,"Remote hardware replacement performed by NOC-MT, cell service restored after 113 minutes","Transport Issue on cell CELL-000015 affecting 1344 subscribers, Medium severity, detected via ML Anomaly Detection"
2025-09-27 17:33:01.404250,INC-00000062,CELL-000007,ENB-00148,Low,Capacity Congestion,684,8.432930905485676,210.94336786933468,Environmental,Threshold Alert,NOC-PA,Nokia,West,True,"On-site technician dispatched, configuration rollback completed, Environmental addressed","Low incident: Capacity Congestion in West, root cause Environmental, MTTD 8.4min MTTR 210.9min"
2025-09-27 18:18:01.404250,INC-00000063,CELL-000137,ENB-00103,Medium,Software Bug,205,13.401173032457237,74.88818777866162,Transport Issue,NOC Monitoring,NOC-GL,Ericsson,Great Lakes,True,"Automated recovery procedure executed, parameter optimization applied, monitoring for recurrence","Cell site CELL-000137 experiencing Software Bug, 205 subscribers impacted, NOC Monitoring detection method"
2025-09-27 19:03:01.404250,INC-00000064,CELL-000087,ENB-00032,Critical,Software Bug,1121,32.99905903003056,141.79558314782486,Unknown,Threshold Alert,NOC-GL,Nokia,Atlantic,False,"Incident investigation in progress, resolution pending","Software Bug incident (Critical) affecting Atlantic region, Unknown identified, ongoing"
2025-09-27 19:48:01.404250,INC-00000065,CELL-000088,ENB-00007,Medium,Handover Failure,260,17.011987802628447,53.7182009602481,Vendor Issue,ML Anomaly Detection,NOC-GU,Samsung,Pacific,True,"Vendor support engaged, traffic rerouting implemented, Vendor Issue resolved permanently","Samsung equipment Handover Failure on CELL-000088, 260 users affected, resolved via capacity upgrade"
2025-09-27 20:33:01.404250,INC-00000066,CELL-000107,ENB-00070,Medium,Configuration Error,688,43.520768090996754,205.4875061844623,Configuration Error,Threshold Alert,NOC-SC,Ericsson,Great Lakes,True,"Remote alarm clearance performed by NOC-SC, cell service restored after 205 minutes","Configuration Error on cell CELL-000107 affecting 688 subscribers, Medium severity, detected via Threshold Alert"
2025-09-27 21:18:01.404250,INC-00000067,CELL-000007,ENB-00109,Medium,Handover Failure,980,35.56173848995645,115.45792811036796,Configuration Error,Threshold Alert,NOC-W,Samsung,Southeast,False,"Incident investigation in progress, resolution pending","Medium incident: Handover Failure in Southeast, root cause Configuration Error, MTTD 35.6min MTTR 115.5min"
2025-09-27 22:03:01.404250,INC-00000068,CELL-000006,ENB-00074,Low,Transport Issue,1017,25.52381550473535,137.86988341452417,Environmental,Vendor Alarm,NOC-C,Samsung,Pacific,True,"Automated recovery procedure executed, traffic rerouting applied, monitoring for recurrence","Cell site CELL-000006 experiencing Transport Issue, 1017 subscribers impacted, Vendor Alarm detection method"
2025-09-27 22:48:01.404250,INC-00000069,CELL-000149,ENB-00056,Medium,Configuration Error,681,35.16199451385311,125.87183573969358,Software Bug,Vendor Alarm,NOC-SC,Samsung,Mountain,True,"NOC-SC performed traffic rerouting, root cause Software Bug mitigated, service normalized","Configuration Error incident (Medium) affecting Mountain region, Software Bug identified, resolved"
2025-09-27 23:33:01.404250,INC-00000070,CELL-000046,ENB-00124,Low,Transport Issue,296,38.84800916015443,237.01776603058644,Capacity Limit,Threshold Alert,NOC-PA,Samsung,Midwest,True,"Vendor support engaged, parameter optimization implemented, Capacity Limit resolved permanently","Samsung equipment Transport Issue on CELL-000046, 296 users affected, resolved via alarm clearance"
2025-09-28 00:18:01.404250,INC-00000071,CELL-000117,ENB-00028,Low,Cell Outage,1378,14.566876828769907,209.51461389406614,Vendor Issue,Subscriber Complaint,NOC-SE,Ericsson,Northwest,True,"Remote capacity upgrade performed by NOC-SE, cell service restored after 210 minutes","Cell Outage on cell CELL-000117 affecting 1378 subscribers, Low severity, detected via Subscriber Complaint"
2025-09-28 01:03:01.404250,INC-00000072,CELL-000060,ENB-00042,Medium,Degraded Performance,800,4.5165226708254815,97.07978470989352,Power Failure,Threshold Alert,NOC-SC,Ericsson,Northwest,True,"On-site technician dispatched, hardware replacement completed, Power Failure addressed","Medium incident: Degraded Performance in Northwest, root cause Power Failure, MTTD 4.5min MTTR 97.1min"
2025-09-28 01:48:01.404250,INC-00000073,CELL-000006,ENB-00134,High,Capacity Congestion,259,1.4264158725705651,187.04860103337668,Unknown,Subscriber Complaint,NOC-GU,Samsung,South Central,False,"Incident investigation in progress, resolution pending","Cell site CELL-000006 experiencing Capacity Congestion, 259 subscribers impacted, Subscriber Complaint detection method"
2025-09-28 02:33:01.404250,INC-00000074,CELL-000093,ENB-00035,Medium,Software Bug,1277,40.17797784223201,227.48997201077395,Power Failure,NOC Monitoring,NOC-SE,Samsung,Southeast,True,"NOC-SE performed traffic rerouting, root cause Power Failure mitigated, service normalized","Software Bug incident (Medium) affecting Southeast region, Power Failure identified, resolved"
2025-09-28 03:18:01.404250,INC-00000075,CELL-000108,ENB-00053,Medium,Equipment Alarm,1247,8.768557137703906,172.90510220067634,Hardware Failure,ML Anomaly Detection,NOC-GU,Ericsson,Great Lakes,True,"Vendor support engaged, software patch implemented, Hardware Failure resolved permanently","Ericsson equipment Equipment Alarm on CELL-000108, 1247 users affected, resolved via capacity upgrade"
2025-09-28 04:03:01.404250,INC-00000076,CELL-000110,ENB-00039,Low,Capacity Congestion,1387,3.7796220194708985,185.29706611455845,Software Bug,Subscriber Complaint,NOC-SE,Ericsson,Great Lakes,False,"Incident investigation in progress, resolution pending","Capacity Congestion on cell CELL-000110 affecting 1387 subscribers, Low severity, detected via Subscriber Complaint"
2025-09-28 04:48:01.404250,INC-00000077,CELL-000093,ENB-00130,Low,Transport Issue,304,6.428075055196068,190.75105120822352,Hardware Failure,Automated Health Check,NOC-NC,Nokia,Pacific,True,"On-site technician dispatched, equipment reset completed, Hardware Failure addressed","Low incident: Transport Issue in Pacific, root cause Hardware Failure, MTTD 6.4min MTTR 190.8min"
2025-09-28 05:33:01.404250,INC-00000078,CELL-000114,ENB-00123,Medium,Software Bug,1041,7.3063354451586076,59.439741333412854,Transport Issue,NOC Monitoring,NOC-NW,Nokia,Southeast,True,"Automated recovery procedure executed, parameter optimization applied, monitoring for recurrence","Cell site CELL-000114 experiencing Software Bug, 1041 subscribers impacted, NOC Monitoring detection method"
2025-09-28 06:18:01.404250,INC-00000079,CELL-000051,ENB-00095,Medium,Cell Outage,742,15.457554507585296,149.67405512395058,Power Failure,Vendor Alarm,NOC-NC,Ericsson,Northwest,True,"NOC-NC performed software patch, root cause Power Failure mitigated, service normalized","Cell Outage incident (Medium) affecting Northwest region, Power Failure identified, resolved"
