cell_id,enodeb_id,cell_name,site_id,latitude,longitude,region,market,vendor,technology,capacity_tier,max_subscribers,backhaul_type,noc_team,deployment_date,cell_characteristics
CELL-000044,ENB-00044,Station Beta 44,SITE-00044,35.61572863997991,-68.18080927143322,Central,Highway,Nokia,LTE,Tier 3 (Low),4823,Fiber,NOC-C,2034-07-27 16:03:01.315708,"LTE macro cell with Tier 3 (Low) capacity tier, optimized for Highway deployment using Nokia RAN"
CELL-000045,ENB-00045,Metro Beta 45,SITE-00045,25.688676660464512,-77.78777848715569,Southeast,Suburban,Ericsson,LTE,Tier 2 (Medium),4726,Microwave,NOC-SC,2034-06-27 16:03:01.315708,"LTE macro cell with Tier 2 (Medium) capacity tier, optimized for Suburban deployment using Ericsson RAN"
CELL-000046,ENB-00046,Metro Delta 46,SITE-00046,29.987526300992947,-117.14530523781863,Mid-Atlantic,Suburban,Ericsson,5G NR,Tier 2 (Medium),3401,Hybrid,NOC-NW,2034-05-28 16:03:01.315708,"High-capacity 5G NR cell serving Suburban area with Ericsson equipment, Hybrid backhaul connectivity"
CELL-000047,ENB-00047,Station Beta 47,SITE-00047,28.090700022213493,-91.2367691929495,Gulf,Highway,Ericsson,LTE,Tier 3 (Low),4465,Fiber,NOC-GL,2034-04-28 16:03:01.315708,"Multi-band LTE site with Fiber backhaul, Tier 3 (Low) tier deployment in Highway environment"
CELL-000048,ENB-00048,Tower Delta 48,SITE-00048,40.764877742714894,-88.15780023976045,Atlantic,Dense Urban,Samsung,5G NR,Tier 1 (High),1086,Fiber,NOC-AT,2034-03-29 16:03:01.315708,"High-capacity 5G NR cell serving Dense Urban area with Samsung equipment, Fiber backhaul connectivity"
CELL-000049,ENB-00049,Station Beta 49,SITE-00049,27.815575667392423,-81.22855447205733,Southwest,Highway,Samsung,5G NR,Tier 4 (Very High),1604,Fiber,NOC-NE,2034-02-27 16:03:01.315708,"Samsung 5G NR cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Highway subscribers"
CELL-000050,ENB-00050,Metro Delta 50,SITE-00050,29.97534166591067,-124.04245988082586,Mid-Atlantic,Rural,Nokia,5G NR,Tier 1 (High),2541,Millimeter Wave,NOC-W,2034-01-28 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Millimeter Wave transport, serving high-density Rural zone"
CELL-000051,ENB-00051,Metro Delta 51,SITE-00051,27.604364639769468,-87.88465123515208,Southeast,Suburban,Nokia,LTE,Tier 1 (High),4228,Fiber,NOC-MW,2033-12-29 16:03:01.315708,"High-capacity LTE cell serving Suburban area with Nokia equipment, Fiber backhaul connectivity"
CELL-000052,ENB-00052,Station Alpha 52,SITE-00052,28.614305323016936,-109.12658649908052,Mountain,Dense Urban,Samsung,LTE,Tier 1 (High),1250,Fiber,NOC-SW,2033-11-29 16:03:01.315708,"Multi-band LTE site with Fiber backhaul, Tier 1 (High) tier deployment in Dense Urban environment"
CELL-000053,ENB-00053,Station Delta 53,SITE-00053,46.708204124603455,-98.8291649790084,Central,Highway,Ericsson,LTE-A,Tier 1 (High),4891,Fiber,NOC-NE,2033-10-30 16:03:01.315708,"Carrier aggregation enabled LTE-A site with Fiber transport, serving high-density Highway zone"
CELL-000054,ENB-00054,Metro Omega 54,SITE-00054,31.94043728015486,-87.61936694754684,Pacific,Rural,Nokia,LTE-A,Tier 1 (High),3631,Microwave,NOC-W,2033-09-30 16:03:01.315708,"High-capacity LTE-A cell serving Rural area with Nokia equipment, Microwave backhaul connectivity"
CELL-000055,ENB-00055,Site Gamma 55,SITE-00055,33.48335694563161,-86.05456943168289,Great Lakes,Highway,Samsung,5G NR,Tier 1 (High),3187,Microwave,NOC-MT,2033-08-31 16:03:01.315708,"Multi-band 5G NR site with Microwave backhaul, Tier 1 (High) tier deployment in Highway environment"
CELL-000056,ENB-00056,Metro Gamma 56,SITE-00056,37.4293464674426,-107.39566109957573,Northwest,Urban,Ericsson,LTE-A,Tier 1 (High),1875,Fiber,NOC-SC,2033-08-01 16:03:01.315708,"Ericsson LTE-A cell with advanced MIMO configuration, Tier 1 (High) capacity serving Urban subscribers"
CELL-000057,ENB-00057,Station Alpha 57,SITE-00057,34.0179160916391,-68.85879323343845,Northwest,Suburban,Nokia,5G NR,Tier 3 (Low),3292,Microwave,NOC-MW,2033-07-02 16:03:01.315708,"Nokia 5G NR cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Suburban subscribers"
CELL-000058,ENB-00058,Site Beta 58,SITE-00058,43.79568302059964,-98.05421236841296,Mountain,Rural,Nokia,LTE-A,Tier 1 (High),1856,Hybrid,NOC-GU,2033-06-02 16:03:01.315708,"Carrier aggregation enabled LTE-A site with Hybrid transport, serving high-density Rural zone"
CELL-000059,ENB-00059,Station Omega 59,SITE-00059,38.29721285341306,-123.92796310600819,Mid-Atlantic,Urban,Samsung,LTE,Tier 3 (Low),4589,Millimeter Wave,NOC-AT,2033-05-03 16:03:01.315708,"Samsung LTE cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Urban subscribers"
CELL-000060,ENB-00060,Tower Alpha 60,SITE-00060,40.16465180120707,-108.22627346089575,Atlantic,Urban,Ericsson,LTE-A,Tier 4 (Very High),506,Hybrid,NOC-C,2033-04-03 16:03:01.315708,"Ericsson LTE-A cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Urban subscribers"
CELL-000061,ENB-00061,Station Omega 61,SITE-00061,36.034964352282394,-99.03257189034642,Atlantic,Highway,Nokia,LTE,Tier 1 (High),3996,Fiber,NOC-MW,2033-03-04 16:03:01.315708,"High-capacity LTE cell serving Highway area with Nokia equipment, Fiber backhaul connectivity"
CELL-000062,ENB-00062,Metro Beta 62,SITE-00062,36.146779200677635,-67.00211043063976,Atlantic,Urban,Samsung,LTE-A,Tier 3 (Low),4207,Fiber,NOC-NW,2033-02-02 16:03:01.315708,"Carrier aggregation enabled LTE-A site with Fiber transport, serving high-density Urban zone"
CELL-000063,ENB-00063,Site Beta 63,SITE-00063,40.342326402992605,-107.84167770219275,Northwest,Dense Urban,Samsung,5G NR,Tier 1 (High),1424,Fiber,NOC-MT,2033-01-03 16:03:01.315708,"Samsung 5G NR cell with advanced MIMO configuration, Tier 1 (High) capacity serving Dense Urban subscribers"
CELL-000064,ENB-00064,Metro Gamma 64,SITE-00064,40.14247225490004,-122.6871061334428,Central,Highway,Ericsson,LTE-A,Tier 1 (High),1866,Microwave,NOC-W,2032-12-04 16:03:01.315708,"Carrier aggregation enabled LTE-A site with Microwave transport, serving high-density Highway zone"
CELL-000065,ENB-00065,Station Alpha 65,SITE-00065,27.283567125132045,-91.89358212380816,Mountain,Highway,Samsung,5G NR,Tier 4 (Very High),4874,Fiber,NOC-GU,2032-11-04 16:03:01.315708,"5G NR macro cell with Tier 4 (Very High) capacity tier, optimized for Highway deployment using Samsung RAN"
CELL-000066,ENB-00066,Metro Gamma 66,SITE-00066,29.111712141381684,-78.83220629316409,West,Dense Urban,Ericsson,5G NR,Tier 1 (High),3685,Fiber,NOC-PA,2032-10-05 16:03:01.315708,"Multi-band 5G NR site with Fiber backhaul, Tier 1 (High) tier deployment in Dense Urban environment"
CELL-000067,ENB-00067,Site Alpha 67,SITE-00067,29.374222059430842,-91.54597201864836,Atlantic,Urban,Samsung,LTE,Tier 2 (Medium),2355,Hybrid,NOC-C,2032-09-05 16:03:01.315708,"Carrier aggregation enabled LTE site with Hybrid transport, serving high-density Urban zone"
CELL-000068,ENB-00068,Station Beta 68,SITE-00068,40.87899102739262,-85.13920927083973,Southwest,Suburban,Nokia,5G NR,Tier 3 (Low),2930,Fiber,NOC-MW,2032-08-06 16:03:01.315708,"High-capacity 5G NR cell serving Suburban area with Nokia equipment, Fiber backhaul connectivity"
CELL-000069,ENB-00069,Metro Gamma 69,SITE-00069,31.027152536185056,-105.42396330297281,North Central,Urban,Samsung,5G NR,Tier 4 (Very High),1927,Millimeter Wave,NOC-MT,2032-07-07 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Millimeter Wave transport, serving high-density Urban zone"
CELL-000070,ENB-00070,Station Delta 70,SITE-00070,27.448164636995443,-121.88515655916332,South Central,Urban,Ericsson,LTE-A,Tier 3 (Low),3058,Fiber,NOC-GL,2032-06-07 16:03:01.315708,"Multi-band LTE-A site with Fiber backhaul, Tier 3 (Low) tier deployment in Urban environment"
CELL-000071,ENB-00071,Station Alpha 71,SITE-00071,37.79097051382171,-73.03169646203756,Gulf,Rural,Samsung,LTE,Tier 3 (Low),2504,Hybrid,NOC-SE,2032-05-08 16:03:01.315708,"Samsung LTE cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Rural subscribers"
CELL-000072,ENB-00072,Tower Gamma 72,SITE-00072,35.5907724673444,-92.5848624934425,Pacific,Dense Urban,Samsung,LTE,Tier 4 (Very High),1613,Microwave,NOC-GU,2032-04-08 16:03:01.315708,"Carrier aggregation enabled LTE site with Microwave transport, serving high-density Dense Urban zone"
CELL-000073,ENB-00073,Site Alpha 73,SITE-00073,29.04599785197657,-93.54426943326328,Southeast,Dense Urban,Nokia,LTE-A,Tier 1 (High),579,Fiber,NOC-MW,2032-03-09 16:03:01.315708,"Nokia LTE-A cell with advanced MIMO configuration, Tier 1 (High) capacity serving Dense Urban subscribers"
CELL-000074,ENB-00074,Metro Beta 74,SITE-00074,48.32865687262698,-115.75383792023793,Pacific,Highway,Ericsson,LTE,Tier 1 (High),825,Microwave,NOC-SW,2032-02-08 16:03:01.315708,"LTE macro cell with Tier 1 (High) capacity tier, optimized for Highway deployment using Ericsson RAN"
CELL-000075,ENB-00075,Tower Gamma 75,SITE-00075,47.460474721538276,-71.61367127972206,Southeast,Rural,Samsung,5G NR,Tier 1 (High),1177,Fiber,NOC-NE,2032-01-09 16:03:01.315708,"5G NR macro cell with Tier 1 (High) capacity tier, optimized for Rural deployment using Samsung RAN"
CELL-000076,ENB-00076,Metro Gamma 76,SITE-00076,40.92866828815709,-96.92306894932817,West,Urban,Nokia,5G NR,Tier 1 (High),2751,Fiber,NOC-NC,2031-12-10 16:03:01.315708,"High-capacity 5G NR cell serving Urban area with Nokia equipment, Fiber backhaul connectivity"
CELL-000077,ENB-00077,Station Gamma 77,SITE-00077,45.147230633378605,-74.21308381777096,South Central,Suburban,Nokia,5G NR,Tier 4 (Very High),2677,Fiber,NOC-GL,2031-11-10 16:03:01.315708,"5G NR macro cell with Tier 4 (Very High) capacity tier, optimized for Suburban deployment using Nokia RAN"
CELL-000078,ENB-00078,Metro Omega 78,SITE-00078,30.936472084394833,-68.16233905270794,Great Lakes,Rural,Samsung,5G NR,Tier 3 (Low),2071,Hybrid,NOC-C,2031-10-11 16:03:01.315708,"Samsung 5G NR cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Rural subscribers"
CELL-000079,ENB-00079,Metro Beta 79,SITE-00079,30.866323667362618,-118.92905058853067,Gulf,Urban,Nokia,LTE-A,Tier 4 (Very High),1245,Fiber,NOC-MT,2031-09-11 16:03:01.315708,"Nokia LTE-A cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Urban subscribers"
CELL-000080,ENB-00080,Tower Alpha 80,SITE-00080,35.27086683825538,-93.70794838165523,Central,Urban,Ericsson,LTE,Tier 2 (Medium),4370,Fiber,NOC-MW,2031-08-12 16:03:01.315708,"Multi-band LTE site with Fiber backhaul, Tier 2 (Medium) tier deployment in Urban environment"
CELL-000081,ENB-00081,Metro Delta 81,SITE-00081,48.34912178459902,-80.79180101466635,Gulf,Suburban,Nokia,LTE-A,Tier 3 (Low),923,Microwave,NOC-NE,2031-07-13 16:03:01.315708,"Nokia LTE-A cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Suburban subscribers"
CELL-000082,ENB-00082,Site Delta 82,SITE-00082,30.87386813275595,-73.56354038131236,Northeast,Dense Urban,Ericsson,LTE,Tier 2 (Medium),3461,Microwave,NOC-AT,2031-06-13 16:03:01.315708,"High-capacity LTE cell serving Dense Urban area with Ericsson equipment, Microwave backhaul connectivity"
CELL-000083,ENB-00083,Tower Alpha 83,SITE-00083,34.92462991312662,-122.72534352726919,Atlantic,Highway,Samsung,5G NR,Tier 2 (Medium),2608,Fiber,NOC-GU,2031-05-14 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Fiber transport, serving high-density Highway zone"
CELL-000084,ENB-00084,Station Alpha 84,SITE-00084,28.562439989045814,-123.4569450666158,Northwest,Dense Urban,Samsung,LTE,Tier 2 (Medium),4786,Fiber,NOC-NW,2031-04-14 16:03:01.315708,"LTE macro cell with Tier 2 (Medium) capacity tier, optimized for Dense Urban deployment using Samsung RAN"
CELL-000085,ENB-00085,Tower Delta 85,SITE-00085,42.55358589747029,-98.31844480163497,West,Rural,Samsung,5G NR,Tier 1 (High),2746,Fiber,NOC-GL,2031-03-15 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Fiber transport, serving high-density Rural zone"
CELL-000086,ENB-00086,Site Alpha 86,SITE-00086,37.00361922274849,-91.57930208759916,Gulf,Dense Urban,Samsung,5G NR,Tier 1 (High),2181,Hybrid,NOC-SE,2031-02-13 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Hybrid transport, serving high-density Dense Urban zone"
CELL-000087,ENB-00087,Site Omega 87,SITE-00087,42.24031688925396,-84.40061011089367,Central,Rural,Samsung,LTE,Tier 3 (Low),2659,Fiber,NOC-AT,2031-01-14 16:03:01.315708,"LTE macro cell with Tier 3 (Low) capacity tier, optimized for Rural deployment using Samsung RAN"
CELL-000088,ENB-00088,Metro Alpha 88,SITE-00088,37.04951418295507,-123.68733454602919,Southwest,Rural,Nokia,5G NR,Tier 4 (Very High),1142,Fiber,NOC-MW,2030-12-15 16:03:01.315708,"Nokia 5G NR cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Rural subscribers"
CELL-000089,ENB-00089,Station Gamma 89,SITE-00089,48.20306695402584,-106.2425355678904,Mid-Atlantic,Suburban,Samsung,LTE,Tier 4 (Very High),1740,Millimeter Wave,NOC-SW,2030-11-15 16:03:01.315708,"LTE macro cell with Tier 4 (Very High) capacity tier, optimized for Suburban deployment using Samsung RAN"
CELL-000090,ENB-00090,Station Alpha 90,SITE-00090,34.1793701281324,-91.84998974045884,Gulf,Highway,Ericsson,LTE,Tier 1 (High),4835,Fiber,NOC-MT,2030-10-16 16:03:01.315708,"Ericsson LTE cell with advanced MIMO configuration, Tier 1 (High) capacity serving Highway subscribers"
