tenant_id,tenant_name,account_tier,contract_arr,renewal_date,customer_success_manager,sla_target_p95_ms,industry_vertical
TNT-01025,United Corp,Professional,100000,2026-01-17 01:45:03.113161,Chris Anderson,500,Financial Services
TNT-01026,Premier Inc,Standard,50000,2026-08-18 01:45:03.113161,Sarah Chen,500,Retail
TNT-01027,Apex LLC,Enterprise,50000,2026-07-11 01:45:03.113161,Lisa Patel,500,Technology
TNT-01028,Summit Corp,Professional,100000,2026-07-21 01:45:03.113161,Emily Watson,400,Telecommunications
TNT-01029,Summit Corp,Professional,100000,2026-11-03 01:45:03.113161,Maria Garcia,500,Financial Services
TNT-01030,Premier Group,Professional,50000,2025-11-01 01:45:03.113161,Michael Rodriguez,500,Financial Services
TNT-01031,Summit Industries,Standard,100000,2026-06-06 01:45:03.113161,David Thompson,300,Travel & Hospitality
TNT-01032,Apex LLC,Standard,2500000,2026-09-09 01:45:03.113161,James Kim,500,Travel & Hospitality
TNT-01033,Acme Solutions,Enterprise,50000,2026-06-22 01:45:03.113161,David Thompson,500,Manufacturing
TNT-01034,Apex Corp,Professional,100000,2026-08-04 01:45:03.113161,James Kim,750,Healthcare
TNT-01035,Apex Corp,Professional,50000,2025-10-29 01:45:03.113161,Sarah Chen,300,Manufacturing
TNT-01036,Acme Corp,Standard,50000,2026-05-16 01:45:03.113161,David Thompson,400,Media & Entertainment
TNT-01037,Premier LLC,Professional,500000,2026-10-26 01:45:03.113161,Emily Watson,500,Healthcare
TNT-01038,Premier Group,Standard,500000,2026-05-21 01:45:03.113161,Maria Garcia,750,Telecommunications
TNT-01039,Acme LLC,Professional,50000,2026-04-14 01:45:03.113161,Jennifer Lee,750,Healthcare
TNT-01040,Apex Industries,Professional,500000,2026-08-22 01:45:03.113161,Chris Anderson,300,Telecommunications
TNT-01041,Summit Inc,Standard,50000,2026-06-04 01:45:03.113161,Sarah Chen,750,Retail
TNT-01042,Acme Group,Enterprise,100000,2026-05-03 01:45:03.113161,Maria Garcia,500,Technology
TNT-01043,Premier Solutions,Standard,250000,2026-04-03 01:45:03.113161,Maria Garcia,500,Travel & Hospitality
TNT-01044,Premier Industries,Standard,500000,2025-10-27 01:45:03.113161,Emily Watson,500,Telecommunications
TNT-01045,Premier LLC,Standard,500000,2026-03-04 01:45:03.113161,Michael Rodriguez,500,Telecommunications
TNT-01046,Acme Industries,Professional,100000,2026-02-17 01:45:03.113161,Michael Rodriguez,500,Retail
TNT-01047,Summit Inc,Standard,500000,2026-06-16 01:45:03.113161,Lisa Patel,500,Manufacturing
TNT-01048,Acme Inc,Standard,500000,2026-02-18 01:45:03.113161,Robert Johnson,500,Media & Entertainment
TNT-01049,United LLC,Professional,500000,2026-02-18 01:45:03.113161,Maria Garcia,300,Travel & Hospitality
TNT-01050,Premier Group,Standard,500000,2026-08-04 01:45:03.113161,Sarah Chen,400,Manufacturing
TNT-01051,Summit Group,Professional,50000,2026-09-30 01:45:03.113161,Maria Garcia,500,Healthcare
TNT-01052,Summit Solutions,Enterprise,50000,2026-04-08 01:45:03.113161,David Thompson,400,Retail
TNT-01053,Global Solutions,Professional,100000,2025-11-02 01:45:03.113161,Lisa Patel,750,Telecommunications
TNT-01054,Apex Corp,Professional,1000000,2026-02-04 01:45:03.113161,Chris Anderson,750,Telecommunications
TNT-01055,Summit Corp,Standard,50000,2026-05-03 01:45:03.113161,Michael Rodriguez,400,Media & Entertainment
TNT-01056,Premier Corp,Standard,250000,2026-09-01 01:45:03.113161,David Thompson,500,Travel & Hospitality
TNT-01057,Summit Industries,Standard,250000,2026-10-07 01:45:03.113161,Michael Rodriguez,750,Media & Entertainment
TNT-01058,Acme Group,Enterprise,50000,2025-12-03 01:45:03.113161,Emily Watson,750,Financial Services
TNT-01059,Acme Corp,Enterprise,250000,2026-07-06 01:45:03.113161,Sarah Chen,500,Manufacturing
TNT-01060,Summit Corp,Standard,100000,2026-06-18 01:45:03.113161,James Kim,300,Travel & Hospitality
TNT-01061,Global Inc,Professional,2500000,2026-10-30 01:45:03.113161,Chris Anderson,500,Retail
TNT-01062,Premier Solutions,Standard,500000,2026-06-14 01:45:03.113161,Emily Watson,400,Travel & Hospitality
TNT-01063,Premier LLC,Standard,100000,2026-04-19 01:45:03.113161,Michael Rodriguez,500,Media & Entertainment
TNT-01064,United Industries,Professional,100000,2026-04-26 01:45:03.113161,Jennifer Lee,300,Media & Entertainment
TNT-01065,Summit Solutions,Professional,250000,2026-01-25 01:45:03.113161,Michael Rodriguez,400,Media & Entertainment
TNT-01066,Apex Inc,Professional,500000,2026-10-08 01:45:03.113161,Robert Johnson,500,Media & Entertainment
TNT-01067,Apex Inc,Standard,25000,2026-05-25 01:45:03.113161,James Kim,400,Retail
TNT-01068,Summit Corp,Enterprise,50000,2026-10-13 01:45:03.113161,Chris Anderson,500,Media & Entertainment
TNT-01069,United Industries,Professional,500000,2026-06-18 01:45:03.113161,Chris Anderson,500,Travel & Hospitality
TNT-01070,Global Industries,Standard,100000,2026-05-07 01:45:03.113161,Robert Johnson,400,Media & Entertainment
TNT-01071,United Group,Standard,100000,2026-01-06 01:45:03.113161,Chris Anderson,500,Healthcare
TNT-01072,Summit LLC,Enterprise,250000,2025-12-03 01:45:03.113161,Maria Garcia,500,Healthcare
TNT-01073,Premier LLC,Standard,500000,2026-04-07 01:45:03.113161,Lisa Patel,400,Telecommunications
TNT-01074,Summit Corp,Professional,1000000,2026-07-11 01:45:03.113161,James Kim,500,Financial Services
TNT-01075,Global Corp,Enterprise,2500000,2025-11-07 01:45:03.113161,James Kim,750,Financial Services
TNT-01076,Acme Industries,Standard,100000,2025-10-31 01:45:03.113161,James Kim,400,Retail
TNT-01077,United LLC,Enterprise,100000,2025-10-27 01:45:03.113161,Sarah Chen,500,Travel & Hospitality
TNT-01078,Premier Corp,Standard,100000,2025-11-02 01:45:03.113161,Robert Johnson,400,Travel & Hospitality
TNT-01079,Apex Industries,Professional,50000,2026-09-19 01:45:03.113161,Lisa Patel,500,Manufacturing
TNT-01080,Summit Group,Enterprise,50000,2026-05-04 01:45:03.113161,Maria Garcia,400,Telecommunications
TNT-01081,Acme Group,Professional,250000,2025-11-01 01:45:03.113161,Sarah Chen,500,Healthcare
TNT-01082,Premier Inc,Standard,100000,2026-01-21 01:45:03.113161,Chris Anderson,300,Manufacturing
TNT-01083,Premier Solutions,Standard,500000,2026-08-19 01:45:03.113161,Robert Johnson,500,Telecommunications
TNT-01084,United Group,Standard,100000,2026-09-12 01:45:03.113161,Robert Johnson,500,Travel & Hospitality
TNT-01085,Summit Industries,Standard,1000000,2025-10-26 01:45:03.113161,Robert Johnson,400,Technology
TNT-01086,Global Corp,Professional,1000000,2026-05-05 01:45:03.113161,Chris Anderson,400,Manufacturing
TNT-01087,Global Inc,Professional,25000,2026-01-23 01:45:03.113161,Jennifer Lee,750,Financial Services
TNT-01088,Apex Corp,Professional,2500000,2026-06-11 01:45:03.113161,Michael Rodriguez,750,Telecommunications
TNT-01089,United Industries,Standard,250000,2026-09-27 01:45:03.113161,Maria Garcia,300,Retail
TNT-01090,Acme Corp,Standard,100000,2026-11-04 01:45:03.113161,Sarah Chen,750,Technology
TNT-01091,Summit Corp,Standard,25000,2025-12-29 01:45:03.113161,Lisa Patel,500,Healthcare
TNT-01092,Apex Industries,Standard,2500000,2026-10-26 01:45:03.113161,Lisa Patel,400,Retail
TNT-01093,Summit Group,Professional,25000,2026-02-01 01:45:03.113161,Michael Rodriguez,400,Technology
TNT-01094,Acme Group,Professional,1000000,2026-06-30 01:45:03.113161,David Thompson,300,Retail
TNT-01095,Premier Group,Standard,50000,2026-02-20 01:45:03.113161,Lisa Patel,300,Retail
TNT-01096,Acme Industries,Enterprise,500000,2026-04-18 01:45:03.113161,Sarah Chen,500,Media & Entertainment
TNT-01097,Acme Group,Standard,100000,2026-06-11 01:45:03.113161,Michael Rodriguez,400,Manufacturing
TNT-01098,Acme Inc,Standard,250000,2026-09-28 01:45:03.113161,Maria Garcia,750,Manufacturing
TNT-01099,Premier Industries,Professional,250000,2026-06-18 01:45:03.113161,Emily Watson,500,Retail
TNT-01100,Global Inc,Enterprise,50000,2026-07-26 01:45:03.113161,Lisa Patel,500,Manufacturing
TNT-01101,Summit Corp,Standard,100000,2026-09-30 01:45:03.113161,Jennifer Lee,400,Technology
TNT-01102,United Corp,Enterprise,25000,2026-07-28 01:45:03.113161,Sarah Chen,500,Media & Entertainment
TNT-01103,Premier Group,Enterprise,50000,2025-10-24 01:45:03.113161,Robert Johnson,500,Manufacturing
TNT-01104,Apex Inc,Enterprise,50000,2026-06-29 01:45:03.113161,David Thompson,400,Healthcare
TNT-01105,Premier Industries,Professional,50000,2026-04-11 01:45:03.113161,Sarah Chen,400,Healthcare
TNT-01106,Apex LLC,Professional,1000000,2026-03-11 01:45:03.113161,Jennifer Lee,300,Travel & Hospitality
TNT-01107,Apex Inc,Enterprise,50000,2026-07-31 01:45:03.113161,Sarah Chen,750,Technology
TNT-01108,Acme Inc,Standard,25000,2025-12-22 01:45:03.113161,Robert Johnson,750,Financial Services
TNT-01109,Acme Industries,Standard,1000000,2026-01-15 01:45:03.113161,James Kim,400,Healthcare
TNT-01110,Summit Corp,Standard,250000,2026-06-12 01:45:03.113161,Michael Rodriguez,400,Telecommunications
TNT-01111,Acme Group,Professional,100000,2026-08-14 01:45:03.113161,James Kim,400,Manufacturing
TNT-01112,Premier Solutions,Professional,50000,2026-10-09 01:45:03.113161,Michael Rodriguez,500,Retail
TNT-01113,Premier LLC,Professional,50000,2026-10-19 01:45:03.113161,Maria Garcia,750,Travel & Hospitality
TNT-01114,Global LLC,Enterprise,100000,2026-09-16 01:45:03.113161,Sarah Chen,300,Telecommunications
TNT-01115,Summit Solutions,Enterprise,50000,2025-11-20 01:45:03.113161,Emily Watson,300,Travel & Hospitality
TNT-01116,Premier Corp,Standard,250000,2026-03-17 01:45:03.113161,Chris Anderson,400,Travel & Hospitality
TNT-01117,Acme Industries,Enterprise,50000,2026-03-18 01:45:03.113161,Lisa Patel,500,Retail
TNT-01118,United Industries,Professional,25000,2026-01-03 01:45:03.113161,Lisa Patel,750,Travel & Hospitality
TNT-01119,Global Corp,Professional,25000,2026-01-01 01:45:03.113161,Chris Anderson,750,Technology
TNT-01120,Summit Inc,Standard,25000,2026-06-10 01:45:03.113161,David Thompson,500,Travel & Hospitality
TNT-01121,Global Inc,Professional,250000,2026-08-13 01:45:03.113161,Maria Garcia,400,Media & Entertainment
TNT-01122,Summit LLC,Professional,1000000,2026-09-19 01:45:03.113161,Robert Johnson,500,Travel & Hospitality
TNT-01123,Premier Inc,Standard,500000,2026-11-10 01:45:03.113161,Robert Johnson,500,Manufacturing
TNT-01124,Summit Solutions,Professional,25000,2025-10-21 01:45:03.113161,Maria Garcia,500,Financial Services
TNT-01125,Apex Industries,Professional,100000,2026-02-05 01:45:03.113161,Sarah Chen,400,Financial Services
TNT-01126,Global Group,Professional,50000,2025-11-12 01:45:03.113161,James Kim,750,Media & Entertainment
TNT-01127,Summit Group,Professional,50000,2026-02-02 01:45:03.113161,Michael Rodriguez,300,Technology
TNT-01128,Premier Industries,Professional,250000,2026-08-11 01:45:03.113161,Maria Garcia,500,Retail
TNT-01129,Summit Solutions,Standard,50000,2026-03-18 01:45:03.113161,Sarah Chen,400,Manufacturing
TNT-01130,United Industries,Enterprise,100000,2026-06-14 01:45:03.113161,Chris Anderson,500,Retail
TNT-01131,Acme Inc,Professional,100000,2026-04-24 01:45:03.113161,Maria Garcia,400,Telecommunications
TNT-01132,Premier Inc,Professional,500000,2026-06-20 01:45:03.113161,Emily Watson,500,Media & Entertainment
TNT-01133,Summit Group,Professional,100000,2026-10-02 01:45:03.113161,Michael Rodriguez,750,Healthcare
TNT-01134,Acme Group,Professional,500000,2025-10-24 01:45:03.113161,Chris Anderson,750,Telecommunications
TNT-01135,Global Corp,Standard,100000,2025-10-27 01:45:03.113161,Robert Johnson,750,Retail
TNT-01136,Premier Group,Professional,1000000,2026-02-20 01:45:03.113161,Emily Watson,300,Manufacturing
TNT-01137,Premier Solutions,Professional,1000000,2026-06-03 01:45:03.113161,Robert Johnson,750,Technology
TNT-01138,Global Inc,Standard,50000,2026-08-25 01:45:03.113161,Lisa Patel,400,Financial Services
TNT-01139,Premier Inc,Standard,500000,2026-01-10 01:45:03.113161,Emily Watson,400,Technology
TNT-01140,Global Solutions,Standard,50000,2026-09-09 01:45:03.113161,David Thompson,750,Travel & Hospitality
TNT-01141,Summit Group,Standard,100000,2026-10-01 01:45:03.113161,Lisa Patel,500,Travel & Hospitality
TNT-01142,Premier Corp,Enterprise,2500000,2026-04-12 01:45:03.113161,Robert Johnson,500,Financial Services
TNT-01143,Global Solutions,Enterprise,100000,2026-10-29 01:45:03.113161,Jennifer Lee,500,Financial Services
TNT-01144,Premier Industries,Professional,2500000,2026-07-02 01:45:03.113161,Jennifer Lee,400,Travel & Hospitality
TNT-01145,Apex Solutions,Professional,25000,2026-01-11 01:45:03.113161,Maria Garcia,750,Financial Services
TNT-01146,Acme Group,Enterprise,100000,2025-10-26 01:45:03.113161,Robert Johnson,500,Telecommunications
TNT-01147,Acme Group,Standard,100000,2026-04-04 01:45:03.113161,Maria Garcia,500,Travel & Hospitality
TNT-01148,Acme Industries,Enterprise,100000,2026-09-25 01:45:03.113161,Chris Anderson,500,Healthcare
TNT-01149,Apex LLC,Standard,100000,2026-09-28 01:45:03.113161,Robert Johnson,750,Travel & Hospitality
