customer_id,customer_name,customer_segment,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_segment,lifetime_revenue,predicted_clv,churn_probability,last_purchase_date,purchase_count,preferred_channel,channel_mix_ratio,customer_behavior_profile
CUST000011,Customer 11,Potential Loyalists,4,3,3,Potential Loyalists,2084.17,4935.39,0.221,2025-09-27 09:00:20.082623,36,e-commerce,0.66,High-value e-commerce shopper with preference for Electronics. Responds well to Email campaigns. Average basket size $57.
CUST000012,Customer 12,Champions,4,5,5,Champions,1054.61,1839.79,0.071,2025-08-09 09:00:20.082623,143,in-store,0.66,Emerging customer with growing purchase frequency. Primary interest in Food & Beverage. High potential for loyalty program engagement.
CUST000013,Customer 13,Champions,5,5,5,Champions,574.93,1356.5,0.026,2025-09-29 09:00:20.082623,80,in-store,0.37,High-value in-store shopper with preference for Beauty & Health. Responds well to Display Ads campaigns. Average basket size $7.
CUST000014,Customer 14,About to Sleep,4,3,3,About to Sleep,62.33,112.33,0.443,2025-11-01 09:00:20.082623,143,in-store,0.62,High-value in-store shopper with preference for Clothing. Responds well to Display Ads campaigns. Average basket size $0.
CUST000015,Customer 15,Champions,4,4,5,Champions,1570.99,3784.28,0.058,2025-10-13 09:00:20.082623,25,in-store,0.5,High-value in-store shopper with preference for Pet Supplies. Responds well to In-Store Promotion campaigns. Average basket size $62.
CUST000016,Customer 16,Cannot Lose Them,2,2,3,Cannot Lose Them,513.34,623.52,0.674,2025-11-09 09:00:20.082623,117,e-commerce,0.41,Emerging customer with growing purchase frequency. Primary interest in Beauty & Health. High potential for loyalty program engagement.
CUST000017,Customer 17,Loyal Customers,5,4,5,Loyal Customers,6192.75,11852.4,0.033,2025-09-08 09:00:20.082623,89,in-store,0.28,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000018,Customer 18,About to Sleep,2,3,4,About to Sleep,607.15,1447.31,0.262,2025-08-09 09:00:20.082623,114,e-commerce,0.7,Multi-channel customer (70% online) focusing on Clothing and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000019,Customer 19,At Risk,2,1,3,At Risk,1592.69,2576.99,0.72,2025-07-26 09:00:20.082623,148,e-commerce,0.67,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000020,Customer 20,Cannot Lose Them,1,3,3,Cannot Lose Them,1614.06,2415.33,0.785,2025-09-03 09:00:20.082623,43,in-store,0.4,High-value in-store shopper with preference for Home & Garden. Responds well to Email campaigns. Average basket size $37.
CUST000021,Customer 21,Need Attention,3,4,3,Need Attention,1746.17,2822.21,0.304,2025-10-29 09:00:20.082623,3,in-store,0.57,Emerging customer with growing purchase frequency. Primary interest in Sports & Outdoors. High potential for loyalty program engagement.
CUST000022,Customer 22,At Risk,2,2,3,At Risk,102.08,143.09,0.655,2025-08-02 09:00:20.082623,75,e-commerce,0.55,Emerging customer with growing purchase frequency. Primary interest in Home & Garden. High potential for loyalty program engagement.
CUST000023,Customer 23,New Customers,3,4,3,New Customers,82.13,177.16,0.233,2025-08-10 09:00:20.082623,135,e-commerce,0.17,At-risk profile showing declining engagement. Historical focus on Pet Supplies. Requires targeted retention campaigns.
CUST000024,Customer 24,Potential Loyalists,4,3,2,Potential Loyalists,395.25,707.41,0.34,2025-09-30 09:00:20.082623,26,e-commerce,0.61,Multi-channel customer (61% online) focusing on Sports & Outdoors and Food & Beverage. Price-sensitive with seasonal purchasing patterns.
CUST000025,Customer 25,New Customers,3,4,4,New Customers,5961.56,7726.34,0.398,2025-10-09 09:00:20.082623,96,e-commerce,0.53,At-risk profile showing declining engagement. Historical focus on Beauty & Health. Requires targeted retention campaigns.
CUST000026,Customer 26,Hibernating,2,1,5,Hibernating,1429.16,2302.81,0.681,2025-07-24 09:00:20.082623,95,e-commerce,0.52,High-value e-commerce shopper with preference for Books & Media. Responds well to Social Media campaigns. Average basket size $15.
CUST000027,Customer 27,Potential Loyalists,4,4,2,Potential Loyalists,7448.54,10818.22,0.456,2025-10-21 09:00:20.082623,128,in-store,0.13,At-risk profile showing declining engagement. Historical focus on Electronics. Requires targeted retention campaigns.
CUST000028,Customer 28,About to Sleep,3,2,2,About to Sleep,970.86,1458.89,0.288,2025-07-25 09:00:20.082623,21,e-commerce,0.42,Emerging customer with growing purchase frequency. Primary interest in Sports & Outdoors. High potential for loyalty program engagement.
CUST000029,Customer 29,Champions,5,5,4,Champions,6560.15,14919.26,0.08,2025-08-13 09:00:20.082623,77,e-commerce,0.21,At-risk profile showing declining engagement. Historical focus on Sports & Outdoors. Requires targeted retention campaigns.
CUST000030,Customer 30,Loyal Customers,4,4,4,Loyal Customers,76.47,152.07,0.021,2025-10-29 09:00:20.082623,28,e-commerce,0.12,At-risk profile showing declining engagement. Historical focus on Beauty & Health. Requires targeted retention campaigns.
CUST000031,Customer 31,Need Attention,3,3,3,Need Attention,960.0,2183.88,0.247,2025-09-09 09:00:20.082623,119,e-commerce,0.23,Multi-channel customer (23% online) focusing on Electronics and Clothing. Price-sensitive with seasonal purchasing patterns.
CUST000032,Customer 32,Loyal Customers,5,5,5,Loyal Customers,3393.17,5599.78,0.061,2025-08-28 09:00:20.082623,74,e-commerce,0.62,High-value e-commerce shopper with preference for Food & Beverage. Responds well to Display Ads campaigns. Average basket size $45.
CUST000033,Customer 33,At Risk,1,2,5,At Risk,316.49,637.12,0.89,2025-09-22 09:00:20.082623,85,e-commerce,0.29,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000034,Customer 34,Hibernating,1,2,4,Hibernating,1127.5,2660.15,0.765,2025-08-10 09:00:20.082623,47,in-store,0.4,High-value in-store shopper with preference for Sports & Outdoors. Responds well to Email campaigns. Average basket size $23.
CUST000035,Customer 35,About to Sleep,4,2,3,About to Sleep,7750.35,15777.43,0.239,2025-07-16 09:00:20.082623,35,e-commerce,0.6,At-risk profile showing declining engagement. Historical focus on Beauty & Health. Requires targeted retention campaigns.
CUST000036,Customer 36,At Risk,1,3,2,At Risk,8241.69,16702.03,0.92,2025-10-03 09:00:20.082623,101,in-store,0.45,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Beauty & Health category.
CUST000037,Customer 37,At Risk,1,2,3,At Risk,1167.35,2539.05,0.644,2025-09-19 09:00:20.082623,37,in-store,0.1,High-value in-store shopper with preference for Sports & Outdoors. Responds well to In-Store Promotion campaigns. Average basket size $31.
CUST000038,Customer 38,Cannot Lose Them,2,3,5,Cannot Lose Them,12620.61,18573.57,0.718,2025-09-08 09:00:20.082623,38,in-store,0.43,At-risk profile showing declining engagement. Historical focus on Beauty & Health. Requires targeted retention campaigns.
CUST000039,Customer 39,About to Sleep,4,4,4,About to Sleep,3189.81,5705.13,0.224,2025-08-23 09:00:20.082623,48,e-commerce,0.8,High-value e-commerce shopper with preference for Automotive. Responds well to Social Media campaigns. Average basket size $66.
CUST000040,Customer 40,Loyal Customers,4,5,4,Loyal Customers,2560.04,5733.1,0.05,2025-08-15 09:00:20.082623,54,in-store,0.25,Multi-channel customer (25% online) focusing on Home & Garden and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000041,Customer 41,Need Attention,4,2,2,Need Attention,5343.49,11898.86,0.266,2025-09-05 09:00:20.082623,59,e-commerce,0.29,Multi-channel customer (28% online) focusing on Pet Supplies and Clothing. Price-sensitive with seasonal purchasing patterns.
CUST000042,Customer 42,Promising,4,4,3,Promising,571.51,1024.93,0.4,2025-08-08 09:00:20.082623,53,in-store,0.32,Multi-channel customer (32% online) focusing on Pet Supplies and Food & Beverage. Price-sensitive with seasonal purchasing patterns.
CUST000043,Customer 43,Potential Loyalists,3,3,4,Potential Loyalists,4035.97,5513.84,0.214,2025-07-30 09:00:20.082623,80,e-commerce,0.61,Emerging customer with growing purchase frequency. Primary interest in Food & Beverage. High potential for loyalty program engagement.
CUST000044,Customer 44,Loyal Customers,5,4,4,Loyal Customers,163.97,241.09,0.077,2025-07-17 09:00:20.082623,146,e-commerce,0.27,Emerging customer with growing purchase frequency. Primary interest in Sports & Outdoors. High potential for loyalty program engagement.
CUST000045,Customer 45,Promising,3,2,2,Promising,552.75,1223.3,0.464,2025-08-20 09:00:20.082623,14,in-store,0.77,Loyal in-store customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Food & Beverage category.
CUST000046,Customer 46,About to Sleep,3,4,4,About to Sleep,851.71,2025.57,0.451,2025-09-17 09:00:20.082623,129,in-store,0.22,At-risk profile showing declining engagement. Historical focus on Automotive. Requires targeted retention campaigns.
CUST000047,Customer 47,Cannot Lose Them,1,1,4,Cannot Lose Them,17604.66,28684.93,0.632,2025-08-23 09:00:20.082623,1,in-store,0.55,Emerging customer with growing purchase frequency. Primary interest in Toys & Games. High potential for loyalty program engagement.
CUST000048,Customer 48,Loyal Customers,5,5,4,Loyal Customers,636.09,1576.11,0.078,2025-10-03 09:00:20.082623,120,in-store,0.69,At-risk profile showing declining engagement. Historical focus on Sports & Outdoors. Requires targeted retention campaigns.
CUST000049,Customer 49,Champions,5,5,4,Champions,247.51,514.61,0.014,2025-07-25 09:00:20.082623,90,in-store,0.24,Multi-channel customer (24% online) focusing on Electronics and Pet Supplies. Price-sensitive with seasonal purchasing patterns.
CUST000050,Customer 50,New Customers,3,4,2,New Customers,17307.06,40734.68,0.492,2025-09-30 09:00:20.082623,118,e-commerce,0.11,Emerging customer with growing purchase frequency. Primary interest in Home & Garden. High potential for loyalty program engagement.
CUST000051,Customer 51,Promising,4,4,3,Promising,840.02,1792.35,0.303,2025-08-19 09:00:20.082623,26,in-store,0.11,At-risk profile showing declining engagement. Historical focus on Food & Beverage. Requires targeted retention campaigns.
CUST000052,Customer 52,Champions,4,4,5,Champions,478.66,1108.08,0.08,2025-09-15 09:00:20.082623,81,in-store,0.24,Multi-channel customer (24% online) focusing on Books & Media and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000053,Customer 53,Cannot Lose Them,1,3,4,Cannot Lose Them,2280.44,4351.94,0.846,2025-08-21 09:00:20.082623,30,e-commerce,0.8,Emerging customer with growing purchase frequency. Primary interest in Automotive. High potential for loyalty program engagement.
CUST000054,Customer 54,Loyal Customers,4,4,4,Loyal Customers,1627.72,2132.08,0.089,2025-09-24 09:00:20.082623,36,e-commerce,0.81,Multi-channel customer (81% online) focusing on Clothing and Automotive. Price-sensitive with seasonal purchasing patterns.
CUST000055,Customer 55,Champions,5,5,4,Champions,102.4,205.44,0.02,2025-08-27 09:00:20.082623,37,e-commerce,0.37,Multi-channel customer (37% online) focusing on Food & Beverage and Pet Supplies. Price-sensitive with seasonal purchasing patterns.
CUST000056,Customer 56,About to Sleep,2,3,4,About to Sleep,1188.5,2834.91,0.463,2025-07-30 09:00:20.082623,88,in-store,0.12,Emerging customer with growing purchase frequency. Primary interest in Pet Supplies. High potential for loyalty program engagement.
CUST000057,Customer 57,At Risk,2,2,5,At Risk,321.31,445.57,0.9,2025-10-14 09:00:20.082623,4,e-commerce,0.73,At-risk profile showing declining engagement. Historical focus on Sports & Outdoors. Requires targeted retention campaigns.
CUST000058,Customer 58,Champions,4,5,4,Champions,261.46,410.97,0.016,2025-08-07 09:00:20.082623,123,e-commerce,0.86,Loyal e-commerce customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Beauty & Health category.
CUST000059,Customer 59,Need Attention,2,3,3,Need Attention,301.44,714.2,0.442,2025-08-18 09:00:20.082623,44,e-commerce,0.67,Emerging customer with growing purchase frequency. Primary interest in Beauty & Health. High potential for loyalty program engagement.
CUST000060,Customer 60,Hibernating,1,2,2,Hibernating,9718.01,13851.0,0.877,2025-09-06 09:00:20.082623,65,in-store,0.13,Loyal in-store customer with consistent monthly purchases. Prefers credit card payment. Strong brand affinity in Automotive category.
CUST000061,Customer 61,Champions,4,4,4,Champions,480.12,975.7,0.085,2025-09-06 09:00:20.082623,101,in-store,0.38,Emerging customer with growing purchase frequency. Primary interest in Beauty & Health. High potential for loyalty program engagement.
CUST000062,Customer 62,Cannot Lose Them,1,1,2,Cannot Lose Them,74.76,98.2,0.742,2025-08-26 09:00:20.082623,34,in-store,0.75,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Beauty & Health category.
CUST000063,Customer 63,Champions,4,4,5,Champions,1450.07,3056.63,0.051,2025-07-19 09:00:20.082623,119,e-commerce,0.43,Multi-channel customer (43% online) focusing on Sports & Outdoors and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000064,Customer 64,Champions,4,4,4,Champions,718.48,1530.75,0.085,2025-09-01 09:00:20.082623,135,e-commerce,0.29,At-risk profile showing declining engagement. Historical focus on Automotive. Requires targeted retention campaigns.
CUST000065,Customer 65,Loyal Customers,5,4,5,Loyal Customers,2759.98,5085.59,0.043,2025-08-05 09:00:20.082623,6,in-store,0.33,At-risk profile showing declining engagement. Historical focus on Books & Media. Requires targeted retention campaigns.
CUST000066,Customer 66,Champions,4,4,5,Champions,241.58,428.12,0.074,2025-10-07 09:00:20.082623,29,in-store,0.26,Loyal in-store customer with consistent monthly purchases. Prefers credit card payment. Strong brand affinity in Home & Garden category.
CUST000067,Customer 67,Potential Loyalists,2,4,3,Potential Loyalists,6084.22,12679.08,0.403,2025-11-06 09:00:20.082623,60,e-commerce,0.32,Emerging customer with growing purchase frequency. Primary interest in Books & Media. High potential for loyalty program engagement.
CUST000068,Customer 68,Loyal Customers,5,5,5,Loyal Customers,2566.94,5454.05,0.061,2025-07-18 09:00:20.082623,95,e-commerce,0.12,Multi-channel customer (12% online) focusing on Electronics and Home & Garden. Price-sensitive with seasonal purchasing patterns.
CUST000069,Customer 69,Loyal Customers,5,5,4,Loyal Customers,2041.84,4169.27,0.089,2025-11-04 09:00:20.082623,34,e-commerce,0.56,Multi-channel customer (56% online) focusing on Electronics and Beauty & Health. Price-sensitive with seasonal purchasing patterns.
CUST000070,Customer 70,At Risk,1,2,5,At Risk,2037.73,4698.84,0.865,2025-10-31 09:00:20.082623,135,e-commerce,0.55,Emerging customer with growing purchase frequency. Primary interest in Books & Media. High potential for loyalty program engagement.
CUST000071,Customer 71,Champions,4,4,5,Champions,3697.1,7999.11,0.03,2025-09-10 09:00:20.082623,149,in-store,0.43,High-value in-store shopper with preference for Clothing. Responds well to SMS campaigns. Average basket size $24.
CUST000072,Customer 72,Need Attention,4,4,3,Need Attention,846.65,1128.14,0.266,2025-08-14 09:00:20.082623,113,in-store,0.21,Multi-channel customer (21% online) focusing on Electronics and Clothing. Price-sensitive with seasonal purchasing patterns.
CUST000073,Customer 73,About to Sleep,3,4,4,About to Sleep,420.45,576.03,0.23,2025-07-27 09:00:20.082623,41,e-commerce,0.23,Emerging customer with growing purchase frequency. Primary interest in Automotive. High potential for loyalty program engagement.
CUST000074,Customer 74,Loyal Customers,5,5,4,Loyal Customers,7631.37,11661.34,0.056,2025-09-09 09:00:20.082623,27,e-commerce,0.81,At-risk profile showing declining engagement. Historical focus on Pet Supplies. Requires targeted retention campaigns.
CUST000075,Customer 75,New Customers,4,3,2,New Customers,13.44,26.16,0.401,2025-08-06 09:00:20.082623,101,in-store,0.4,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Electronics category.
CUST000076,Customer 76,Potential Loyalists,2,4,4,Potential Loyalists,2356.13,5695.32,0.216,2025-08-23 09:00:20.082623,42,in-store,0.22,Emerging customer with growing purchase frequency. Primary interest in Books & Media. High potential for loyalty program engagement.
CUST000077,Customer 77,At Risk,1,1,5,At Risk,2340.31,4679.92,0.906,2025-10-08 09:00:20.082623,103,e-commerce,0.23,Loyal e-commerce customer with consistent monthly purchases. Prefers credit card payment. Strong brand affinity in Books & Media category.
CUST000078,Customer 78,Champions,4,4,5,Champions,72.0,160.97,0.014,2025-09-28 09:00:20.082623,146,in-store,0.17,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000079,Customer 79,Need Attention,3,4,2,Need Attention,1379.88,2760.49,0.412,2025-11-12 09:00:20.082623,19,e-commerce,0.78,Emerging customer with growing purchase frequency. Primary interest in Beauty & Health. High potential for loyalty program engagement.
CUST000080,Customer 80,Champions,5,5,5,Champions,76.0,158.93,0.035,2025-09-26 09:00:20.082623,55,in-store,0.3,High-value in-store shopper with preference for Pet Supplies. Responds well to Direct Mail campaigns. Average basket size $1.
CUST000081,Customer 81,Loyal Customers,4,5,4,Loyal Customers,4534.1,10449.22,0.063,2025-10-26 09:00:20.082623,12,in-store,0.73,At-risk profile showing declining engagement. Historical focus on Electronics. Requires targeted retention campaigns.
CUST000082,Customer 82,Need Attention,2,3,3,Need Attention,97.06,181.08,0.447,2025-10-02 09:00:20.082623,115,in-store,0.87,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000083,Customer 83,Hibernating,1,3,2,Hibernating,16188.44,21748.94,0.713,2025-10-27 09:00:20.082623,92,in-store,0.12,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000084,Customer 84,Champions,5,4,5,Champions,1130.14,1625.78,0.081,2025-09-09 09:00:20.082623,11,e-commerce,0.13,High-value e-commerce shopper with preference for Pet Supplies. Responds well to Email campaigns. Average basket size $102.
CUST000085,Customer 85,Cannot Lose Them,2,1,4,Cannot Lose Them,8389.86,15612.09,0.823,2025-10-18 09:00:20.082623,110,in-store,0.26,At-risk profile showing declining engagement. Historical focus on Electronics. Requires targeted retention campaigns.
CUST000086,Customer 86,Cannot Lose Them,2,2,2,Cannot Lose Them,825.37,1357.58,0.644,2025-11-05 09:00:20.082623,21,in-store,0.37,Multi-channel customer (37% online) focusing on Beauty & Health and Sports & Outdoors. Price-sensitive with seasonal purchasing patterns.
CUST000087,Customer 87,About to Sleep,2,4,3,About to Sleep,9062.14,19312.44,0.361,2025-08-31 09:00:20.082623,81,e-commerce,0.27,Multi-channel customer (27% online) focusing on Books & Media and Electronics. Price-sensitive with seasonal purchasing patterns.
CUST000088,Customer 88,Loyal Customers,5,4,5,Loyal Customers,77.03,126.32,0.028,2025-09-08 09:00:20.082623,95,e-commerce,0.88,Emerging customer with growing purchase frequency. Primary interest in Home & Garden. High potential for loyalty program engagement.
CUST000089,Customer 89,At Risk,1,2,3,At Risk,71.14,170.76,0.761,2025-10-27 09:00:20.082623,49,in-store,0.35,At-risk profile showing declining engagement. Historical focus on Home & Garden. Requires targeted retention campaigns.
CUST000090,Customer 90,New Customers,4,3,2,New Customers,3751.12,5549.81,0.248,2025-11-09 09:00:20.082623,93,e-commerce,0.77,High-value e-commerce shopper with preference for Toys & Games. Responds well to Social Media campaigns. Average basket size $40.
CUST000091,Customer 91,Cannot Lose Them,2,3,3,Cannot Lose Them,699.9,1294.04,0.921,2025-09-17 09:00:20.082623,72,e-commerce,0.79,High-value e-commerce shopper with preference for Books & Media. Responds well to Direct Mail campaigns. Average basket size $9.
CUST000092,Customer 92,Need Attention,2,4,4,Need Attention,5519.03,12927.83,0.425,2025-08-26 09:00:20.082623,59,e-commerce,0.32,Loyal e-commerce customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Home & Garden category.
CUST000093,Customer 93,New Customers,2,3,2,New Customers,982.21,1246.58,0.306,2025-10-12 09:00:20.082623,101,in-store,0.26,Loyal in-store customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Automotive category.
CUST000094,Customer 94,Hibernating,2,2,5,Hibernating,10570.62,19125.43,0.717,2025-08-15 09:00:20.082623,119,e-commerce,0.84,Multi-channel customer (84% online) focusing on Sports & Outdoors and Pet Supplies. Price-sensitive with seasonal purchasing patterns.
CUST000095,Customer 95,Hibernating,1,2,3,Hibernating,1459.33,3323.07,0.879,2025-07-20 09:00:20.082623,33,e-commerce,0.79,Loyal e-commerce customer with consistent monthly purchases. Prefers credit card payment. Strong brand affinity in Pet Supplies category.
CUST000096,Customer 96,About to Sleep,2,3,2,About to Sleep,2471.95,5769.12,0.253,2025-09-23 09:00:20.082623,1,in-store,0.53,Emerging customer with growing purchase frequency. Primary interest in Home & Garden. High potential for loyalty program engagement.
CUST000097,Customer 97,About to Sleep,2,4,3,About to Sleep,1781.94,4262.44,0.304,2025-08-04 09:00:20.082623,71,e-commerce,0.79,Multi-channel customer (79% online) focusing on Electronics and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000098,Customer 98,At Risk,2,1,3,At Risk,26264.51,54933.27,0.809,2025-09-20 09:00:20.082623,142,e-commerce,0.64,Emerging customer with growing purchase frequency. Primary interest in Electronics. High potential for loyalty program engagement.
CUST000099,Customer 99,About to Sleep,2,4,4,About to Sleep,378.66,626.88,0.26,2025-09-09 09:00:20.082623,140,in-store,0.68,At-risk profile showing declining engagement. Historical focus on Automotive. Requires targeted retention campaigns.
CUST000100,Customer 100,Loyal Customers,5,4,4,Loyal Customers,247.37,366.9,0.043,2025-10-17 09:00:20.082623,147,in-store,0.4,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Pet Supplies category.
CUST000101,Customer 101,Loyal Customers,4,5,5,Loyal Customers,720.52,1384.85,0.089,2025-08-26 09:00:20.082623,61,e-commerce,0.81,Multi-channel customer (81% online) focusing on Food & Beverage and Electronics. Price-sensitive with seasonal purchasing patterns.
CUST000102,Customer 102,Loyal Customers,4,4,5,Loyal Customers,1079.34,2567.79,0.016,2025-11-09 09:00:20.082623,59,in-store,0.25,At-risk profile showing declining engagement. Historical focus on Sports & Outdoors. Requires targeted retention campaigns.
CUST000103,Customer 103,Need Attention,3,3,4,Need Attention,282.19,686.87,0.29,2025-09-16 09:00:20.082623,84,e-commerce,0.19,Multi-channel customer (19% online) focusing on Home & Garden and Pet Supplies. Price-sensitive with seasonal purchasing patterns.
CUST000104,Customer 104,Promising,2,4,3,Promising,90.9,159.85,0.407,2025-08-26 09:00:20.082623,95,e-commerce,0.41,Emerging customer with growing purchase frequency. Primary interest in Home & Garden. High potential for loyalty program engagement.
CUST000105,Customer 105,Potential Loyalists,3,3,3,Potential Loyalists,1710.64,3697.38,0.476,2025-08-13 09:00:20.082623,51,in-store,0.22,Emerging customer with growing purchase frequency. Primary interest in Clothing. High potential for loyalty program engagement.
CUST000106,Customer 106,Promising,4,2,3,Promising,64.22,78.1,0.466,2025-10-17 09:00:20.082623,76,in-store,0.85,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Electronics category.
CUST000107,Customer 107,Need Attention,4,2,3,Need Attention,969.06,1896.44,0.273,2025-09-09 09:00:20.082623,50,e-commerce,0.21,Multi-channel customer (21% online) focusing on Toys & Games and Beauty & Health. Price-sensitive with seasonal purchasing patterns.
CUST000108,Customer 108,Potential Loyalists,4,4,2,Potential Loyalists,135.2,229.3,0.226,2025-08-18 09:00:20.082623,58,in-store,0.34,Loyal in-store customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Books & Media category.
CUST000109,Customer 109,Potential Loyalists,4,3,4,Potential Loyalists,1181.64,1860.49,0.342,2025-07-22 09:00:20.082623,135,in-store,0.11,Multi-channel customer (11% online) focusing on Toys & Games and Books & Media. Price-sensitive with seasonal purchasing patterns.
CUST000110,Customer 110,Loyal Customers,4,5,5,Loyal Customers,99.0,157.37,0.089,2025-07-26 09:00:20.082623,26,in-store,0.17,At-risk profile showing declining engagement. Historical focus on Toys & Games. Requires targeted retention campaigns.
CUST000111,Customer 111,Loyal Customers,5,5,5,Loyal Customers,222.34,487.42,0.076,2025-08-21 09:00:20.082623,77,in-store,0.57,Multi-channel customer (56% online) focusing on Food & Beverage and Home & Garden. Price-sensitive with seasonal purchasing patterns.
CUST000112,Customer 112,Potential Loyalists,2,3,4,Potential Loyalists,39.67,85.25,0.225,2025-08-06 09:00:20.082623,28,e-commerce,0.63,Multi-channel customer (63% online) focusing on Toys & Games and Automotive. Price-sensitive with seasonal purchasing patterns.
CUST000113,Customer 113,Loyal Customers,4,5,5,Loyal Customers,1729.9,3900.39,0.092,2025-10-11 09:00:20.082623,77,in-store,0.75,At-risk profile showing declining engagement. Historical focus on Pet Supplies. Requires targeted retention campaigns.
CUST000114,Customer 114,At Risk,1,2,5,At Risk,2791.57,5917.22,0.616,2025-08-21 09:00:20.082623,85,in-store,0.29,Loyal in-store customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Automotive category.
CUST000115,Customer 115,Potential Loyalists,4,3,2,Potential Loyalists,143.87,317.3,0.297,2025-07-23 09:00:20.082623,63,e-commerce,0.32,High-value e-commerce shopper with preference for Sports & Outdoors. Responds well to Email campaigns. Average basket size $2.
CUST000116,Customer 116,Hibernating,1,1,2,Hibernating,2373.03,5404.4,0.812,2025-09-10 09:00:20.082623,28,in-store,0.76,At-risk profile showing declining engagement. Historical focus on Pet Supplies. Requires targeted retention campaigns.
CUST000117,Customer 117,Need Attention,4,2,2,Need Attention,1429.49,3314.63,0.368,2025-07-23 09:00:20.082623,105,in-store,0.57,High-value in-store shopper with preference for Automotive. Responds well to Email campaigns. Average basket size $13.
