content_id,title,description,content_type,genre,subgenres,themes,narrative_complexity,tone,release_year,runtime_minutes,rating,cast,director,studio,availability
CONTENT-000011,A Dark Saga,A compelling family that explores themes of social justice with powerful storytelling and dynamic characters,Series,Family,Contemporary,"Time travel,Generational conflict,Moral ambiguity,Love triangle",Complex,Dark,2022,45,R,"David Johnson,Robert Johnson,Lisa Davis,Sarah Miller,Jennifer Garcia",Robert Miller,Warner Bros,On-demand
CONTENT-000012,The Rising Chronicles,A compelling animation that explores themes of love triangle with gripping storytelling and layered characters,Documentary,Animation,Contemporary,"Betrayal,Family dynamics,Coming of age,Social justice",Moderate,Dark,2015,90,TV-14,"Robert Johnson,Lisa Brown,Emily Johnson",David Smith,Paramount,Basic
CONTENT-000013,An Hidden Journey,A compelling action that explores themes of social justice with nuanced storytelling and layered characters,Movie,Action,"Superhero,Military","Coming of age,Good vs evil,Mental health",Very Complex,Serious,2016,60,TV-14,"Lisa Miller,Jennifer Garcia,Sarah Smith,Robert Jones,Michael Jones",Lisa Brown,Amazon Studios,Basic
CONTENT-000014,The Fallen Destiny,A compelling horror that explores themes of identity crisis with intense storytelling and dynamic characters,Movie,Horror,Contemporary,"Coming of age,Social justice,Revenge quest",Moderate,Gritty,2020,45,TV-14,"Michael Williams,Jennifer Davis,David Miller,Jennifer Williams",Michael Miller,HBO Max,On-demand
CONTENT-000015, Rising Saga,A compelling family that explores themes of corporate intrigue with intense storytelling and memorable characters,Series,Family,General,"Family dynamics,Betrayal",Complex,Serious,2023,90,PG-13,"Sarah Jones,Lisa Smith,James Williams,James Williams",Lisa Johnson,NBC Universal,Premium
CONTENT-000016,An Last Saga,A compelling animation that explores themes of friendship bonds with heartfelt storytelling and dynamic characters,Movie,Animation,Contemporary,"Betrayal,Survival,Time travel,Mental health",Moderate,Gritty,2015,90,G,"Sarah Davis,James Brown,Michael Williams,Sarah Davis",Emily Davis,Universal,Live
CONTENT-000017, First Legacy,A compelling scifi that explores themes of family dynamics with heartfelt storytelling and memorable characters,Special,SciFi,"Dystopian,Space opera","Coming of age,Mental health,Redemption arc",Complex,Gritty,2016,60,TV-MA,"Robert Jones,Jennifer Miller,James Miller,David Johnson,Jennifer Smith",Lisa Jones,Sony,Live
CONTENT-000018,An Final City,A compelling adventure that explores themes of coming of age with intense storytelling and memorable characters,Movie,Adventure,Contemporary,"Artificial intelligence,Friendship bonds,Post-apocalyptic",Complex,Serious,2021,150,PG,"Emily Smith,James Davis,Robert Smith,Sarah Brown,David Johnson",Michael Miller,Apple TV+,On-demand
CONTENT-000019,A Fallen Empire,A compelling action that explores themes of post-apocalyptic with heartfelt storytelling and layered characters,Sports,Action,"Military,Heist","Corporate intrigue,Addiction recovery,Post-apocalyptic,Moral ambiguity",Moderate,Light,2016,45,TV-MA,"Jennifer Johnson,Jennifer Smith,Emily Jones,David Miller,David Johnson",Michael Miller,Amazon Studios,On-demand
CONTENT-000020,An First Chronicles,A compelling comedy that explores themes of friendship bonds with nuanced storytelling and dynamic characters,Movie,Comedy,"Sitcom,Romantic","Survival,Family dynamics,Corporate intrigue",Moderate,Whimsical,2019,60,PG,"James Brown,Michael Davis,Emily Garcia",Emily Davis,Apple TV+,Premium
CONTENT-000021, Final Kingdom,A compelling fantasy that explores themes of post-apocalyptic with gripping storytelling and layered characters,Movie,Fantasy,General,"Social justice,Time travel",Complex,Dark,2019,90,G,"James Smith,Jennifer Smith,David Williams,Lisa Miller,Emily Davis",Jennifer Brown,Warner Bros,Live
CONTENT-000022,The Dark Journey,A compelling fantasy that explores themes of identity crisis with heartfelt storytelling and layered characters,Documentary,Fantasy,Contemporary,"Survival,Addiction recovery,Good vs evil,Family dynamics",Complex,Whimsical,2023,90,TV-14,"James Brown,Jennifer Smith,Emily Johnson,Robert Williams",David Miller,Netflix Studios,Basic
CONTENT-000023,The First Kingdom,A compelling family that explores themes of survival with nuanced storytelling and memorable characters,Movie,Family,Contemporary,"Moral ambiguity,Revenge quest,Post-apocalyptic,Love triangle",Complex,Light,2022,90,TV-MA,"Emily Davis,James Smith,Michael Garcia,David Davis,James Williams",Emily Davis,Amazon Studios,Premium
CONTENT-000024,An First Kingdom,A compelling action that explores themes of betrayal with powerful storytelling and dynamic characters,Sports,Action,"Superhero,Spy","Corporate intrigue,Betrayal",Very Complex,Serious,2021,45,TV-MA,"Michael Williams,Michael Smith,Robert Williams,Lisa Jones",David Miller,Disney,Premium
CONTENT-000025, Final Legacy,A compelling action that explores themes of historical drama with powerful storytelling and layered characters,Special,Action,"Superhero,Heist","Good vs evil,Moral ambiguity",Very Complex,Whimsical,2019,120,G,"James Davis,Jennifer Miller,Emily Williams,James Garcia",Emily Smith,Amazon Studios,On-demand
CONTENT-000026,A Final Legacy,A compelling fantasy that explores themes of revenge quest with gripping storytelling and dynamic characters,Special,Fantasy,General,"Time travel,Love triangle,Identity crisis",Very Complex,Intense,2021,45,R,"David Garcia,Sarah Davis,Emily Davis",David Miller,Warner Bros,On-demand
CONTENT-000027,A Hidden Kingdom,A compelling scifi that explores themes of good vs evil with intense storytelling and layered characters,Movie,SciFi,"Hard sci-fi,Cyberpunk","Family dynamics,Love triangle",Complex,Whimsical,2021,120,R,"James Jones,David Miller,Emily Jones",James Garcia,Amazon Studios,On-demand
CONTENT-000028,A First Empire,A compelling comedy that explores themes of coming of age with powerful storytelling and layered characters,Documentary,Comedy,"Dark,Satire","Friendship bonds,Historical drama,Family dynamics",Moderate,Light,2015,150,TV-14,"David Johnson,Jennifer Jones,Robert Williams,Michael Miller,Sarah Miller",David Brown,Amazon Studios,Premium
CONTENT-000029, Final City,A compelling crime that explores themes of artificial intelligence with heartfelt storytelling and layered characters,Documentary,Crime,General,"Love triangle,Corporate intrigue,Class struggle,Mental health",Complex,Serious,2021,90,PG-13,"Jennifer Davis,Michael Miller,Robert Williams,Sarah Smith",Lisa Miller,Netflix Studios,Live
CONTENT-000030,An Rising Saga,A compelling crime that explores themes of mental health with nuanced storytelling and memorable characters,Movie,Crime,General,"Betrayal,Time travel,Revenge quest,Political power",Moderate,Gritty,2019,120,G,"Jennifer Miller,Robert Jones,Lisa Williams",Robert Garcia,Sony,Live
CONTENT-000031,The First Kingdom,A compelling crime that explores themes of betrayal with powerful storytelling and dynamic characters,Sports,Crime,Contemporary,"Post-apocalyptic,Historical drama,Social justice",Complex,Light,2020,60,PG,"Sarah Williams,Jennifer Miller,Robert Davis,Sarah Garcia",Robert Garcia,Universal,Premium
CONTENT-000032,An Final Empire,A compelling fantasy that explores themes of post-apocalyptic with powerful storytelling and dynamic characters,Movie,Fantasy,General,"Mental health,Historical drama",Complex,Gritty,2020,120,PG-13,"David Williams,Robert Smith,Michael Garcia",Robert Garcia,Netflix Studios,On-demand
CONTENT-000033, Final Journey,A compelling romance that explores themes of mental health with gripping storytelling and layered characters,Series,Romance,General,"Love triangle,Parallel universes,Survival,Revenge quest",Simple,Serious,2017,90,PG,"Sarah Smith,Lisa Jones,Robert Miller,Robert Johnson",Lisa Smith,Apple TV+,On-demand
CONTENT-000034,A Rising Empire,A compelling fantasy that explores themes of parallel universes with powerful storytelling and memorable characters,Documentary,Fantasy,General,"Coming of age,Historical drama,Family dynamics",Complex,Dark,2017,45,G,"Emily Smith,David Garcia,James Garcia,Emily Johnson,Lisa Jones",David Brown,NBC Universal,Premium
CONTENT-000035,An Final Kingdom,A compelling comedy that explores themes of historical drama with nuanced storytelling and layered characters,Series,Comedy,"Satire,Romantic","Parallel universes,Artificial intelligence,Survival,Addiction recovery",Moderate,Uplifting,2021,120,R,"David Smith,Michael Williams,Emily Brown,Lisa Miller",Sarah Williams,Sony,Premium
CONTENT-000036,A Dark Chronicles,A compelling adventure that explores themes of love triangle with nuanced storytelling and memorable characters,Series,Adventure,General,"Friendship bonds,Post-apocalyptic,Mental health",Complex,Gritty,2018,120,TV-MA,"Sarah Davis,David Williams,Robert Garcia,Lisa Johnson",Robert Williams,Sony,On-demand
CONTENT-000037,An Dark Journey,A compelling documentary that explores themes of revenge quest with gripping storytelling and complex characters,Movie,Documentary,General,"Corporate intrigue,Mental health,Artificial intelligence,Identity crisis",Simple,Serious,2019,45,G,"Robert Garcia,Lisa Miller,Robert Jones,Robert Johnson",Michael Brown,Apple TV+,On-demand
CONTENT-000038,A Hidden Kingdom,A compelling adventure that explores themes of generational conflict with gripping storytelling and dynamic characters,Series,Adventure,Contemporary,"Addiction recovery,Family dynamics,Moral ambiguity,Corporate intrigue",Moderate,Intense,2018,90,PG-13,"James Miller,David Johnson,David Brown,Sarah Miller",Robert Miller,Disney,On-demand
CONTENT-000039,A Rising Destiny,A compelling family that explores themes of time travel with powerful storytelling and memorable characters,Movie,Family,Contemporary,"Family dynamics,Post-apocalyptic,Corporate intrigue",Very Complex,Dark,2018,60,TV-14,"Emily Smith,Michael Davis,David Williams,Lisa Williams",Jennifer Garcia,Sony,On-demand
CONTENT-000040,A Fallen Chronicles,A compelling drama that explores themes of time travel with nuanced storytelling and complex characters,Documentary,Drama,"Medical,Legal","Class struggle,Parallel universes,Corporate intrigue,Political power",Moderate,Intense,2022,120,R,"James Miller,Robert Miller,Michael Garcia",Jennifer Johnson,Disney,On-demand
CONTENT-000041,The Last Destiny,A compelling thriller that explores themes of moral ambiguity with intense storytelling and dynamic characters,Series,Thriller,"Legal,Political","Friendship bonds,Social justice,Political power",Moderate,Whimsical,2018,60,PG-13,"Emily Brown,Emily Brown,Lisa Johnson",Jennifer Johnson,Warner Bros,On-demand
CONTENT-000042,A Hidden Destiny,A compelling documentary that explores themes of class struggle with gripping storytelling and complex characters,Movie,Documentary,General,"Time travel,Coming of age,Mental health,Social justice",Moderate,Gritty,2018,90,G,"Michael Miller,Robert Brown,James Smith,Jennifer Williams,James Williams",Jennifer Jones,Universal,Premium
CONTENT-000043,The Last Journey,A compelling crime that explores themes of betrayal with heartfelt storytelling and memorable characters,Special,Crime,Contemporary,"Post-apocalyptic,Redemption arc,Friendship bonds",Simple,Light,2015,45,TV-MA,"Robert Johnson,James Brown,Robert Garcia",James Davis,Apple TV+,Live
CONTENT-000044, Hidden Saga,A compelling fantasy that explores themes of coming of age with nuanced storytelling and layered characters,Series,Fantasy,General,"Moral ambiguity,Family dynamics,Parallel universes",Moderate,Gritty,2024,60,TV-14,"Robert Jones,James Williams,Michael Davis",David Miller,Paramount,Basic
CONTENT-000045, Dark Journey,A compelling animation that explores themes of parallel universes with nuanced storytelling and layered characters,Series,Animation,Contemporary,"Family dynamics,Friendship bonds,Post-apocalyptic",Very Complex,Uplifting,2015,45,PG,"David Johnson,Emily Johnson,Sarah Brown,Robert Davis",Lisa Williams,Netflix Studios,On-demand
CONTENT-000046,A Last City,A compelling thriller that explores themes of corporate intrigue with nuanced storytelling and dynamic characters,Sports,Thriller,"Legal,Political","Social justice,Artificial intelligence,Identity crisis,Corporate intrigue",Very Complex,Whimsical,2016,90,PG-13,"Jennifer Davis,Jennifer Brown,Sarah Williams,Jennifer Miller",Emily Davis,HBO Max,On-demand
CONTENT-000047,An Rising Destiny,A compelling action that explores themes of family dynamics with intense storytelling and layered characters,Movie,Action,"Superhero,Military","Identity crisis,Parallel universes,Moral ambiguity",Complex,Light,2018,60,TV-MA,"Emily Davis,Jennifer Johnson,Sarah Jones,Lisa Brown",Jennifer Garcia,Sony,Premium
CONTENT-000048,The First Destiny,A compelling scifi that explores themes of post-apocalyptic with nuanced storytelling and complex characters,Series,SciFi,"Dystopian,Hard sci-fi","Post-apocalyptic,Addiction recovery,Good vs evil",Very Complex,Serious,2015,45,TV-MA,"Robert Garcia,James Davis,David Smith",James Johnson,Warner Bros,Live
CONTENT-000049,An Last Empire,A compelling documentary that explores themes of good vs evil with powerful storytelling and dynamic characters,Movie,Documentary,General,"Mental health,Good vs evil",Very Complex,Gritty,2015,60,TV-14,"Robert Davis,David Williams,Michael Miller",Michael Williams,Apple TV+,Premium
CONTENT-000050,An Rising Kingdom,A compelling horror that explores themes of generational conflict with powerful storytelling and dynamic characters,Movie,Horror,General,"Moral ambiguity,Friendship bonds,Identity crisis,Survival",Moderate,Whimsical,2021,45,TV-14,"James Miller,David Johnson,Jennifer Jones,James Miller,David Brown",Sarah Jones,Netflix Studios,Live
CONTENT-000051,A First Empire,A compelling comedy that explores themes of good vs evil with gripping storytelling and complex characters,Series,Comedy,"Sitcom,Satire","Betrayal,Post-apocalyptic",Simple,Intense,2019,90,TV-14,"Robert Brown,David Davis,Emily Brown,Emily Jones,Michael Johnson",Sarah Jones,NBC Universal,Live
CONTENT-000052, Lost Journey,A compelling documentary that explores themes of artificial intelligence with gripping storytelling and complex characters,Movie,Documentary,Contemporary,"Friendship bonds,Parallel universes,Betrayal,Political power",Complex,Serious,2024,45,G,"David Jones,Sarah Brown,Lisa Brown",Emily Williams,Apple TV+,On-demand
CONTENT-000053, Rising Kingdom,A compelling mystery that explores themes of revenge quest with gripping storytelling and layered characters,Movie,Mystery,Contemporary,"Parallel universes,Survival",Moderate,Serious,2022,120,R,"Lisa Miller,Jennifer Williams,Sarah Miller,Robert Garcia",Sarah Garcia,NBC Universal,Premium
CONTENT-000054,The Fallen Empire,A compelling drama that explores themes of love triangle with gripping storytelling and layered characters,Documentary,Drama,"Legal,Historical","Moral ambiguity,Corporate intrigue,Political power,Redemption arc",Complex,Gritty,2020,60,PG,"Michael Williams,Robert Miller,Jennifer Garcia",Jennifer Davis,Universal,Basic
CONTENT-000055,An Lost Legacy,A compelling romance that explores themes of betrayal with nuanced storytelling and memorable characters,Sports,Romance,Contemporary,"Political power,Identity crisis,Historical drama",Simple,Uplifting,2023,150,PG,"David Johnson,Emily Williams,Sarah Miller",Jennifer Davis,Netflix Studios,Premium
CONTENT-000056, Fallen Legacy,A compelling documentary that explores themes of identity crisis with intense storytelling and dynamic characters,Documentary,Documentary,General,"Artificial intelligence,Redemption arc,Parallel universes",Simple,Whimsical,2024,60,TV-14,"David Garcia,Lisa Garcia,Sarah Garcia,James Garcia",Emily Brown,Disney,Basic
CONTENT-000057, Last Empire,A compelling fantasy that explores themes of post-apocalyptic with intense storytelling and memorable characters,Series,Fantasy,General,"Generational conflict,Survival,Post-apocalyptic",Simple,Whimsical,2023,120,PG-13,"Lisa Johnson,Jennifer Jones,Robert Garcia,Emily Brown",David Smith,Amazon Studios,On-demand
CONTENT-000058,An Last Legacy,A compelling mystery that explores themes of moral ambiguity with gripping storytelling and complex characters,Series,Mystery,General,"Historical drama,Addiction recovery,Coming of age",Complex,Uplifting,2020,45,PG-13,"Lisa Smith,Robert Miller,Jennifer Davis",Emily Miller,Paramount,On-demand
CONTENT-000059,A Last Legacy,A compelling drama that explores themes of post-apocalyptic with gripping storytelling and complex characters,Movie,Drama,"Political,Legal","Corporate intrigue,Moral ambiguity,Mental health,Friendship bonds",Complex,Serious,2024,90,TV-MA,"Jennifer Jones,Emily Williams,Jennifer Smith",Michael Miller,NBC Universal,On-demand
CONTENT-000060,A Final Saga,A compelling thriller that explores themes of corporate intrigue with intense storytelling and dynamic characters,Sports,Thriller,"Political,Legal","Social justice,Family dynamics,Generational conflict",Simple,Light,2021,45,TV-MA,"David Williams,Emily Garcia,Lisa Smith",David Jones,Universal,On-demand
CONTENT-000061,An Final Legacy,A compelling thriller that explores themes of time travel with powerful storytelling and dynamic characters,Movie,Thriller,"Crime,Conspiracy","Parallel universes,Good vs evil",Very Complex,Uplifting,2019,120,TV-MA,"David Miller,Jennifer Johnson,Jennifer Garcia,Robert Garcia,David Brown",Lisa Davis,Disney,Premium
CONTENT-000062, Lost Journey,A compelling scifi that explores themes of coming of age with powerful storytelling and layered characters,Series,SciFi,"Time travel,Hard sci-fi","Parallel universes,Addiction recovery",Moderate,Dark,2015,60,PG,"Jennifer Williams,Lisa Davis,James Brown,David Smith,Michael Johnson",Emily Johnson,Warner Bros,Premium
CONTENT-000063, Final Kingdom,A compelling adventure that explores themes of survival with powerful storytelling and layered characters,Series,Adventure,General,"Identity crisis,Survival,Friendship bonds",Complex,Whimsical,2017,90,TV-14,"Lisa Davis,James Garcia,James Williams,David Johnson",Lisa Williams,Warner Bros,Premium
CONTENT-000064,A Last Chronicles,A compelling action that explores themes of post-apocalyptic with powerful storytelling and layered characters,Series,Action,"Spy,Martial arts","Post-apocalyptic,Moral ambiguity",Moderate,Gritty,2019,90,TV-MA,"Sarah Miller,Sarah Davis,Robert Davis,Jennifer Smith",David Davis,NBC Universal,On-demand
CONTENT-000065,An First Legacy,A compelling action that explores themes of post-apocalyptic with intense storytelling and complex characters,Movie,Action,"Military,Heist","Good vs evil,Class struggle,Time travel,Betrayal",Simple,Dark,2019,150,PG-13,"James Jones,Sarah Davis,Lisa Johnson",Michael Davis,Paramount,On-demand
CONTENT-000066, Lost Journey,A compelling animation that explores themes of betrayal with nuanced storytelling and memorable characters,Movie,Animation,Contemporary,"Friendship bonds,Post-apocalyptic,Corporate intrigue",Moderate,Serious,2024,45,PG-13,"David Johnson,Robert Johnson,Emily Davis,David Brown",James Johnson,Netflix Studios,On-demand
CONTENT-000067, First Empire,A compelling romance that explores themes of parallel universes with gripping storytelling and layered characters,Series,Romance,General,"Parallel universes,Corporate intrigue,Moral ambiguity,Social justice",Complex,Whimsical,2019,120,PG,"Robert Jones,Jennifer Garcia,David Johnson",Lisa Williams,Universal,On-demand
CONTENT-000068, Lost Destiny,A compelling comedy that explores themes of moral ambiguity with powerful storytelling and memorable characters,Movie,Comedy,"Romantic,Satire","Good vs evil,Addiction recovery,Political power",Moderate,Uplifting,2022,120,G,"David Williams,David Jones,Lisa Jones",Robert Smith,Sony,On-demand
CONTENT-000069, Fallen Legacy,A compelling animation that explores themes of class struggle with powerful storytelling and dynamic characters,Documentary,Animation,Contemporary,"Moral ambiguity,Class struggle",Simple,Uplifting,2023,45,TV-14,"James Williams,Jennifer Brown,James Brown",James Williams,Netflix Studios,Live
CONTENT-000070,The Final Chronicles,A compelling thriller that explores themes of parallel universes with gripping storytelling and dynamic characters,Movie,Thriller,"Conspiracy,Legal","Class struggle,Revenge quest,Betrayal",Moderate,Serious,2017,60,G,"Jennifer Davis,Michael Brown,David Garcia,Michael Garcia,Robert Jones",Emily Miller,HBO Max,On-demand
CONTENT-000071,The Fallen Journey,A compelling thriller that explores themes of addiction recovery with nuanced storytelling and memorable characters,Series,Thriller,"Psychological,Conspiracy","Addiction recovery,Revenge quest",Complex,Whimsical,2020,60,PG,"Lisa Garcia,Robert Davis,David Garcia,James Jones",Emily Davis,NBC Universal,On-demand
CONTENT-000072,An Rising Kingdom,A compelling thriller that explores themes of political power with gripping storytelling and layered characters,Documentary,Thriller,"Political,Crime","Generational conflict,Good vs evil",Moderate,Intense,2022,150,PG,"David Davis,David Williams,Michael Miller,Robert Garcia",James Brown,Netflix Studios,On-demand
CONTENT-000073, Rising Chronicles,A compelling fantasy that explores themes of friendship bonds with gripping storytelling and dynamic characters,Movie,Fantasy,Contemporary,"Redemption arc,Political power,Post-apocalyptic,Survival",Complex,Light,2017,60,PG,"Robert Jones,Jennifer Williams,Jennifer Johnson,Sarah Miller,Emily Garcia",David Davis,Amazon Studios,Premium
CONTENT-000074, Rising Destiny,A compelling action that explores themes of political power with heartfelt storytelling and layered characters,Series,Action,"Heist,Spy","Revenge quest,Political power",Very Complex,Serious,2015,120,TV-MA,"James Johnson,James Garcia,Lisa Johnson,Robert Johnson",Sarah Garcia,Paramount,On-demand
CONTENT-000075,An Final Journey,A compelling fantasy that explores themes of parallel universes with powerful storytelling and memorable characters,Special,Fantasy,Contemporary,"Parallel universes,Social justice,Survival,Coming of age",Complex,Serious,2022,60,G,"Robert Johnson,David Jones,David Johnson,Robert Smith,Sarah Smith",Sarah Smith,Apple TV+,On-demand
CONTENT-000076, Lost Kingdom,A compelling action that explores themes of survival with nuanced storytelling and memorable characters,Series,Action,"Heist,Military","Coming of age,Addiction recovery,Parallel universes,Mental health",Moderate,Light,2020,45,PG,"Lisa Garcia,Michael Smith,David Johnson,David Miller",James Johnson,Apple TV+,On-demand
CONTENT-000077, Rising Legacy,A compelling animation that explores themes of moral ambiguity with nuanced storytelling and dynamic characters,Movie,Animation,Contemporary,"Political power,Corporate intrigue,Family dynamics",Complex,Uplifting,2021,45,PG-13,"Robert Jones,David Garcia,Michael Miller,David Brown,Jennifer Garcia",Lisa Brown,Disney,Basic
CONTENT-000078,An Fallen Legacy,A compelling drama that explores themes of historical drama with powerful storytelling and complex characters,Movie,Drama,"Political,Medical","Time travel,Post-apocalyptic,Revenge quest",Very Complex,Whimsical,2015,45,PG,"Michael Miller,Lisa Jones,Michael Davis",Robert Jones,Warner Bros,On-demand
CONTENT-000079,The Last Empire,A compelling drama that explores themes of betrayal with powerful storytelling and layered characters,Series,Drama,"Political,Psychological","Friendship bonds,Political power,Good vs evil",Simple,Light,2022,90,R,"Robert Davis,James Garcia,James Brown,Sarah Jones,Robert Brown",James Williams,Apple TV+,Premium
CONTENT-000080,An First Destiny,A compelling comedy that explores themes of mental health with nuanced storytelling and layered characters,Movie,Comedy,"Satire,Romantic","Friendship bonds,Revenge quest",Very Complex,Whimsical,2015,90,PG,"Robert Garcia,Michael Miller,Michael Miller",Jennifer Williams,Warner Bros,Live
CONTENT-000081,An Rising Legacy,A compelling family that explores themes of class struggle with powerful storytelling and dynamic characters,Series,Family,Contemporary,"Redemption arc,Artificial intelligence,Corporate intrigue,Coming of age",Moderate,Light,2018,120,R,"Jennifer Davis,James Davis,Michael Williams",Robert Brown,Netflix Studios,Live
CONTENT-000082,A Lost Saga,A compelling comedy that explores themes of political power with nuanced storytelling and layered characters,Documentary,Comedy,"Romantic,Sitcom","Historical drama,Betrayal,Post-apocalyptic,Mental health",Complex,Dark,2015,45,PG,"Jennifer Garcia,Robert Garcia,Robert Johnson,David Williams,Michael Smith",Michael Smith,Universal,Premium
CONTENT-000083,A Dark Journey,A compelling documentary that explores themes of revenge quest with heartfelt storytelling and layered characters,Movie,Documentary,General,"Social justice,Family dynamics",Moderate,Light,2018,45,R,"Sarah Jones,James Davis,Michael Williams,Michael Smith,David Jones",Lisa Williams,Disney,On-demand
CONTENT-000084,An Dark Kingdom,A compelling mystery that explores themes of love triangle with intense storytelling and layered characters,Sports,Mystery,Contemporary,"Coming of age,Historical drama,Political power",Complex,Serious,2023,60,PG,"Emily Davis,David Jones,Jennifer Brown,Michael Miller,Sarah Garcia",Jennifer Garcia,NBC Universal,On-demand
CONTENT-000085,A Lost Kingdom,A compelling comedy that explores themes of addiction recovery with powerful storytelling and memorable characters,Movie,Comedy,"Satire,Sitcom","Corporate intrigue,Betrayal,Moral ambiguity,Coming of age",Moderate,Dark,2017,90,TV-14,"Robert Brown,David Miller,James Davis,David Brown",Sarah Smith,Warner Bros,Live
CONTENT-000086,The Final Legacy,A compelling family that explores themes of identity crisis with powerful storytelling and memorable characters,Series,Family,General,"Historical drama,Political power",Moderate,Serious,2019,120,TV-14,"Robert Williams,Robert Garcia,David Davis",David Miller,Amazon Studios,On-demand
CONTENT-000087,An Fallen Kingdom,A compelling thriller that explores themes of mental health with intense storytelling and complex characters,Movie,Thriller,"Crime,Political","Moral ambiguity,Good vs evil,Parallel universes",Moderate,Whimsical,2018,90,PG-13,"Lisa Smith,James Davis,Michael Miller,Sarah Smith,David Garcia",James Johnson,Disney,Premium
CONTENT-000088,The Hidden Saga,A compelling animation that explores themes of identity crisis with intense storytelling and memorable characters,Series,Animation,General,"Moral ambiguity,Friendship bonds,Identity crisis",Simple,Dark,2022,45,PG-13,"Lisa Miller,Lisa Johnson,James Johnson,Jennifer Garcia,Robert Johnson",Robert Garcia,Warner Bros,On-demand
CONTENT-000089, Final Saga,A compelling documentary that explores themes of redemption arc with powerful storytelling and memorable characters,Special,Documentary,General,"Social justice,Parallel universes,Love triangle,Artificial intelligence",Moderate,Serious,2022,90,G,"Robert Davis,David Johnson,Emily Brown",Michael Garcia,Sony,On-demand
CONTENT-000090, Final Destiny,A compelling scifi that explores themes of identity crisis with powerful storytelling and layered characters,Special,SciFi,"Hard sci-fi,Time travel","Moral ambiguity,Artificial intelligence,Friendship bonds,Parallel universes",Simple,Whimsical,2021,45,TV-14,"Jennifer Garcia,James Miller,Robert Johnson,David Miller,Sarah Davis",Jennifer Miller,NBC Universal,On-demand
