@timestamp,event_id,event_title,event_description,alert_message,node_id,node_role,cluster_id,network_region,severity,event_type,consensus_state,affected_peers,score
2026-01-28 19:52:07.497579,EVT-1BBCBAE061,Split Brain - MME-05 - CENTRAL,Core cluster CLUSTER-EAST-2 detected split-brain condition; nodes MME-05 and peer lost quorum consensus in region CENTRAL. Automatic failover initiated.,ALERT: Split-brain condition on cluster CLUSTER-EAST-2 in CENTRAL requires immediate operator intervention.,MME-05,MME-SECONDARY,CLUSTER-EAST-2,CENTRAL,CRITICAL,SPLIT-BRAIN,FOLLOWER,5,68.11
2026-02-21 20:15:32.497579,EVT-F0C39A9F30,Paging Overload - HSS-06 - SOUTH,"Paging overload on HSS-06 in CLUSTER-EAST-1 (SOUTH): paging queue depth exceeding threshold, causing delayed UE reachability.",ALERT: Paging overload on HSS-06 in SOUTH. Reduce paging load or increase capacity.,HSS-06,PGW,CLUSTER-EAST-1,SOUTH,CRITICAL,PAGING-OVERLOAD,LEADER,2,42.48
2026-01-31 16:15:13.497579,EVT-4438E66C8A,Auth Failure Burst - MME-03 - WEST,HSS returning repeated authentication failures for subscribers homed on MME-03 in WEST. Cluster CLUSTER-WEST-1 flagged for investigation.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-03,PGW,CLUSTER-WEST-1,WEST,CRITICAL,AUTH-FAILURE-BURST,LEADER,4,79.31
2026-02-14 14:46:56.497579,EVT-F34C91E8DD,Normal Operation - HSS-05 - WEST,Node HSS-05 in CLUSTER-WEST-2 (WEST) operating within normal parameters. All health checks passing.,INFO: No active alerts for HSS-05 in CLUSTER-WEST-2 (WEST). System nominal.,HSS-05,MME-SECONDARY,CLUSTER-WEST-2,WEST,MEDIUM,NORMAL-OPERATION,LEADER,2,17.24
2026-02-19 03:02:08.497579,EVT-9590E7405F,Auth Failure Burst - MME-05 - EAST,Mass authentication failure burst detected on CLUSTER-EAST-1 in EAST. Node MME-05 logging elevated HSS reject rate over past 15 minutes.,ALERT: Mass auth failure detected on CLUSTER-EAST-1 in EAST. Check HSS health and S6a connectivity.,MME-05,HSS-PRIMARY,CLUSTER-EAST-1,EAST,MEDIUM,AUTH-FAILURE-BURST,LEADER,3,48.99
2026-01-04 20:24:39.497579,EVT-1CC39295AF,Ss7 Attack - MME-05 - CENTRAL,Rogue SS7 signaling detected targeting MME-05 on CLUSTER-WEST-1 in CENTRAL. Possible subscriber tracking or interception attempt.,ALERT: SS7 security attack suspected on MME-05 in CENTRAL. Engage security team immediately.,MME-05,HSS-PRIMARY,CLUSTER-WEST-1,CENTRAL,HIGH,SS7-ATTACK,LEADER,0,32.14
2026-01-15 12:36:36.497579,EVT-08E62C73FA,Mme Crash - MME-02 - WEST,Node MME-02 on CLUSTER-WEST-1 in WEST entered fault state. MME watchdog triggered process restart after unresponsive health check.,ALERT: MME process crash on MME-02 in CLUSTER-WEST-1 (WEST). Subscriber failover in progress.,MME-02,HSS-SECONDARY,CLUSTER-WEST-1,WEST,HIGH,MME-CRASH,SPLIT,4,74.1
2025-12-21 13:48:31.497579,EVT-2B55F1697A,Signaling Storm - HSS-01 - SOUTH,Abnormal signaling rate surge on HSS-01 in SOUTH. Cluster CLUSTER-CENTRAL-1 applying traffic shaping to protect core stability.,ALERT: Signaling storm threshold exceeded on HSS-01 in SOUTH. Traffic throttling engaged.,HSS-01,MME-PRIMARY,CLUSTER-CENTRAL-1,SOUTH,MEDIUM,SIGNALING-STORM,LEADER,0,14.39
2026-02-05 13:24:29.497579,EVT-084E299861,Signaling Storm - HSS-06 - SOUTH,Node HSS-06 on CLUSTER-EAST-1 experiencing signaling overload in SOUTH. NAS message queue depth exceeds safe operating limit.,ALERT: Signaling storm threshold exceeded on HSS-06 in SOUTH. Traffic throttling engaged.,HSS-06,HSS-PRIMARY,CLUSTER-EAST-1,SOUTH,LOW,SIGNALING-STORM,FOLLOWER,0,18.89
2025-12-23 01:12:27.497579,EVT-1602569A2E,Mme Crash - MME-05 - SOUTH,MME node MME-05 in cluster CLUSTER-WEST-2 (SOUTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-05 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-05,MME-SECONDARY,CLUSTER-WEST-2,SOUTH,HIGH,MME-CRASH,FOLLOWER,4,49.49
2025-12-20 19:15:24.497579,EVT-15CB81E932,Bearer Failure - HSS-01 - SOUTH,Bearer setup failure spike on HSS-01 in CLUSTER-CENTRAL-1 (SOUTH). GTP-C create session response rate declining sharply.,ALERT: Bearer failure rate elevated on HSS-01 in CLUSTER-CENTRAL-1 (SOUTH). Check SGW and PGW status.,HSS-01,MME-PRIMARY,CLUSTER-CENTRAL-1,SOUTH,HIGH,BEARER-FAILURE,SPLIT,0,37.16
2026-01-28 17:24:09.497579,EVT-9BCF098481,Split Brain - HSS-01 - CENTRAL,Split-brain event on CLUSTER-EAST-2: node HSS-01 in CENTRAL cannot reach majority peers. Consensus state transitioned to CANDIDATE.,ALERT: Split-brain condition on cluster CLUSTER-EAST-2 in CENTRAL requires immediate operator intervention.,HSS-01,MME-PRIMARY,CLUSTER-EAST-2,CENTRAL,CRITICAL,SPLIT-BRAIN,LEADER,0,34.18
2026-01-04 20:21:53.497579,EVT-58496B5100,Ss7 Attack - HSS-06 - CENTRAL,Rogue SS7 signaling detected targeting HSS-06 on CLUSTER-WEST-1 in CENTRAL. Possible subscriber tracking or interception attempt.,ALERT: SS7 security attack suspected on HSS-06 in CENTRAL. Engage security team immediately.,HSS-06,HSS-PRIMARY,CLUSTER-WEST-1,CENTRAL,HIGH,SS7-ATTACK,SPLIT,0,68.28
2026-01-31 14:47:50.497579,EVT-307EE3A8F0,Auth Failure Burst - MME-04 - WEST,HSS returning repeated authentication failures for subscribers homed on MME-04 in WEST. Cluster CLUSTER-WEST-1 flagged for investigation.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-04,HSS-PRIMARY,CLUSTER-WEST-1,WEST,MEDIUM,AUTH-FAILURE-BURST,FOLLOWER,4,83.23
2026-02-13 19:01:01.497579,EVT-ED8D928AAD,Bearer Failure - MME-01 - EAST,Dedicated bearer establishment failures on CLUSTER-EAST-2 in EAST. Node MME-01 logging SGW modify bearer timeouts.,ALERT: Bearer failure rate elevated on MME-01 in CLUSTER-EAST-2 (EAST). Check SGW and PGW status.,MME-01,SGW,CLUSTER-EAST-2,EAST,MEDIUM,BEARER-FAILURE,LEADER,3,40.6
2025-12-23 00:28:32.497579,EVT-E9D187757F,Mme Crash - MME-02 - SOUTH,MME node MME-02 in cluster CLUSTER-WEST-2 (SOUTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-02 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-02,MME-SECONDARY,CLUSTER-WEST-2,SOUTH,CRITICAL,MME-CRASH,LEADER,1,66.02
2026-01-15 11:15:45.497579,EVT-657C565477,Mme Crash - MME-07 - WEST,Node MME-07 on CLUSTER-WEST-1 in WEST entered fault state. MME watchdog triggered process restart after unresponsive health check.,ALERT: MME process crash on MME-07 in CLUSTER-WEST-1 (WEST). Subscriber failover in progress.,MME-07,PGW,CLUSTER-WEST-1,WEST,HIGH,MME-CRASH,LEADER,4,68.39
2026-01-04 21:31:21.497579,EVT-68A63D1158,Ss7 Attack - HSS-06 - CENTRAL,SS7 security alert: node HSS-06 in CLUSTER-WEST-1 (CENTRAL) receiving unsolicited MAP location update requests from unregistered network.,ALERT: SS7 security attack suspected on HSS-06 in CENTRAL. Engage security team immediately.,HSS-06,MME-PRIMARY,CLUSTER-WEST-1,CENTRAL,LOW,SS7-ATTACK,FOLLOWER,3,34.7
2026-01-03 21:46:48.497579,EVT-5530EF3367,Paging Overload - HSS-01 - WEST,"Paging overload on HSS-01 in CLUSTER-EAST-2 (WEST): paging queue depth exceeding threshold, causing delayed UE reachability.",ALERT: Paging overload on HSS-01 in WEST. Reduce paging load or increase capacity.,HSS-01,SGW,CLUSTER-EAST-2,WEST,LOW,PAGING-OVERLOAD,CANDIDATE,4,28.51
2026-01-28 19:18:21.497579,EVT-731CED20D1,Split Brain - MME-03 - CENTRAL,Core cluster CLUSTER-EAST-2 detected split-brain condition; nodes MME-03 and peer lost quorum consensus in region CENTRAL. Automatic failover initiated.,ALERT: Split-brain condition on cluster CLUSTER-EAST-2 in CENTRAL requires immediate operator intervention.,MME-03,SGW,CLUSTER-EAST-2,CENTRAL,HIGH,SPLIT-BRAIN,LEADER,5,49.5
2025-12-23 00:22:41.497579,EVT-F9DFF091B6,Mme Crash - MME-07 - SOUTH,MME node MME-07 in cluster CLUSTER-WEST-2 (SOUTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-07 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-07,SGW,CLUSTER-WEST-2,SOUTH,HIGH,MME-CRASH,LEADER,2,63.89
2026-01-22 00:27:32.497579,EVT-BD7E8CAA8C,Hss Sync Failure - HSS-01 - NORTH,HSS database synchronization failure on CLUSTER-EAST-2 in NORTH. Node HSS-01 reporting inconsistent subscriber profile data.,ALERT: HSS sync failure on CLUSTER-EAST-2 in NORTH. Authentication service may be degraded.,HSS-01,MME-PRIMARY,CLUSTER-EAST-2,NORTH,HIGH,HSS-SYNC-FAILURE,LEADER,3,49.93
2026-01-12 08:05:20.497579,EVT-76C092FAD2,Split Brain - MME-08 - NORTH,Split-brain event on CLUSTER-CENTRAL-1: node MME-08 in NORTH cannot reach majority peers. Consensus state transitioned to CANDIDATE.,ALERT: Split-brain condition on cluster CLUSTER-CENTRAL-1 in NORTH requires immediate operator intervention.,MME-08,PGW,CLUSTER-CENTRAL-1,NORTH,CRITICAL,SPLIT-BRAIN,FOLLOWER,4,39.57
2025-12-13 19:14:28.497579,EVT-EC9493A79D,Signaling Storm - MME-08 - WEST,"Signaling storm detected on CLUSTER-WEST-2 in WEST: node MME-08 receiving 33405 messages/min, exceeding capacity threshold.",ALERT: Signaling storm threshold exceeded on MME-08 in WEST. Traffic throttling engaged.,MME-08,PGW,CLUSTER-WEST-2,WEST,MEDIUM,SIGNALING-STORM,UNKNOWN,3,19.43
2026-02-13 16:54:44.497579,EVT-A00093B5B3,Split Brain - HSS-05 - WEST,"Network partition detected on CLUSTER-EAST-1 in WEST. Node HSS-05 isolated from cluster majority, triggering emergency re-election.",ALERT: Split-brain condition on cluster CLUSTER-EAST-1 in WEST requires immediate operator intervention.,HSS-05,MME-SECONDARY,CLUSTER-EAST-1,WEST,LOW,SPLIT-BRAIN,LEADER,0,51.95
2026-01-04 19:30:40.497579,EVT-AABBA966B7,Ss7 Attack - HSS-06 - CENTRAL,SS7 security alert: node HSS-06 in CLUSTER-WEST-1 (CENTRAL) receiving unsolicited MAP location update requests from unregistered network.,ALERT: SS7 security attack suspected on HSS-06 in CENTRAL. Engage security team immediately.,HSS-06,MME-PRIMARY,CLUSTER-WEST-1,CENTRAL,HIGH,SS7-ATTACK,FOLLOWER,0,54.23
2026-01-04 19:02:44.497579,EVT-51D1919B4C,Ss7 Attack - MME-05 - CENTRAL,Suspected SS7 MAP attack detected on MME-05 in CENTRAL. Cluster CLUSTER-WEST-1 logging abnormal MAP-SendRoutingInfo flood from foreign PLMN.,ALERT: SS7 security attack suspected on MME-05 in CENTRAL. Engage security team immediately.,MME-05,PGW,CLUSTER-WEST-1,CENTRAL,CRITICAL,SS7-ATTACK,FOLLOWER,0,89.0
2025-12-12 19:31:14.497579,EVT-C6B09259C8,Auth Failure Burst - MME-08 - WEST,HSS returning repeated authentication failures for subscribers homed on MME-08 in WEST. Cluster CLUSTER-EAST-2 flagged for investigation.,ALERT: Mass auth failure detected on CLUSTER-EAST-2 in WEST. Check HSS health and S6a connectivity.,MME-08,MME-PRIMARY,CLUSTER-EAST-2,WEST,LOW,AUTH-FAILURE-BURST,LEADER,3,53.58
2026-01-31 15:44:11.497579,EVT-364E9A8B5E,Auth Failure Burst - MME-04 - WEST,Mass authentication failure burst detected on CLUSTER-WEST-1 in WEST. Node MME-04 logging elevated HSS reject rate over past 15 minutes.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-04,PGW,CLUSTER-WEST-1,WEST,MEDIUM,AUTH-FAILURE-BURST,FOLLOWER,0,52.47
2025-12-23 01:00:13.497579,EVT-DB4A92C2A5,Mme Crash - MME-06 - SOUTH,MME node MME-06 in cluster CLUSTER-WEST-2 (SOUTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-06 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-06,MME-SECONDARY,CLUSTER-WEST-2,SOUTH,MEDIUM,MME-CRASH,FOLLOWER,1,95.79
2026-01-21 19:52:41.497579,EVT-466724D25A,Hss Sync Failure - MME-08 - NORTH,HSS database synchronization failure on CLUSTER-EAST-2 in NORTH. Node MME-08 reporting inconsistent subscriber profile data.,ALERT: HSS sync failure on CLUSTER-EAST-2 in NORTH. Authentication service may be degraded.,MME-08,HSS-PRIMARY,CLUSTER-EAST-2,NORTH,HIGH,HSS-SYNC-FAILURE,LEADER,2,48.59
2026-01-31 13:31:41.497579,EVT-20FADE72D8,Auth Failure Burst - HSS-03 - WEST,HSS returning repeated authentication failures for subscribers homed on HSS-03 in WEST. Cluster CLUSTER-WEST-1 flagged for investigation.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,HSS-03,SGW,CLUSTER-WEST-1,WEST,MEDIUM,AUTH-FAILURE-BURST,FOLLOWER,1,18.99
2026-02-07 02:45:27.497579,EVT-C7634A8AA5,Resource Exhaustion - MME-01 - WEST,Memory pressure on MME-01 in WEST. Cluster CLUSTER-CENTRAL-1 reporting heap utilization above 90% on MME process.,ALERT: Resource exhaustion on MME-01 in CLUSTER-CENTRAL-1 (WEST). Capacity intervention required.,MME-01,PGW,CLUSTER-CENTRAL-1,WEST,MEDIUM,RESOURCE-EXHAUSTION,FOLLOWER,3,10.54
2026-01-31 15:50:13.497579,EVT-A535D79E65,Auth Failure Burst - MME-07 - WEST,Authentication failure spike on CLUSTER-WEST-1: node MME-07 in WEST recording abnormal EAP-AKA failure rate. Possible HSS sync issue.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-07,HSS-PRIMARY,CLUSTER-WEST-1,WEST,CRITICAL,AUTH-FAILURE-BURST,CANDIDATE,4,64.35
2025-12-12 18:14:11.497579,EVT-62E13628A6,Mme Crash - HSS-03 - CENTRAL,"Process restart detected on HSS-03 in CLUSTER-EAST-1, CENTRAL. S1AP handler terminated with SIGSEGV. Automatic recovery in progress.",ALERT: MME process crash on HSS-03 in CLUSTER-EAST-1 (CENTRAL). Subscriber failover in progress.,HSS-03,HSS-SECONDARY,CLUSTER-EAST-1,CENTRAL,CRITICAL,MME-CRASH,SPLIT,1,29.5
2025-12-12 15:03:28.497579,EVT-35FB500125,Mme Crash - MME-03 - CENTRAL,MME node MME-03 in cluster CLUSTER-EAST-1 (CENTRAL) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-03 in CLUSTER-EAST-1 (CENTRAL). Subscriber failover in progress.,MME-03,SGW,CLUSTER-EAST-1,CENTRAL,HIGH,MME-CRASH,CANDIDATE,5,58.84
2026-01-22 11:34:15.497579,EVT-E1B12FCC6E,Split Brain - MME-08 - EAST,Core cluster CLUSTER-EAST-1 detected split-brain condition; nodes MME-08 and peer lost quorum consensus in region EAST. Automatic failover initiated.,ALERT: Split-brain condition on cluster CLUSTER-EAST-1 in EAST requires immediate operator intervention.,MME-08,MME-SECONDARY,CLUSTER-EAST-1,EAST,LOW,SPLIT-BRAIN,SPLIT,4,16.69
2025-12-22 18:17:53.497579,EVT-6CF930D1FB,Resource Exhaustion - MME-01 - WEST,Memory pressure on MME-01 in WEST. Cluster CLUSTER-EAST-2 reporting heap utilization above 90% on MME process.,ALERT: Resource exhaustion on MME-01 in CLUSTER-EAST-2 (WEST). Capacity intervention required.,MME-01,HSS-SECONDARY,CLUSTER-EAST-2,WEST,MEDIUM,RESOURCE-EXHAUSTION,LEADER,0,33.6
2026-02-24 00:36:16.497579,EVT-FE7F301B6E,Normal Operation - HSS-03 - EAST,Node HSS-03 in CLUSTER-CENTRAL-1 (EAST) operating within normal parameters. All health checks passing.,INFO: No active alerts for HSS-03 in CLUSTER-CENTRAL-1 (EAST). System nominal.,HSS-03,HSS-PRIMARY,CLUSTER-CENTRAL-1,EAST,MEDIUM,NORMAL-OPERATION,CANDIDATE,2,53.06
2026-01-31 16:13:18.497579,EVT-28BBB0331F,Auth Failure Burst - MME-08 - WEST,Authentication failure spike on CLUSTER-WEST-1: node MME-08 in WEST recording abnormal EAP-AKA failure rate. Possible HSS sync issue.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-08,MME-PRIMARY,CLUSTER-WEST-1,WEST,MEDIUM,AUTH-FAILURE-BURST,CANDIDATE,4,71.87
2026-01-15 11:29:45.497579,EVT-60218D2469,Mme Crash - MME-07 - WEST,Node MME-07 on CLUSTER-WEST-1 in WEST entered fault state. MME watchdog triggered process restart after unresponsive health check.,ALERT: MME process crash on MME-07 in CLUSTER-WEST-1 (WEST). Subscriber failover in progress.,MME-07,HSS-SECONDARY,CLUSTER-WEST-1,WEST,INFO,MME-CRASH,CANDIDATE,3,53.74
