incident_id,conversation_id,user_query,retrieved_doc_ids,expected_doc_ids,failure_reason,debug_time_minutes,resolution_notes,incident_date,resolved
INC000040,CONV00001806,Find templates used in email campaigns last month,"ASSET00001834,ASSET00002625,ASSET00002223,ASSET00000726,ASSET00001251",ASSET00000006,timeout,53,Resolved by adjusting filters,2025-08-24 02:05:07.853910,True
INC000041,CONV00001407,Show me all assets created in the last week,"ASSET00001444,ASSET00001184","ASSET00001665,ASSET00001777,ASSET00002383,ASSET00001798,ASSET00000541",poor_relevance,60,Resolved by adjusting query,2025-08-24 04:05:07.853910,True
INC000042,CONV00002138,Show me recent product images with high engagement,"ASSET00001590,ASSET00001245,ASSET00001060,ASSET00002449","ASSET00001673,ASSET00000284,ASSET00001064",poor_relevance,67,Resolved by adjusting filters,2025-08-24 06:05:07.853910,True
INC000043,CONV00001023,Show me all assets created in the last week,ASSET00002785,"ASSET00002374,ASSET00001116,ASSET00001349,ASSET00000841",timeout,82,Resolved by adjusting ranking,2025-08-24 08:05:07.853910,False
INC000044,CONV00001213,What assets are pending approval for the finance team,"ASSET00001745,ASSET00002244,ASSET00001578,ASSET00002128","ASSET00001944,ASSET00002567,ASSET00002685,ASSET00002129,ASSET00001683",wrong_filter,64,Resolved by adjusting query,2025-08-24 10:05:07.853910,False
INC000045,CONV00000504,Find all approved marketing assets for our spring campaign,"ASSET00001675,ASSET00000118,ASSET00002196","ASSET00000348,ASSET00002656",timeout,77,Resolved by adjusting filters,2025-08-24 12:05:07.853910,True
INC000046,CONV00001646,Search for video content related to product launches,ASSET00001757,"ASSET00001754,ASSET00002695,ASSET00000598",missing_context,40,Resolved by adjusting filters,2025-08-24 14:05:07.853910,True
INC000047,CONV00000062,Search for video content related to product launches,"ASSET00001434,ASSET00000031,ASSET00000529","ASSET00001251,ASSET00002772,ASSET00001204",embedding_mismatch,42,Resolved by adjusting ranking,2025-08-24 16:05:07.853910,True
INC000048,CONV00000124,Find templates used in email campaigns last month,ASSET00002090,"ASSET00000706,ASSET00002749,ASSET00000238",missing_context,43,Resolved by adjusting filters,2025-08-24 18:05:07.853910,True
INC000049,CONV00000755,What assets are pending approval for the finance team,"ASSET00000929,ASSET00002007,ASSET00000991,ASSET00000439","ASSET00001026,ASSET00001110",wrong_filter,48,Resolved by adjusting query,2025-08-24 20:05:07.853910,True
INC000050,CONV00000124,Find all approved marketing assets for our spring campaign,"ASSET00000815,ASSET00001429,ASSET00002748,ASSET00000713","ASSET00002043,ASSET00001506,ASSET00001440",missing_context,27,Resolved by adjusting embedding,2025-08-24 22:05:07.853910,False
INC000051,CONV00000051,Show approved logos in SVG format,ASSET00002005,"ASSET00002884,ASSET00001994,ASSET00000134,ASSET00001639,ASSET00000449",empty_results,70,Resolved by adjusting query,2025-08-25 00:05:07.853910,True
INC000052,CONV00000949,Search for video content related to product launches,"ASSET00001947,ASSET00000050,ASSET00000583,ASSET00002599,ASSET00000818","ASSET00001193,ASSET00000573",wrong_filter,68,Resolved by adjusting query,2025-08-25 02:05:07.853910,False
INC000053,CONV00000598,Search for campaign assets tagged with digital,"ASSET00001928,ASSET00001291","ASSET00001994,ASSET00002903,ASSET00002785,ASSET00001196,ASSET00002141",embedding_mismatch,25,Resolved by adjusting embedding,2025-08-25 04:05:07.853910,True
INC000054,CONV00002002,Search for video content related to product launches,"ASSET00001473,ASSET00000689,ASSET00000429,ASSET00000725,ASSET00000327","ASSET00001392,ASSET00001214,ASSET00000095",poor_relevance,16,Resolved by adjusting query,2025-08-25 06:05:07.853910,True
INC000055,CONV00000993,What brand guidelines exist for social media posts,"ASSET00002018,ASSET00001390,ASSET00002185",ASSET00002346,wrong_filter,27,Resolved by adjusting query,2025-08-25 08:05:07.853910,True
INC000056,CONV00000600,Show approved logos in SVG format,"ASSET00001638,ASSET00000601,ASSET00000976","ASSET00001552,ASSET00000113,ASSET00001257,ASSET00001011,ASSET00000003",empty_results,79,Resolved by adjusting embedding,2025-08-25 10:05:07.853910,False
INC000057,CONV00000911,What assets are pending approval for the finance team,"ASSET00001268,ASSET00002826,ASSET00000016","ASSET00002935,ASSET00001647,ASSET00002397,ASSET00000747",timeout,87,Resolved by adjusting embedding,2025-08-25 12:05:07.853910,True
INC000058,CONV00000799,Find high-resolution images for print materials,"ASSET00002554,ASSET00001844,ASSET00002385","ASSET00001580,ASSET00001050,ASSET00001500,ASSET00000212,ASSET00002210",poor_relevance,18,Resolved by adjusting embedding,2025-08-25 14:05:07.853910,True
INC000059,CONV00000841,Search for campaign assets tagged with digital,"ASSET00000033,ASSET00002163,ASSET00000339","ASSET00001353,ASSET00002640",missing_context,48,Resolved by adjusting embedding,2025-08-25 16:05:07.853910,True
INC000060,CONV00002264,Show approved logos in SVG format,"ASSET00000897,ASSET00002645,ASSET00002970,ASSET00001374","ASSET00002547,ASSET00001082,ASSET00002009",wrong_filter,89,Resolved by adjusting embedding,2025-08-25 18:05:07.853910,True
INC000061,CONV00000274,What brand guidelines exist for social media posts,"ASSET00001606,ASSET00000221,ASSET00002045",ASSET00001457,timeout,75,Resolved by adjusting ranking,2025-08-25 20:05:07.853910,True
INC000062,CONV00000815,Search for campaign assets tagged with digital,ASSET00001119,"ASSET00002526,ASSET00000996,ASSET00000025,ASSET00001164,ASSET00002695",empty_results,87,Resolved by adjusting filters,2025-08-25 22:05:07.853910,True
INC000063,CONV00001558,Find all approved marketing assets for our spring campaign,ASSET00002078,"ASSET00000714,ASSET00001859",missing_context,28,Resolved by adjusting ranking,2025-08-26 00:05:07.853910,True
INC000064,CONV00002102,Show me all assets created in the last week,ASSET00001226,ASSET00001255,incorrect_ranking,58,Resolved by adjusting filters,2025-08-26 02:05:07.853910,True
INC000065,CONV00000497,Show approved logos in SVG format,"ASSET00001603,ASSET00001498","ASSET00002694,ASSET00002449",timeout,61,Resolved by adjusting query,2025-08-26 04:05:07.853910,True
INC000066,CONV00000159,Find all approved marketing assets for our spring campaign,"ASSET00000440,ASSET00002567,ASSET00000335,ASSET00001413,ASSET00002991","ASSET00002082,ASSET00000367,ASSET00000491,ASSET00001422,ASSET00001670",incorrect_ranking,53,Resolved by adjusting filters,2025-08-26 06:05:07.853910,True
INC000067,CONV00000067,What brand guidelines exist for social media posts,"ASSET00000352,ASSET00000394,ASSET00001982",ASSET00001661,incorrect_ranking,17,Resolved by adjusting ranking,2025-08-26 08:05:07.853910,True
INC000068,CONV00002371,What assets are pending approval for the finance team,"ASSET00000945,ASSET00002703,ASSET00001665,ASSET00000294,ASSET00001852","ASSET00000772,ASSET00000025",poor_relevance,59,Resolved by adjusting ranking,2025-08-26 10:05:07.853910,True
INC000069,CONV00001345,Show me recent product images with high engagement,ASSET00002906,"ASSET00001832,ASSET00002397,ASSET00000823,ASSET00001366,ASSET00000296",wrong_filter,56,Resolved by adjusting filters,2025-08-26 12:05:07.853910,True
INC000070,CONV00001813,Show approved logos in SVG format,ASSET00000106,"ASSET00002407,ASSET00001475,ASSET00001419,ASSET00000840,ASSET00000575",embedding_mismatch,42,Resolved by adjusting embedding,2025-08-26 14:05:07.853910,False
INC000071,CONV00000836,Find high-resolution images for print materials,"ASSET00000679,ASSET00001332","ASSET00002691,ASSET00000643",timeout,44,Resolved by adjusting ranking,2025-08-26 16:05:07.853910,True
INC000072,CONV00001216,What brand guidelines exist for social media posts,"ASSET00000668,ASSET00002119,ASSET00000023,ASSET00001301","ASSET00001661,ASSET00001744,ASSET00000542",incorrect_ranking,61,Resolved by adjusting filters,2025-08-26 18:05:07.853910,False
INC000073,CONV00002441,What assets are pending approval for the finance team,"ASSET00001943,ASSET00001132,ASSET00000135,ASSET00001942",ASSET00002922,wrong_filter,78,Resolved by adjusting ranking,2025-08-26 20:05:07.853910,True
INC000074,CONV00000331,Show approved logos in SVG format,"ASSET00001900,ASSET00001593,ASSET00002663","ASSET00000900,ASSET00001323",timeout,82,Resolved by adjusting ranking,2025-08-26 22:05:07.853910,True
INC000075,CONV00000283,Show approved logos in SVG format,"ASSET00000685,ASSET00001793,ASSET00002560",ASSET00000685,incorrect_ranking,33,Resolved by adjusting filters,2025-08-27 00:05:07.853910,True
INC000076,CONV00001896,Find templates used in email campaigns last month,"ASSET00000629,ASSET00002173,ASSET00002952,ASSET00002160","ASSET00001559,ASSET00002120,ASSET00002328,ASSET00002414",empty_results,46,Resolved by adjusting query,2025-08-27 02:05:07.853910,True
INC000077,CONV00000032,Find templates used in email campaigns last month,"ASSET00002325,ASSET00001840,ASSET00002950,ASSET00001722,ASSET00002773","ASSET00001839,ASSET00002476,ASSET00001977",embedding_mismatch,84,Resolved by adjusting query,2025-08-27 04:05:07.853910,False
INC000078,CONV00002399,Search for campaign assets tagged with digital,"ASSET00001134,ASSET00002560,ASSET00001119,ASSET00002754",ASSET00001791,incorrect_ranking,34,Resolved by adjusting query,2025-08-27 06:05:07.853910,True
INC000079,CONV00000815,Show me recent product images with high engagement,"ASSET00002839,ASSET00001172","ASSET00002233,ASSET00001025,ASSET00002188,ASSET00002229,ASSET00001051",empty_results,47,Resolved by adjusting query,2025-08-27 08:05:07.853910,True
INC000080,CONV00001565,Show approved logos in SVG format,"ASSET00001635,ASSET00001193,ASSET00002660,ASSET00002976",ASSET00000546,timeout,60,Resolved by adjusting query,2025-08-27 10:05:07.853910,True
INC000081,CONV00000956,Show me recent product images with high engagement,"ASSET00002978,ASSET00001237,ASSET00000735","ASSET00000671,ASSET00000578,ASSET00000134",incorrect_ranking,79,Resolved by adjusting filters,2025-08-27 12:05:07.853910,True
INC000082,CONV00001416,Find templates used in email campaigns last month,ASSET00002512,ASSET00002349,timeout,54,Resolved by adjusting query,2025-08-27 14:05:07.853910,False
INC000083,CONV00001482,Find high-resolution images for print materials,"ASSET00002811,ASSET00000918","ASSET00002454,ASSET00000375,ASSET00001304,ASSET00001873",embedding_mismatch,33,Resolved by adjusting ranking,2025-08-27 16:05:07.853910,True
INC000084,CONV00001396,Search for video content related to product launches,"ASSET00001580,ASSET00000300","ASSET00001859,ASSET00000551,ASSET00002598,ASSET00001343",timeout,80,Resolved by adjusting embedding,2025-08-27 18:05:07.853910,True
INC000085,CONV00000481,Search for campaign assets tagged with digital,"ASSET00000382,ASSET00001251,ASSET00001129,ASSET00000106","ASSET00001816,ASSET00001491,ASSET00001194,ASSET00002257",timeout,63,Resolved by adjusting filters,2025-08-27 20:05:07.853910,True
INC000086,CONV00001355,Search for video content related to product launches,ASSET00001834,"ASSET00000303,ASSET00002596,ASSET00002719,ASSET00000692",missing_context,35,Resolved by adjusting query,2025-08-27 22:05:07.853910,True
INC000087,CONV00001305,Search for campaign assets tagged with digital,"ASSET00001192,ASSET00000658,ASSET00002537,ASSET00001770","ASSET00001554,ASSET00001405",empty_results,61,Resolved by adjusting query,2025-08-28 00:05:07.853910,True
INC000088,CONV00000594,What assets are pending approval for the finance team,"ASSET00002126,ASSET00002803,ASSET00000847","ASSET00002864,ASSET00001541,ASSET00000800,ASSET00000092",embedding_mismatch,87,Resolved by adjusting embedding,2025-08-28 02:05:07.853910,True
INC000089,CONV00000704,Find all approved marketing assets for our spring campaign,"ASSET00001803,ASSET00000565","ASSET00002031,ASSET00002826,ASSET00002540",wrong_filter,83,Resolved by adjusting query,2025-08-28 04:05:07.853910,True
INC000090,CONV00001630,Show me recent product images with high engagement,"ASSET00002067,ASSET00001829,ASSET00000387","ASSET00000467,ASSET00002312,ASSET00001224",incorrect_ranking,39,Resolved by adjusting ranking,2025-08-28 06:05:07.853910,True
INC000091,CONV00000882,Find all approved marketing assets for our spring campaign,"ASSET00000295,ASSET00000225,ASSET00001050,ASSET00001571,ASSET00002392","ASSET00001147,ASSET00000421",poor_relevance,72,Resolved by adjusting filters,2025-08-28 08:05:07.853910,True
INC000092,CONV00001615,What brand guidelines exist for social media posts,"ASSET00002965,ASSET00001736,ASSET00002408,ASSET00001286,ASSET00001579","ASSET00001056,ASSET00000207,ASSET00001177,ASSET00001794,ASSET00000454",poor_relevance,58,Resolved by adjusting query,2025-08-28 10:05:07.853910,True
INC000093,CONV00000869,Find all approved marketing assets for our spring campaign,ASSET00000688,"ASSET00002122,ASSET00002541,ASSET00000312",wrong_filter,57,Resolved by adjusting query,2025-08-28 12:05:07.853910,True
INC000094,CONV00002047,Show approved logos in SVG format,ASSET00000511,"ASSET00000242,ASSET00002579",incorrect_ranking,89,Resolved by adjusting query,2025-08-28 14:05:07.853910,True
INC000095,CONV00002289,What assets are pending approval for the finance team,"ASSET00001971,ASSET00002020,ASSET00001910,ASSET00000764","ASSET00001300,ASSET00002149,ASSET00002007",empty_results,64,Resolved by adjusting embedding,2025-08-28 16:05:07.853910,True
INC000096,CONV00001288,Find templates used in email campaigns last month,"ASSET00002208,ASSET00002475","ASSET00001095,ASSET00002241,ASSET00001438,ASSET00000571",poor_relevance,84,Resolved by adjusting embedding,2025-08-28 18:05:07.853910,False
INC000097,CONV00000689,Search for video content related to product launches,"ASSET00001041,ASSET00001007,ASSET00000853,ASSET00000458,ASSET00001406",ASSET00000236,wrong_filter,57,Resolved by adjusting filters,2025-08-28 20:05:07.853910,True
INC000098,CONV00001389,Find templates used in email campaigns last month,"ASSET00000287,ASSET00000835,ASSET00002294,ASSET00001179,ASSET00001129","ASSET00001907,ASSET00000850,ASSET00001942",poor_relevance,32,Resolved by adjusting embedding,2025-08-28 22:05:07.853910,True
INC000099,CONV00000354,Find high-resolution images for print materials,"ASSET00000778,ASSET00001296","ASSET00000718,ASSET00001144,ASSET00002050,ASSET00000676",incorrect_ranking,44,Resolved by adjusting embedding,2025-08-29 00:05:07.853910,True
INC000100,CONV00000829,What assets are pending approval for the finance team,"ASSET00001356,ASSET00001341,ASSET00001762,ASSET00001428","ASSET00001338,ASSET00001147,ASSET00001942,ASSET00002763,ASSET00001858",empty_results,30,Resolved by adjusting query,2025-08-29 02:05:07.853910,True
INC000101,CONV00000118,Show approved logos in SVG format,"ASSET00001042,ASSET00000835,ASSET00002131,ASSET00001643,ASSET00001337","ASSET00001024,ASSET00002414",embedding_mismatch,16,Resolved by adjusting embedding,2025-08-29 04:05:07.853910,True
INC000102,CONV00000664,Show me recent product images with high engagement,"ASSET00000506,ASSET00001196,ASSET00000861","ASSET00001153,ASSET00001835,ASSET00000290,ASSET00001443,ASSET00000042",embedding_mismatch,63,Resolved by adjusting ranking,2025-08-29 06:05:07.853910,False
INC000103,CONV00000543,What assets are pending approval for the finance team,"ASSET00001110,ASSET00002220,ASSET00000955,ASSET00000983,ASSET00002006","ASSET00000577,ASSET00002825,ASSET00001193,ASSET00000995",empty_results,59,Resolved by adjusting ranking,2025-08-29 08:05:07.853910,True
INC000104,CONV00002471,Search for campaign assets tagged with digital,"ASSET00001590,ASSET00001101,ASSET00001031","ASSET00001605,ASSET00002134,ASSET00000202,ASSET00000411",timeout,54,Resolved by adjusting embedding,2025-08-29 10:05:07.853910,True
INC000105,CONV00001344,Show me recent product images with high engagement,"ASSET00001017,ASSET00001901,ASSET00000662,ASSET00000316,ASSET00002698","ASSET00002670,ASSET00001933,ASSET00000054",timeout,84,Resolved by adjusting ranking,2025-08-29 12:05:07.853910,True
INC000106,CONV00002024,Find templates used in email campaigns last month,"ASSET00000144,ASSET00000181,ASSET00000442,ASSET00001108","ASSET00001956,ASSET00000436",wrong_filter,41,Resolved by adjusting query,2025-08-29 14:05:07.853910,True
INC000107,CONV00000122,What assets are pending approval for the finance team,"ASSET00002255,ASSET00002502,ASSET00000645,ASSET00002583","ASSET00002145,ASSET00000762",empty_results,47,Resolved by adjusting query,2025-08-29 16:05:07.853910,True
INC000108,CONV00000132,Search for video content related to product launches,ASSET00001436,ASSET00002531,wrong_filter,73,Resolved by adjusting embedding,2025-08-29 18:05:07.853910,False
INC000109,CONV00000409,Find all approved marketing assets for our spring campaign,"ASSET00000747,ASSET00000591","ASSET00002585,ASSET00001239,ASSET00002947",poor_relevance,45,Resolved by adjusting embedding,2025-08-29 20:05:07.853910,True
INC000110,CONV00001833,Find templates used in email campaigns last month,"ASSET00000750,ASSET00001660,ASSET00002407,ASSET00002790,ASSET00001818","ASSET00002759,ASSET00001730,ASSET00001867,ASSET00001103",embedding_mismatch,43,Resolved by adjusting filters,2025-08-29 22:05:07.853910,True
INC000111,CONV00000992,What assets are pending approval for the finance team,"ASSET00001333,ASSET00002466","ASSET00000315,ASSET00002563,ASSET00002708",missing_context,79,Resolved by adjusting ranking,2025-08-30 00:05:07.853910,True
INC000112,CONV00001508,Search for campaign assets tagged with digital,ASSET00001475,"ASSET00002548,ASSET00001587",timeout,49,Resolved by adjusting query,2025-08-30 02:05:07.853910,True
INC000113,CONV00000305,Show me recent product images with high engagement,"ASSET00002541,ASSET00001698,ASSET00002081,ASSET00002355,ASSET00000513","ASSET00001309,ASSET00000271,ASSET00002000,ASSET00001172",wrong_filter,76,Resolved by adjusting query,2025-08-30 04:05:07.853910,True
INC000114,CONV00001333,Show me recent product images with high engagement,"ASSET00002401,ASSET00000561",ASSET00001888,wrong_filter,51,Resolved by adjusting embedding,2025-08-30 06:05:07.853910,False
INC000115,CONV00001804,Search for campaign assets tagged with digital,"ASSET00000801,ASSET00000267,ASSET00002653,ASSET00002683",ASSET00001320,incorrect_ranking,80,Resolved by adjusting query,2025-08-30 08:05:07.853910,True
INC000116,CONV00000104,Show me all assets created in the last week,ASSET00001649,"ASSET00000916,ASSET00002760,ASSET00000131",empty_results,56,Resolved by adjusting ranking,2025-08-30 10:05:07.853910,True
INC000117,CONV00001489,Show approved logos in SVG format,"ASSET00000578,ASSET00001656,ASSET00001449,ASSET00000195","ASSET00000744,ASSET00000871,ASSET00000611,ASSET00000650,ASSET00001005",empty_results,51,Resolved by adjusting embedding,2025-08-30 12:05:07.853910,True
INC000118,CONV00001730,Find high-resolution images for print materials,"ASSET00001644,ASSET00000829","ASSET00000912,ASSET00002908,ASSET00001730",poor_relevance,31,Resolved by adjusting query,2025-08-30 14:05:07.853910,True
INC000119,CONV00000663,Find high-resolution images for print materials,"ASSET00002783,ASSET00001412,ASSET00001194,ASSET00001448","ASSET00002204,ASSET00001524,ASSET00001447,ASSET00002347",empty_results,44,Resolved by adjusting embedding,2025-08-30 16:05:07.853910,True
INC000120,CONV00001194,Search for campaign assets tagged with digital,"ASSET00000913,ASSET00001876,ASSET00000352","ASSET00002759,ASSET00001203,ASSET00002803",missing_context,83,Resolved by adjusting embedding,2025-08-30 18:05:07.853910,True
INC000121,CONV00001485,Show approved logos in SVG format,"ASSET00000188,ASSET00001165,ASSET00002778,ASSET00000011",ASSET00001597,poor_relevance,86,Resolved by adjusting query,2025-08-30 20:05:07.853910,False
INC000122,CONV00002471,Show me all assets created in the last week,"ASSET00000616,ASSET00001470,ASSET00000560,ASSET00002038","ASSET00002018,ASSET00002004,ASSET00001664",timeout,84,Resolved by adjusting ranking,2025-08-30 22:05:07.853910,True
