asset_id,asset_name,asset_description,asset_type,brand_name,customer_account_id,tags,file_format,created_date,last_modified,usage_count,approval_status,content_category
ASSET00000012,Social Post 12,Email header design optimized for various email clients and devices,image,Brand Alpha,CUST000050,brand,jpg,2025-08-26 06:02:11.853910,2025-10-10 10:24:54.853910,397,approved,campaign
ASSET00000013,Marketing Template 13,"Complete brand identity guidelines including logos, colors, and usage rules",template,Brand Delta,CUST000046,"social,marketing",ai,2025-10-24 22:50:15.853910,2025-09-26 01:45:53.853910,178,approved,marketing
ASSET00000014,Event Poster 14,Dynamic video advertisement highlighting product value proposition,audio,Brand Delta,CUST000015,"campaign,social,digital",psd,2025-09-29 22:05:00.853910,2025-08-02 09:47:28.853910,295,approved,social
ASSET00000015,Email Header 15,Dynamic video advertisement highlighting product value proposition,template,Brand Gamma,CUST000015,"marketing,digital",psd,2025-09-06 15:37:04.853910,2025-11-10 08:51:11.853910,451,draft,marketing
ASSET00000016,Product Shot 16,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Beta,CUST000031,digital,png,2025-09-23 06:56:22.853910,2025-09-28 04:09:51.853910,99,pending,marketing
ASSET00000017,Campaign Banner 17,Engaging social media content designed for maximum audience engagement,template,Brand Gamma,CUST000023,"marketing,social",ai,2025-10-07 16:05:46.853910,2025-11-06 15:36:55.853910,221,rejected,marketing
ASSET00000018,Email Header 18,Professional product photography showcasing key features and benefits,audio,Brand Alpha,CUST000080,"campaign,marketing,product",mp4,2025-07-31 22:27:58.853910,2025-11-04 12:03:45.853910,317,rejected,marketing
ASSET00000019,Campaign Banner 19,Email header design optimized for various email clients and devices,image,Brand Delta,CUST000173,marketing,svg,2025-10-13 08:57:46.853910,2025-08-10 15:29:17.853910,212,pending,product
ASSET00000020,Video Ad 20,Customizable marketing template with brand colors and typography,document,Brand Gamma,CUST000128,marketing,ai,2025-11-03 16:28:06.853910,2025-09-06 19:30:55.853910,292,approved,brand_guidelines
ASSET00000021,Event Poster 21,Customizable marketing template with brand colors and typography,image,Brand Beta,CUST000007,"social,product,campaign",png,2025-09-04 19:43:31.853910,2025-10-28 02:27:50.853910,498,pending,campaign
ASSET00000022,Brand Logo 22,Engaging social media content designed for maximum audience engagement,audio,Brand Alpha,CUST000057,marketing,jpg,2025-11-08 23:24:46.853910,2025-07-18 18:33:00.853910,441,rejected,marketing
ASSET00000023,Campaign Banner 23,Eye-catching campaign banner optimized for web and mobile platforms,document,Brand Delta,CUST000168,"product,social,digital",mp4,2025-07-18 04:21:08.853910,2025-11-10 19:36:43.853910,393,pending,social
ASSET00000024,Video Ad 24,Eye-catching campaign banner optimized for web and mobile platforms,video,Brand Alpha,CUST000093,brand,png,2025-11-11 13:16:22.853910,2025-07-17 10:14:35.853910,271,approved,campaign
ASSET00000025,Email Header 25,Email header design optimized for various email clients and devices,template,Brand Gamma,CUST000017,"brand,campaign,marketing",jpg,2025-10-09 20:15:30.853910,2025-10-15 18:44:10.853910,180,draft,product
ASSET00000026,Video Ad 26,Engaging social media content designed for maximum audience engagement,document,Brand Delta,CUST000066,"marketing,brand",png,2025-10-10 01:38:38.853910,2025-10-01 00:50:24.853910,332,approved,campaign
ASSET00000027,Email Header 27,Comprehensive product demonstration video with detailed feature walkthrough,template,Brand Gamma,CUST000197,"social,marketing,product",jpg,2025-11-06 17:34:03.853910,2025-10-19 06:51:04.853910,388,approved,marketing
ASSET00000028,Product Shot 28,Professional product photography showcasing key features and benefits,audio,Brand Gamma,CUST000044,"social,digital",pdf,2025-08-03 19:36:54.853910,2025-10-27 02:49:37.853910,429,pending,internal
ASSET00000029,Campaign Banner 29,Comprehensive product demonstration video with detailed feature walkthrough,image,Brand Beta,CUST000178,brand,pdf,2025-08-09 01:38:36.853910,2025-07-25 11:20:31.853910,135,rejected,brand_guidelines
ASSET00000030,Email Header 30,Event promotional poster with compelling visuals and clear call-to-action,image,Brand Delta,CUST000151,"marketing,digital",psd,2025-08-12 07:38:31.853910,2025-11-11 08:38:57.853910,110,approved,marketing
ASSET00000031,Video Ad 31,"Complete brand identity guidelines including logos, colors, and usage rules",image,Brand Omega,CUST000198,product,jpg,2025-10-17 18:41:52.853910,2025-07-19 04:19:27.853910,346,pending,marketing
ASSET00000032,Event Poster 32,Comprehensive product demonstration video with detailed feature walkthrough,logo,Brand Omega,CUST000158,"social,marketing",mp4,2025-11-06 00:54:54.853910,2025-10-02 07:26:54.853910,482,approved,social
ASSET00000033,Product Shot 33,Customizable marketing template with brand colors and typography,document,Brand Gamma,CUST000174,"brand,digital",png,2025-09-26 22:43:38.853910,2025-10-24 01:13:14.853910,424,approved,campaign
ASSET00000034,Marketing Template 34,Comprehensive product demonstration video with detailed feature walkthrough,audio,Brand Delta,CUST000143,brand,ai,2025-10-24 14:58:14.853910,2025-09-27 06:23:42.853910,458,approved,brand_guidelines
ASSET00000035,Email Header 35,Comprehensive product demonstration video with detailed feature walkthrough,template,Brand Delta,CUST000138,"digital,product",psd,2025-07-20 19:04:43.853910,2025-08-15 02:35:52.853910,357,pending,product
ASSET00000036,Social Post 36,Engaging social media content designed for maximum audience engagement,template,Brand Gamma,CUST000003,"brand,digital,campaign",svg,2025-09-27 00:19:28.853910,2025-10-15 18:17:09.853910,484,draft,campaign
ASSET00000037,Event Poster 37,High-resolution brand logo for digital and print use with transparent background,template,Brand Alpha,CUST000026,"campaign,marketing",mp3,2025-10-20 01:34:18.853910,2025-10-19 16:20:49.853910,123,approved,brand_guidelines
ASSET00000038,Brand Guidelines 38,Eye-catching campaign banner optimized for web and mobile platforms,template,Brand Beta,CUST000086,product,svg,2025-11-11 06:00:32.853910,2025-08-09 21:18:18.853910,426,approved,marketing
ASSET00000039,Product Shot 39,Eye-catching campaign banner optimized for web and mobile platforms,template,Brand Omega,CUST000122,campaign,mp3,2025-09-21 05:01:49.853910,2025-07-17 18:28:25.853910,235,approved,product
ASSET00000040,Brand Logo 40,Professional product photography showcasing key features and benefits,audio,Brand Gamma,CUST000051,social,psd,2025-10-18 02:51:22.853910,2025-11-08 00:31:29.853910,187,draft,campaign
ASSET00000041,Social Post 41,Engaging social media content designed for maximum audience engagement,logo,Brand Beta,CUST000147,"social,campaign",pdf,2025-07-24 23:36:26.853910,2025-09-19 07:03:08.853910,144,approved,social
ASSET00000042,Social Post 42,Dynamic video advertisement highlighting product value proposition,template,Brand Beta,CUST000115,campaign,pdf,2025-07-24 02:55:18.853910,2025-11-05 23:22:21.853910,478,pending,internal
ASSET00000043,Event Poster 43,Engaging social media content designed for maximum audience engagement,document,Brand Beta,CUST000023,marketing,mp4,2025-07-28 22:44:00.853910,2025-09-06 01:29:01.853910,409,rejected,product
ASSET00000044,Brand Guidelines 44,High-resolution brand logo for digital and print use with transparent background,audio,Brand Beta,CUST000077,"marketing,social,digital",mp3,2025-10-23 09:20:57.853910,2025-08-27 04:24:40.853910,496,approved,internal
ASSET00000045,Marketing Template 45,"Complete brand identity guidelines including logos, colors, and usage rules",audio,Brand Beta,CUST000025,"campaign,brand",mp4,2025-07-25 22:07:09.853910,2025-11-04 23:26:33.853910,139,approved,marketing
ASSET00000046,Brand Logo 46,"Complete brand identity guidelines including logos, colors, and usage rules",document,Brand Alpha,CUST000171,"campaign,brand,social",jpg,2025-10-09 07:40:54.853910,2025-11-09 19:32:33.853910,325,approved,campaign
ASSET00000047,Social Post 47,High-resolution brand logo for digital and print use with transparent background,audio,Brand Alpha,CUST000072,"product,campaign",svg,2025-09-12 04:12:59.853910,2025-09-26 22:33:35.853910,159,approved,brand_guidelines
ASSET00000048,Event Poster 48,Dynamic video advertisement highlighting product value proposition,video,Brand Beta,CUST000058,product,psd,2025-08-16 17:38:24.853910,2025-08-22 03:16:07.853910,438,pending,campaign
ASSET00000049,Email Header 49,Email header design optimized for various email clients and devices,logo,Brand Alpha,CUST000067,"brand,digital,campaign",svg,2025-08-08 01:21:39.853910,2025-08-26 20:33:24.853910,307,approved,marketing
ASSET00000050,Brand Logo 50,"Complete brand identity guidelines including logos, colors, and usage rules",image,Brand Beta,CUST000084,"product,marketing",jpg,2025-08-02 04:58:38.853910,2025-07-15 10:48:01.853910,71,draft,campaign
ASSET00000051,Marketing Template 51,Eye-catching campaign banner optimized for web and mobile platforms,template,Brand Delta,CUST000158,product,psd,2025-09-26 04:38:53.853910,2025-09-29 04:45:37.853910,255,approved,brand_guidelines
ASSET00000052,Video Ad 52,Dynamic video advertisement highlighting product value proposition,video,Brand Delta,CUST000198,"marketing,campaign",svg,2025-11-11 20:52:43.853910,2025-07-26 18:35:18.853910,25,approved,social
ASSET00000053,Event Poster 53,Eye-catching campaign banner optimized for web and mobile platforms,document,Brand Alpha,CUST000150,"brand,social",pdf,2025-09-29 21:33:33.853910,2025-07-19 20:17:02.853910,177,rejected,campaign
ASSET00000054,Brand Logo 54,"Complete brand identity guidelines including logos, colors, and usage rules",video,Brand Delta,CUST000185,social,pdf,2025-07-21 17:08:39.853910,2025-08-26 18:39:38.853910,393,approved,internal
ASSET00000055,Marketing Template 55,Professional product photography showcasing key features and benefits,image,Brand Beta,CUST000069,"campaign,brand",psd,2025-10-30 17:53:40.853910,2025-08-09 04:18:58.853910,77,pending,brand_guidelines
ASSET00000056,Marketing Template 56,High-resolution brand logo for digital and print use with transparent background,audio,Brand Gamma,CUST000102,"digital,social,marketing",pdf,2025-10-26 22:34:09.853910,2025-10-06 00:31:16.853910,47,draft,social
ASSET00000057,Social Post 57,High-resolution brand logo for digital and print use with transparent background,image,Brand Beta,CUST000190,"product,digital",psd,2025-10-11 06:45:34.853910,2025-09-12 08:43:04.853910,26,pending,product
ASSET00000058,Brand Logo 58,Dynamic video advertisement highlighting product value proposition,audio,Brand Gamma,CUST000144,campaign,pdf,2025-10-11 12:21:58.853910,2025-09-17 02:19:15.853910,263,draft,campaign
ASSET00000059,Email Header 59,Eye-catching campaign banner optimized for web and mobile platforms,logo,Brand Alpha,CUST000162,product,mp3,2025-09-07 02:21:53.853910,2025-07-30 03:44:18.853910,434,approved,product
ASSET00000060,Video Ad 60,Email header design optimized for various email clients and devices,document,Brand Beta,CUST000091,"social,campaign,digital",png,2025-11-07 09:43:55.853910,2025-08-05 21:30:49.853910,426,draft,internal
ASSET00000061,Product Demo 61,Professional product photography showcasing key features and benefits,template,Brand Beta,CUST000051,campaign,psd,2025-08-14 09:37:12.853910,2025-09-07 14:24:51.853910,41,approved,internal
ASSET00000062,Email Header 62,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Omega,CUST000057,"marketing,product,digital",jpg,2025-09-29 02:07:07.853910,2025-07-21 06:43:50.853910,180,approved,campaign
ASSET00000063,Marketing Template 63,Engaging social media content designed for maximum audience engagement,video,Brand Beta,CUST000043,"campaign,product",png,2025-08-28 11:03:13.853910,2025-08-06 22:32:15.853910,398,draft,internal
ASSET00000064,Brand Guidelines 64,High-resolution brand logo for digital and print use with transparent background,video,Brand Omega,CUST000037,"campaign,brand",pdf,2025-08-21 05:37:19.853910,2025-10-25 10:38:13.853910,150,pending,marketing
ASSET00000065,Marketing Template 65,Eye-catching campaign banner optimized for web and mobile platforms,template,Brand Beta,CUST000160,digital,pdf,2025-07-22 15:51:37.853910,2025-08-04 07:51:54.853910,126,approved,brand_guidelines
ASSET00000066,Brand Guidelines 66,Eye-catching campaign banner optimized for web and mobile platforms,logo,Brand Omega,CUST000029,"digital,marketing",pdf,2025-09-20 01:31:48.853910,2025-11-07 03:44:59.853910,468,pending,brand_guidelines
ASSET00000067,Campaign Banner 67,Eye-catching campaign banner optimized for web and mobile platforms,logo,Brand Alpha,CUST000030,"marketing,product",psd,2025-09-27 02:51:55.853910,2025-10-05 07:44:12.853910,276,pending,social
ASSET00000068,Social Post 68,Professional product photography showcasing key features and benefits,document,Brand Delta,CUST000104,"brand,digital,social",pdf,2025-09-21 02:31:19.853910,2025-07-20 07:39:37.853910,195,approved,campaign
ASSET00000069,Product Demo 69,Dynamic video advertisement highlighting product value proposition,document,Brand Gamma,CUST000008,"social,marketing",mp3,2025-09-29 02:15:47.853910,2025-07-21 15:01:29.853910,125,draft,brand_guidelines
ASSET00000070,Event Poster 70,High-resolution brand logo for digital and print use with transparent background,image,Brand Omega,CUST000127,"digital,brand",png,2025-10-04 23:16:16.853910,2025-10-23 21:22:34.853910,498,approved,brand_guidelines
ASSET00000071,Brand Logo 71,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Delta,CUST000166,"marketing,digital,product",png,2025-09-27 17:16:24.853910,2025-10-19 02:08:00.853910,321,rejected,social
ASSET00000072,Video Ad 72,Professional product photography showcasing key features and benefits,audio,Brand Gamma,CUST000066,product,ai,2025-10-30 10:50:23.853910,2025-08-18 20:09:34.853910,323,approved,campaign
ASSET00000073,Marketing Template 73,Professional product photography showcasing key features and benefits,video,Brand Gamma,CUST000141,"product,brand,marketing",jpg,2025-08-12 21:58:22.853910,2025-09-12 15:16:24.853910,353,pending,social
ASSET00000074,Product Shot 74,Customizable marketing template with brand colors and typography,audio,Brand Delta,CUST000056,"marketing,social",psd,2025-11-02 09:12:29.853910,2025-09-27 08:07:33.853910,112,pending,social
ASSET00000075,Brand Guidelines 75,Comprehensive product demonstration video with detailed feature walkthrough,image,Brand Alpha,CUST000017,"marketing,campaign",mp3,2025-08-29 12:16:11.853910,2025-08-20 14:55:57.853910,477,approved,brand_guidelines
ASSET00000076,Brand Guidelines 76,Event promotional poster with compelling visuals and clear call-to-action,template,Brand Alpha,CUST000041,brand,svg,2025-10-01 12:09:39.853910,2025-07-15 21:19:47.853910,373,approved,social
ASSET00000077,Campaign Banner 77,Event promotional poster with compelling visuals and clear call-to-action,audio,Brand Alpha,CUST000185,campaign,psd,2025-09-10 20:44:38.853910,2025-10-06 06:34:59.853910,135,rejected,social
ASSET00000078,Brand Logo 78,Email header design optimized for various email clients and devices,video,Brand Omega,CUST000097,product,psd,2025-09-08 16:02:36.853910,2025-07-27 18:51:38.853910,273,approved,product
ASSET00000079,Product Shot 79,Event promotional poster with compelling visuals and clear call-to-action,template,Brand Delta,CUST000103,"digital,campaign,brand",mp4,2025-07-17 20:19:18.853910,2025-07-27 08:00:44.853910,205,draft,brand_guidelines
ASSET00000080,Marketing Template 80,Comprehensive product demonstration video with detailed feature walkthrough,image,Brand Delta,CUST000048,"brand,marketing,social",mp4,2025-10-12 20:21:01.853910,2025-10-13 02:06:12.853910,21,approved,product
ASSET00000081,Brand Guidelines 81,Email header design optimized for various email clients and devices,document,Brand Gamma,CUST000127,"product,social",mp3,2025-08-16 22:58:13.853910,2025-07-18 02:46:57.853910,490,approved,brand_guidelines
ASSET00000082,Marketing Template 82,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Delta,CUST000113,"campaign,product,digital",png,2025-08-31 03:50:30.853910,2025-11-10 16:33:27.853910,291,pending,brand_guidelines
ASSET00000083,Social Post 83,Event promotional poster with compelling visuals and clear call-to-action,video,Brand Omega,CUST000139,"marketing,product,campaign",mp4,2025-09-29 22:23:01.853910,2025-10-03 07:14:35.853910,423,approved,product
ASSET00000084,Video Ad 84,Comprehensive product demonstration video with detailed feature walkthrough,video,Brand Beta,CUST000127,product,mp4,2025-08-27 18:27:25.853910,2025-07-15 15:34:31.853910,264,approved,social
ASSET00000085,Brand Logo 85,Email header design optimized for various email clients and devices,template,Brand Alpha,CUST000107,campaign,png,2025-09-10 08:11:19.853910,2025-08-21 04:54:00.853910,246,approved,marketing
ASSET00000086,Social Post 86,Event promotional poster with compelling visuals and clear call-to-action,audio,Brand Gamma,CUST000049,"product,campaign,social",psd,2025-10-24 08:07:02.853910,2025-09-22 06:22:49.853910,380,approved,marketing
ASSET00000087,Campaign Banner 87,Engaging social media content designed for maximum audience engagement,template,Brand Beta,CUST000060,"marketing,digital",mp3,2025-10-24 13:27:30.853910,2025-10-21 08:28:40.853910,97,draft,marketing
ASSET00000088,Marketing Template 88,"Complete brand identity guidelines including logos, colors, and usage rules",video,Brand Beta,CUST000072,"product,marketing",mp3,2025-07-29 22:31:05.853910,2025-08-23 16:53:09.853910,366,draft,product
ASSET00000089,Brand Logo 89,Email header design optimized for various email clients and devices,image,Brand Gamma,CUST000064,"marketing,digital,product",pdf,2025-07-16 23:30:47.853910,2025-10-29 17:08:16.853910,252,rejected,social
ASSET00000090,Brand Logo 90,Eye-catching campaign banner optimized for web and mobile platforms,document,Brand Omega,CUST000167,"brand,campaign",psd,2025-08-17 12:21:52.853910,2025-08-14 04:53:37.853910,114,pending,brand_guidelines
ASSET00000091,Event Poster 91,Customizable marketing template with brand colors and typography,logo,Brand Gamma,CUST000080,digital,ai,2025-08-10 15:36:51.853910,2025-07-26 04:47:42.853910,76,pending,marketing
ASSET00000092,Campaign Banner 92,Event promotional poster with compelling visuals and clear call-to-action,logo,Brand Alpha,CUST000191,brand,mp3,2025-10-18 02:26:38.853910,2025-10-20 07:18:11.853910,473,approved,product
ASSET00000093,Video Ad 93,Dynamic video advertisement highlighting product value proposition,image,Brand Omega,CUST000154,campaign,pdf,2025-10-28 21:21:07.853910,2025-09-21 07:51:16.853910,53,draft,marketing
ASSET00000094,Email Header 94,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Delta,CUST000036,"digital,social",pdf,2025-08-20 07:55:43.853910,2025-10-25 16:32:55.853910,214,approved,marketing
ASSET00000095,Email Header 95,Eye-catching campaign banner optimized for web and mobile platforms,template,Brand Alpha,CUST000125,"marketing,product",jpg,2025-09-22 12:47:25.853910,2025-09-16 07:43:21.853910,188,pending,social
ASSET00000096,Brand Guidelines 96,Eye-catching campaign banner optimized for web and mobile platforms,video,Brand Delta,CUST000119,"digital,campaign,brand",pdf,2025-08-28 12:04:53.853910,2025-10-02 19:12:17.853910,359,pending,product
ASSET00000097,Email Header 97,Dynamic video advertisement highlighting product value proposition,audio,Brand Gamma,CUST000091,"social,digital",mp4,2025-08-09 10:05:45.853910,2025-08-06 10:06:04.853910,200,rejected,social
ASSET00000098,Social Post 98,Dynamic video advertisement highlighting product value proposition,video,Brand Beta,CUST000178,"campaign,social,brand",png,2025-09-20 21:36:24.853910,2025-08-01 12:31:05.853910,471,approved,internal
ASSET00000099,Brand Logo 99,High-resolution brand logo for digital and print use with transparent background,audio,Brand Omega,CUST000004,"product,digital,campaign",svg,2025-09-16 05:21:43.853910,2025-09-18 06:03:49.853910,313,approved,marketing
ASSET00000100,Video Ad 100,High-resolution brand logo for digital and print use with transparent background,audio,Brand Alpha,CUST000079,"brand,product",ai,2025-10-23 16:47:51.853910,2025-09-06 19:31:37.853910,467,pending,marketing
ASSET00000101,Video Ad 101,Event promotional poster with compelling visuals and clear call-to-action,image,Brand Gamma,CUST000069,product,svg,2025-10-27 22:48:39.853910,2025-10-24 22:56:47.853910,249,pending,marketing
ASSET00000102,Marketing Template 102,High-resolution brand logo for digital and print use with transparent background,image,Brand Delta,CUST000117,"marketing,brand,campaign",mp4,2025-09-11 12:31:26.853910,2025-08-03 06:29:45.853910,306,draft,campaign
ASSET00000103,Social Post 103,Comprehensive product demonstration video with detailed feature walkthrough,logo,Brand Gamma,CUST000105,"product,marketing,social",ai,2025-08-04 17:26:31.853910,2025-07-21 22:56:38.853910,16,approved,marketing
ASSET00000104,Social Post 104,"Complete brand identity guidelines including logos, colors, and usage rules",logo,Brand Gamma,CUST000107,"product,marketing",pdf,2025-08-21 10:54:42.853910,2025-10-27 12:30:21.853910,223,approved,marketing
ASSET00000105,Marketing Template 105,Professional product photography showcasing key features and benefits,video,Brand Alpha,CUST000058,digital,png,2025-10-10 03:50:15.853910,2025-10-02 00:53:27.853910,276,pending,marketing
ASSET00000106,Product Demo 106,Eye-catching campaign banner optimized for web and mobile platforms,logo,Brand Beta,CUST000171,product,ai,2025-11-05 14:09:03.853910,2025-07-17 18:11:20.853910,218,pending,social
ASSET00000107,Email Header 107,Comprehensive product demonstration video with detailed feature walkthrough,template,Brand Gamma,CUST000083,"marketing,campaign,digital",png,2025-09-02 04:06:47.853910,2025-11-05 11:05:38.853910,86,rejected,internal
ASSET00000108,Product Shot 108,Eye-catching campaign banner optimized for web and mobile platforms,logo,Brand Beta,CUST000059,"digital,brand,marketing",pdf,2025-09-14 01:33:05.853910,2025-07-16 22:36:56.853910,319,approved,marketing
ASSET00000109,Product Shot 109,High-resolution brand logo for digital and print use with transparent background,document,Brand Alpha,CUST000074,digital,svg,2025-09-24 22:00:20.853910,2025-07-24 22:03:30.853910,224,approved,internal
ASSET00000110,Email Header 110,Email header design optimized for various email clients and devices,image,Brand Delta,CUST000013,marketing,svg,2025-08-03 03:22:58.853910,2025-10-08 07:04:49.853910,57,approved,brand_guidelines
ASSET00000111,Brand Logo 111,Event promotional poster with compelling visuals and clear call-to-action,document,Brand Omega,CUST000106,"digital,product",svg,2025-09-24 17:06:48.853910,2025-09-06 09:41:15.853910,221,pending,social
ASSET00000112,Marketing Template 112,Engaging social media content designed for maximum audience engagement,logo,Brand Gamma,CUST000102,campaign,svg,2025-10-24 10:19:36.853910,2025-10-01 14:08:02.853910,274,pending,internal
ASSET00000113,Product Shot 113,Eye-catching campaign banner optimized for web and mobile platforms,image,Brand Beta,CUST000017,"digital,social,brand",psd,2025-11-06 11:10:29.853910,2025-08-27 13:36:00.853910,467,approved,marketing
ASSET00000114,Video Ad 114,Eye-catching campaign banner optimized for web and mobile platforms,video,Brand Omega,CUST000155,"digital,social,product",ai,2025-11-08 20:11:16.853910,2025-10-12 19:15:27.853910,22,pending,social
ASSET00000115,Product Demo 115,"Complete brand identity guidelines including logos, colors, and usage rules",logo,Brand Omega,CUST000115,digital,mp4,2025-10-05 13:21:54.853910,2025-07-24 17:08:01.853910,195,approved,internal
ASSET00000116,Event Poster 116,Comprehensive product demonstration video with detailed feature walkthrough,document,Brand Delta,CUST000179,"digital,campaign,brand",mp3,2025-10-25 15:10:42.853910,2025-10-28 11:45:52.853910,11,approved,product
ASSET00000117,Video Ad 117,High-resolution brand logo for digital and print use with transparent background,template,Brand Gamma,CUST000131,marketing,jpg,2025-08-05 12:44:06.853910,2025-11-04 20:28:33.853910,409,rejected,marketing
ASSET00000118,Marketing Template 118,Email header design optimized for various email clients and devices,video,Brand Alpha,CUST000081,"product,marketing,brand",mp4,2025-09-29 12:14:47.853910,2025-07-23 18:13:19.853910,316,pending,product
ASSET00000119,Event Poster 119,Professional product photography showcasing key features and benefits,template,Brand Delta,CUST000081,"digital,brand",psd,2025-09-09 15:01:49.853910,2025-08-31 05:54:13.853910,259,approved,internal
ASSET00000120,Video Ad 120,"Complete brand identity guidelines including logos, colors, and usage rules",document,Brand Omega,CUST000115,"social,campaign,brand",ai,2025-09-13 19:43:36.853910,2025-09-12 03:10:22.853910,220,approved,product
ASSET00000121,Social Post 121,Email header design optimized for various email clients and devices,audio,Brand Omega,CUST000175,marketing,psd,2025-10-27 01:58:00.853910,2025-08-23 04:10:36.853910,189,approved,product
ASSET00000122,Marketing Template 122,High-resolution brand logo for digital and print use with transparent background,image,Brand Beta,CUST000175,"product,campaign",jpg,2025-11-06 15:26:29.853910,2025-08-01 06:51:32.853910,226,approved,brand_guidelines
ASSET00000123,Marketing Template 123,Email header design optimized for various email clients and devices,document,Brand Omega,CUST000167,"product,social,campaign",jpg,2025-10-06 00:08:56.853910,2025-09-30 17:02:32.853910,213,approved,social
ASSET00000124,Video Ad 124,Event promotional poster with compelling visuals and clear call-to-action,template,Brand Gamma,CUST000075,"social,product",ai,2025-10-03 05:23:46.853910,2025-11-11 17:48:08.853910,25,approved,campaign
ASSET00000125,Event Poster 125,High-resolution brand logo for digital and print use with transparent background,document,Brand Alpha,CUST000070,"brand,product",mp3,2025-07-18 23:39:42.853910,2025-09-16 10:25:33.853910,196,approved,product
ASSET00000126,Marketing Template 126,Email header design optimized for various email clients and devices,image,Brand Omega,CUST000155,campaign,pdf,2025-11-02 02:28:13.853910,2025-09-08 00:14:49.853910,364,approved,marketing
ASSET00000127,Campaign Banner 127,Professional product photography showcasing key features and benefits,audio,Brand Omega,CUST000053,brand,pdf,2025-07-17 20:00:57.853910,2025-10-17 07:16:54.853910,163,approved,campaign
ASSET00000128,Brand Guidelines 128,Professional product photography showcasing key features and benefits,video,Brand Omega,CUST000079,product,svg,2025-08-13 05:30:34.853910,2025-10-11 11:11:42.853910,486,approved,brand_guidelines
ASSET00000129,Brand Guidelines 129,Eye-catching campaign banner optimized for web and mobile platforms,video,Brand Gamma,CUST000162,social,mp4,2025-08-20 14:14:01.853910,2025-09-18 21:06:35.853910,391,approved,product
ASSET00000130,Event Poster 130,Customizable marketing template with brand colors and typography,video,Brand Beta,CUST000139,marketing,svg,2025-10-14 06:31:24.853910,2025-10-08 23:06:44.853910,28,pending,social
ASSET00000131,Product Demo 131,Email header design optimized for various email clients and devices,image,Brand Gamma,CUST000146,product,svg,2025-10-02 22:51:42.853910,2025-09-16 00:24:18.853910,478,approved,campaign
ASSET00000132,Campaign Banner 132,Professional product photography showcasing key features and benefits,video,Brand Beta,CUST000097,"social,brand",svg,2025-08-02 00:21:28.853910,2025-08-31 01:26:04.853910,380,pending,internal
ASSET00000133,Brand Logo 133,"Complete brand identity guidelines including logos, colors, and usage rules",logo,Brand Delta,CUST000125,digital,jpg,2025-07-21 00:05:10.853910,2025-10-07 10:01:28.853910,216,pending,internal
