template_id,template_name,query_dsl,use_case,last_updated,maintenance_hours,complexity_score,performance_rating,deprecated
TMPL016,fuzzy_search Template 16,"{""query"": {""match"": {""field"": ""value15""}}}",filtered_search,2026-04-29 02:05:07.853910,7.5,2,good,False
TMPL017,semantic_search Template 17,"{""query"": {""match"": {""field"": ""value16""}}}",multi_field_search,2026-04-22 02:05:07.853910,6.4,9,good,False
TMPL018,keyword_search Template 18,"{""query"": {""match"": {""field"": ""value17""}}}",hybrid_search,2026-04-15 02:05:07.853910,4.9,6,good,False
TMPL019,fuzzy_search Template 19,"{""query"": {""match"": {""field"": ""value18""}}}",fuzzy_search,2026-04-08 02:05:07.853910,2.3,9,fair,False
TMPL020,fuzzy_search Template 20,"{""query"": {""match"": {""field"": ""value19""}}}",fuzzy_search,2026-04-01 02:05:07.853910,1.1,7,good,False
TMPL021,fuzzy_search Template 21,"{""query"": {""match"": {""field"": ""value20""}}}",keyword_search,2026-03-25 02:05:07.853910,3.8,1,excellent,False
TMPL022,fuzzy_search Template 22,"{""query"": {""match"": {""field"": ""value21""}}}",fuzzy_search,2026-03-18 02:05:07.853910,3.8,1,good,True
TMPL023,hybrid_search Template 23,"{""query"": {""match"": {""field"": ""value22""}}}",keyword_search,2026-03-11 02:05:07.853910,7.7,1,fair,True
TMPL024,aggregation_query Template 24,"{""query"": {""match"": {""field"": ""value23""}}}",hybrid_search,2026-03-04 02:05:07.853910,7.3,10,good,True
TMPL025,hybrid_search Template 25,"{""query"": {""match"": {""field"": ""value24""}}}",hybrid_search,2026-02-25 02:05:07.853910,2.9,3,good,False
TMPL026,aggregation_query Template 26,"{""query"": {""match"": {""field"": ""value25""}}}",aggregation_query,2026-02-18 02:05:07.853910,2.8,2,fair,False
TMPL027,aggregation_query Template 27,"{""query"": {""match"": {""field"": ""value26""}}}",fuzzy_search,2026-02-11 02:05:07.853910,0.8,4,fair,False
TMPL028,semantic_search Template 28,"{""query"": {""match"": {""field"": ""value27""}}}",semantic_search,2026-02-04 02:05:07.853910,3.0,9,good,True
TMPL029,semantic_search Template 29,"{""query"": {""match"": {""field"": ""value28""}}}",hybrid_search,2026-01-28 02:05:07.853910,3.8,3,excellent,False
TMPL030,aggregation_query Template 30,"{""query"": {""match"": {""field"": ""value29""}}}",fuzzy_search,2026-01-21 02:05:07.853910,1.1,8,good,False
TMPL031,hybrid_search Template 31,"{""query"": {""match"": {""field"": ""value30""}}}",fuzzy_search,2026-01-14 02:05:07.853910,2.7,3,excellent,False
TMPL032,keyword_search Template 32,"{""query"": {""match"": {""field"": ""value31""}}}",semantic_search,2026-01-07 02:05:07.853910,4.1,2,good,False
TMPL033,hybrid_search Template 33,"{""query"": {""match"": {""field"": ""value32""}}}",hybrid_search,2025-12-31 02:05:07.853910,5.9,1,good,False
TMPL034,fuzzy_search Template 34,"{""query"": {""match"": {""field"": ""value33""}}}",keyword_search,2025-12-24 02:05:07.853910,3.0,3,excellent,False
TMPL035,hybrid_search Template 35,"{""query"": {""match"": {""field"": ""value34""}}}",keyword_search,2025-12-17 02:05:07.853910,7.0,4,fair,False
TMPL036,multi_field_search Template 36,"{""query"": {""match"": {""field"": ""value35""}}}",aggregation_query,2025-12-10 02:05:07.853910,5.9,9,fair,False
TMPL037,hybrid_search Template 37,"{""query"": {""match"": {""field"": ""value36""}}}",semantic_search,2025-12-03 02:05:07.853910,1.9,7,excellent,False
TMPL038,hybrid_search Template 38,"{""query"": {""match"": {""field"": ""value37""}}}",aggregation_query,2025-11-26 02:05:07.853910,3.6,9,excellent,False
TMPL039,filtered_search Template 39,"{""query"": {""match"": {""field"": ""value38""}}}",aggregation_query,2025-11-19 02:05:07.853910,2.7,5,excellent,False
TMPL040,fuzzy_search Template 40,"{""query"": {""match"": {""field"": ""value39""}}}",hybrid_search,2025-11-12 02:05:07.853910,1.2,9,poor,False
