experiment_id,experiment_name,retrieval_strategy,embedding_model,query_template,test_query,precision_at_5,recall_at_10,mrr_score,latency_ms,experiment_date,engineer_notes,deployed_to_production
EXP000074,Experiment 74 - semantic,multi_step,instructor-xl,Template 24,Search for campaign assets tagged with sustainability,0.703,0.647,0.657,1382,2025-09-13 16:05:07.853910,Testing relevance improvements,False
EXP000075,Experiment 75 - keyword,semantic,text-embedding-ada-002,Template 37,Find marketing assets for Q4 campaign with high engagement metrics,0.448,0.457,0.726,541,2025-09-13 17:05:07.853910,Testing latency improvements,True
EXP000076,Experiment 76 - keyword,hybrid,instructor-xl,Template 1,Search for brand-compliant social media templates,0.363,0.523,0.507,2191,2025-09-13 18:05:07.853910,Testing relevance improvements,False
EXP000077,Experiment 77 - keyword,filtered,bge-large-en,Template 2,Find approved logos suitable for digital and print use,0.826,0.861,0.814,158,2025-09-13 19:05:07.853910,Testing relevance improvements,False
EXP000078,Experiment 78 - hybrid,multi_step,text-embedding-ada-002,Template 5,Search for brand-compliant social media templates,0.846,0.562,0.931,2975,2025-09-13 20:05:07.853910,Testing performance improvements,True
EXP000079,Experiment 79 - multi_step,filtered,text-embedding-ada-002,Template 15,Find approved logos suitable for digital and print use,0.918,0.691,0.551,330,2025-09-13 21:05:07.853910,Testing latency improvements,False
EXP000080,Experiment 80 - composed,semantic,text-embedding-ada-002,Template 35,Find approved logos suitable for digital and print use,0.824,0.542,0.965,2168,2025-09-13 22:05:07.853910,Testing relevance improvements,False
EXP000081,Experiment 81 - composed,filtered,e5-large-v2,Template 6,Locate product demonstration videos from last quarter,0.362,0.684,0.796,1046,2025-09-13 23:05:07.853910,Testing latency improvements,False
EXP000082,Experiment 82 - filtered,composed,gte-large,Template 25,Find approved logos suitable for digital and print use,0.52,0.669,0.599,1339,2025-09-14 00:05:07.853910,Testing accuracy improvements,True
EXP000083,Experiment 83 - semantic,filtered,e5-large-v2,Template 10,Search for brand-compliant social media templates,0.609,0.481,0.716,778,2025-09-14 01:05:07.853910,Testing performance improvements,False
EXP000084,Experiment 84 - semantic,composed,e5-large-v2,Template 33,Search for brand-compliant social media templates,0.486,0.527,0.57,2984,2025-09-14 02:05:07.853910,Testing latency improvements,False
EXP000085,Experiment 85 - filtered,hybrid,gte-large,Template 38,Find marketing assets for Q4 campaign with high engagement metrics,0.484,0.745,0.745,2784,2025-09-14 03:05:07.853910,Testing relevance improvements,False
EXP000086,Experiment 86 - semantic,semantic,gte-large,Template 8,Locate product demonstration videos from last quarter,0.584,0.825,0.742,2600,2025-09-14 04:05:07.853910,Testing relevance improvements,False
EXP000087,Experiment 87 - multi_step,multi_step,all-MiniLM-L6-v2,Template 29,Search for brand-compliant social media templates,0.312,0.883,0.806,2208,2025-09-14 05:05:07.853910,Testing relevance improvements,False
EXP000088,Experiment 88 - composed,semantic,all-MiniLM-L6-v2,Template 16,Find approved logos suitable for digital and print use,0.749,0.834,0.969,2958,2025-09-14 06:05:07.853910,Testing performance improvements,False
EXP000089,Experiment 89 - filtered,filtered,text-embedding-ada-002,Template 38,Search for brand-compliant social media templates,0.475,0.888,0.885,2930,2025-09-14 07:05:07.853910,Testing performance improvements,True
EXP000090,Experiment 90 - filtered,multi_step,instructor-xl,Template 40,Search for brand-compliant social media templates,0.342,0.522,0.938,543,2025-09-14 08:05:07.853910,Testing accuracy improvements,True
EXP000091,Experiment 91 - keyword,semantic,text-embedding-ada-002,Template 19,Find marketing assets for Q4 campaign with high engagement metrics,0.773,0.468,0.711,2690,2025-09-14 09:05:07.853910,Testing performance improvements,False
EXP000092,Experiment 92 - filtered,semantic,text-embedding-ada-002,Template 26,Search for brand-compliant social media templates,0.814,0.498,0.894,2396,2025-09-14 10:05:07.853910,Testing performance improvements,False
EXP000093,Experiment 93 - filtered,multi_step,e5-large-v2,Template 36,Search for campaign assets tagged with sustainability,0.593,0.529,0.817,824,2025-09-14 11:05:07.853910,Testing latency improvements,False
EXP000094,Experiment 94 - multi_step,multi_step,text-embedding-ada-002,Template 26,Locate product demonstration videos from last quarter,0.314,0.57,0.53,2009,2025-09-14 12:05:07.853910,Testing performance improvements,False
EXP000095,Experiment 95 - semantic,keyword,instructor-xl,Template 37,Search for campaign assets tagged with sustainability,0.747,0.582,0.749,2948,2025-09-14 13:05:07.853910,Testing latency improvements,True
EXP000096,Experiment 96 - semantic,hybrid,gte-large,Template 37,Search for brand-compliant social media templates,0.888,0.791,0.703,1552,2025-09-14 14:05:07.853910,Testing relevance improvements,False
EXP000097,Experiment 97 - hybrid,composed,text-embedding-ada-002,Template 34,Locate product demonstration videos from last quarter,0.814,0.598,0.691,2912,2025-09-14 15:05:07.853910,Testing performance improvements,False
EXP000098,Experiment 98 - multi_step,filtered,all-MiniLM-L6-v2,Template 9,Find marketing assets for Q4 campaign with high engagement metrics,0.684,0.496,0.907,646,2025-09-14 16:05:07.853910,Testing relevance improvements,False
EXP000099,Experiment 99 - filtered,semantic,all-MiniLM-L6-v2,Template 17,Find marketing assets for Q4 campaign with high engagement metrics,0.383,0.725,0.852,1042,2025-09-14 17:05:07.853910,Testing relevance improvements,False
EXP000100,Experiment 100 - keyword,composed,all-MiniLM-L6-v2,Template 12,Search for brand-compliant social media templates,0.502,0.588,0.852,2861,2025-09-14 18:05:07.853910,Testing performance improvements,False
EXP000101,Experiment 101 - multi_step,composed,all-MiniLM-L6-v2,Template 36,Search for campaign assets tagged with sustainability,0.466,0.503,0.501,2411,2025-09-14 19:05:07.853910,Testing relevance improvements,False
EXP000102,Experiment 102 - multi_step,hybrid,instructor-xl,Template 24,Locate product demonstration videos from last quarter,0.609,0.544,0.936,1416,2025-09-14 20:05:07.853910,Testing performance improvements,False
EXP000103,Experiment 103 - keyword,multi_step,text-embedding-ada-002,Template 12,Find marketing assets for Q4 campaign with high engagement metrics,0.934,0.654,0.694,2247,2025-09-14 21:05:07.853910,Testing latency improvements,False
EXP000104,Experiment 104 - semantic,hybrid,gte-large,Template 1,Find marketing assets for Q4 campaign with high engagement metrics,0.704,0.741,0.509,2230,2025-09-14 22:05:07.853910,Testing relevance improvements,True
EXP000105,Experiment 105 - filtered,composed,all-MiniLM-L6-v2,Template 40,Search for brand-compliant social media templates,0.932,0.694,0.843,2862,2025-09-14 23:05:07.853910,Testing accuracy improvements,False
EXP000106,Experiment 106 - filtered,keyword,bge-large-en,Template 11,Search for campaign assets tagged with sustainability,0.366,0.464,0.87,2344,2025-09-15 00:05:07.853910,Testing performance improvements,False
EXP000107,Experiment 107 - keyword,multi_step,text-embedding-ada-002,Template 18,Find marketing assets for Q4 campaign with high engagement metrics,0.746,0.57,0.59,457,2025-09-15 01:05:07.853910,Testing latency improvements,False
EXP000108,Experiment 108 - composed,filtered,all-MiniLM-L6-v2,Template 31,Locate product demonstration videos from last quarter,0.788,0.809,0.542,2894,2025-09-15 02:05:07.853910,Testing relevance improvements,True
EXP000109,Experiment 109 - composed,composed,all-MiniLM-L6-v2,Template 30,Find marketing assets for Q4 campaign with high engagement metrics,0.827,0.637,0.934,287,2025-09-15 03:05:07.853910,Testing relevance improvements,False
EXP000110,Experiment 110 - semantic,semantic,instructor-xl,Template 27,Locate product demonstration videos from last quarter,0.518,0.756,0.963,1167,2025-09-15 04:05:07.853910,Testing latency improvements,True
EXP000111,Experiment 111 - semantic,semantic,all-MiniLM-L6-v2,Template 9,Search for brand-compliant social media templates,0.424,0.833,0.532,2756,2025-09-15 05:05:07.853910,Testing performance improvements,False
EXP000112,Experiment 112 - filtered,hybrid,instructor-xl,Template 26,Find marketing assets for Q4 campaign with high engagement metrics,0.738,0.509,0.558,1250,2025-09-15 06:05:07.853910,Testing performance improvements,False
EXP000113,Experiment 113 - multi_step,keyword,bge-large-en,Template 11,Find marketing assets for Q4 campaign with high engagement metrics,0.877,0.461,0.884,487,2025-09-15 07:05:07.853910,Testing latency improvements,False
EXP000114,Experiment 114 - composed,semantic,text-embedding-ada-002,Template 31,Find marketing assets for Q4 campaign with high engagement metrics,0.799,0.627,0.799,522,2025-09-15 08:05:07.853910,Testing relevance improvements,False
EXP000115,Experiment 115 - keyword,keyword,text-embedding-ada-002,Template 25,Find approved logos suitable for digital and print use,0.904,0.541,0.902,954,2025-09-15 09:05:07.853910,Testing relevance improvements,True
EXP000116,Experiment 116 - hybrid,composed,bge-large-en,Template 11,Find marketing assets for Q4 campaign with high engagement metrics,0.339,0.413,0.661,763,2025-09-15 10:05:07.853910,Testing accuracy improvements,False
EXP000117,Experiment 117 - multi_step,multi_step,bge-large-en,Template 19,Locate product demonstration videos from last quarter,0.943,0.623,0.837,2647,2025-09-15 11:05:07.853910,Testing accuracy improvements,False
EXP000118,Experiment 118 - keyword,hybrid,gte-large,Template 28,Search for brand-compliant social media templates,0.355,0.723,0.896,1181,2025-09-15 12:05:07.853910,Testing relevance improvements,False
EXP000119,Experiment 119 - keyword,filtered,bge-large-en,Template 34,Search for brand-compliant social media templates,0.482,0.443,0.556,971,2025-09-15 13:05:07.853910,Testing accuracy improvements,False
EXP000120,Experiment 120 - hybrid,keyword,gte-large,Template 9,Search for brand-compliant social media templates,0.834,0.409,0.856,2252,2025-09-15 14:05:07.853910,Testing performance improvements,False
EXP000121,Experiment 121 - multi_step,hybrid,instructor-xl,Template 32,Locate product demonstration videos from last quarter,0.577,0.421,0.601,1830,2025-09-15 15:05:07.853910,Testing performance improvements,False
EXP000122,Experiment 122 - filtered,multi_step,all-MiniLM-L6-v2,Template 6,Find approved logos suitable for digital and print use,0.511,0.471,0.861,1316,2025-09-15 16:05:07.853910,Testing accuracy improvements,False
EXP000123,Experiment 123 - hybrid,composed,all-MiniLM-L6-v2,Template 32,Locate product demonstration videos from last quarter,0.32,0.878,0.632,2856,2025-09-15 17:05:07.853910,Testing relevance improvements,True
EXP000124,Experiment 124 - hybrid,composed,e5-large-v2,Template 1,Locate product demonstration videos from last quarter,0.41,0.801,0.678,208,2025-09-15 18:05:07.853910,Testing accuracy improvements,False
EXP000125,Experiment 125 - composed,multi_step,bge-large-en,Template 31,Search for campaign assets tagged with sustainability,0.669,0.528,0.636,1348,2025-09-15 19:05:07.853910,Testing relevance improvements,False
EXP000126,Experiment 126 - filtered,keyword,e5-large-v2,Template 36,Locate product demonstration videos from last quarter,0.754,0.828,0.938,929,2025-09-15 20:05:07.853910,Testing accuracy improvements,False
EXP000127,Experiment 127 - semantic,multi_step,instructor-xl,Template 13,Locate product demonstration videos from last quarter,0.579,0.445,0.774,1100,2025-09-15 21:05:07.853910,Testing relevance improvements,False
EXP000128,Experiment 128 - semantic,filtered,text-embedding-ada-002,Template 3,Locate product demonstration videos from last quarter,0.572,0.789,0.577,323,2025-09-15 22:05:07.853910,Testing performance improvements,False
EXP000129,Experiment 129 - composed,composed,bge-large-en,Template 30,Find approved logos suitable for digital and print use,0.829,0.475,0.719,1432,2025-09-15 23:05:07.853910,Testing latency improvements,True
EXP000130,Experiment 130 - multi_step,keyword,e5-large-v2,Template 18,Find approved logos suitable for digital and print use,0.683,0.436,0.717,1144,2025-09-16 00:05:07.853910,Testing accuracy improvements,True
EXP000131,Experiment 131 - multi_step,filtered,gte-large,Template 5,Search for brand-compliant social media templates,0.922,0.406,0.89,1957,2025-09-16 01:05:07.853910,Testing relevance improvements,False
EXP000132,Experiment 132 - multi_step,hybrid,text-embedding-ada-002,Template 24,Search for campaign assets tagged with sustainability,0.595,0.811,0.614,982,2025-09-16 02:05:07.853910,Testing latency improvements,False
EXP000133,Experiment 133 - filtered,hybrid,all-MiniLM-L6-v2,Template 17,Search for brand-compliant social media templates,0.718,0.799,0.968,2756,2025-09-16 03:05:07.853910,Testing accuracy improvements,False
EXP000134,Experiment 134 - multi_step,keyword,text-embedding-ada-002,Template 5,Search for brand-compliant social media templates,0.644,0.8,0.782,1723,2025-09-16 04:05:07.853910,Testing relevance improvements,False
EXP000135,Experiment 135 - filtered,keyword,gte-large,Template 5,Search for campaign assets tagged with sustainability,0.674,0.824,0.877,1862,2025-09-16 05:05:07.853910,Testing accuracy improvements,False
EXP000136,Experiment 136 - keyword,keyword,bge-large-en,Template 14,Search for campaign assets tagged with sustainability,0.512,0.8,0.702,2317,2025-09-16 06:05:07.853910,Testing performance improvements,False
EXP000137,Experiment 137 - keyword,hybrid,all-MiniLM-L6-v2,Template 18,Find approved logos suitable for digital and print use,0.912,0.734,0.601,880,2025-09-16 07:05:07.853910,Testing relevance improvements,False
EXP000138,Experiment 138 - keyword,composed,instructor-xl,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.451,0.595,0.932,339,2025-09-16 08:05:07.853910,Testing performance improvements,False
EXP000139,Experiment 139 - multi_step,semantic,e5-large-v2,Template 16,Locate product demonstration videos from last quarter,0.548,0.868,0.623,1764,2025-09-16 09:05:07.853910,Testing performance improvements,False
EXP000140,Experiment 140 - hybrid,composed,e5-large-v2,Template 34,Find approved logos suitable for digital and print use,0.568,0.6,0.825,1476,2025-09-16 10:05:07.853910,Testing relevance improvements,False
EXP000141,Experiment 141 - composed,composed,all-MiniLM-L6-v2,Template 27,Locate product demonstration videos from last quarter,0.435,0.687,0.959,1021,2025-09-16 11:05:07.853910,Testing performance improvements,False
EXP000142,Experiment 142 - composed,hybrid,instructor-xl,Template 17,Find marketing assets for Q4 campaign with high engagement metrics,0.81,0.798,0.629,720,2025-09-16 12:05:07.853910,Testing performance improvements,True
EXP000143,Experiment 143 - filtered,keyword,e5-large-v2,Template 14,Search for brand-compliant social media templates,0.675,0.56,0.68,1547,2025-09-16 13:05:07.853910,Testing accuracy improvements,False
